reservoir_id,reservoir_name,date,observation_time,"Reservoir Water Level (RWL, m)","Water Level Deviation (24hr, m)","Normal High Water Level (NHWL, m)",Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gate Opening (gates),Gate Opening (meters),Inflow (cms),Outflow (cms)
PH_PAGASA_ambuklao,Ambuklao Dam,2024-11-26,08:00 am,751.75,,752.00,-0.25,752.00,-0.25,1,0.30,,57.09
PH_PAGASA_angat,Angat Dam,2024-11-26,08:00 am,200.24,,210.00,-9.76,204.58,-4.34,,,,
PH_PAGASA_binga,Binga Dam,2024-11-26,08:00 am,573.43,,575.00,-1.57,575.00,-1.57,1,0.30,,51.48
PH_PAGASA_caliraya,Caliraya Dam,2024-11-26,08:00 am,287.23,,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2024-11-26,08:00 am,101.00,,101.10,-0.10,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2024-11-26,08:00 am,79.50,,80.15,-0.65,0.00,0.00,,,,
PH_PAGASA_magat,Magat Dam,2024-11-26,08:00 am,187.30,,193.00,-5.70,191.43,-4.13,1,1.00,,356.33
PH_PAGASA_pantabangan,Pantabangan Dam,2024-11-26,08:00 am,213.52,,221.00,-7.48,220.70,-7.18,,,,
PH_PAGASA_san_roque,San Roque Dam,2024-11-26,08:00 am,281.26,,280.00,1.26,277.58,3.68,,,,
