reservoir_id,reservoir_name,date,observation_time,"Reservoir Water Level (RWL, m)","Water Level Deviation (24hr, m)","Normal High Water Level (NHWL, m)",Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gate Opening (gates),Gate Opening (meters),Inflow (cms),Outflow (cms)
PH_PAGASA_ambuklao,Ambuklao Dam,2024-10-05,08:00 AM,751.55,0.15,752.00,-0.45,745.00,6.55,,,,
PH_PAGASA_ambuklao,Ambuklao Dam,2024-10-05,08:00 am,751.55,,752.00,-0.45,745.00,6.55,,,,
PH_PAGASA_angat,Angat Dam,2024-10-05,08:00 AM,194.22,-0.20,210.00,-15.78,187.65,6.57,,,,
PH_PAGASA_angat,Angat Dam,2024-10-05,08:00 am,194.22,,210.00,-15.78,187.65,6.57,,,,
PH_PAGASA_binga,Binga Dam,2024-10-05,08:00 AM,574.57,-0.08,575.00,-0.43,565.00,9.57,,,,
PH_PAGASA_binga,Binga Dam,2024-10-05,08:00 am,574.57,,575.00,-0.43,565.00,9.57,,,,
PH_PAGASA_caliraya,Caliraya Dam,2024-10-05,08:00 AM,286.48,-0.30,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_caliraya,Caliraya Dam,2024-10-05,08:00 am,286.48,,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2024-10-05,08:00 AM,100.84,0.00,101.10,-0.26,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2024-10-05,08:00 am,100.84,,101.10,-0.26,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2024-10-05,08:00 AM,79.41,0.00,80.15,-0.74,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2024-10-05,08:00 am,79.41,,80.15,-0.74,0.00,0.00,,,,
PH_PAGASA_magat,Magat Dam,2024-10-05,08:00 AM,185.12,0.50,193.00,-7.88,186.36,-1.24,,,,
PH_PAGASA_magat,Magat Dam,2024-10-05,08:00 am,185.12,,193.00,-7.88,186.36,-1.24,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2024-10-05,08:00 AM,202.50,0.10,218.50,-16.00,216.51,-14.01,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2024-10-05,08:00 am,202.50,,218.50,-16.00,216.51,-14.01,,,,
PH_PAGASA_san_roque,San Roque Dam,2024-10-05,08:00 AM,274.84,-0.11,280.00,-5.16,270.51,4.33,,,,
PH_PAGASA_san_roque,San Roque Dam,2024-10-05,08:00 am,274.84,,280.00,-5.16,270.51,4.33,,,,
