reservoir_id,reservoir_name,date,observation_time,"Reservoir Water Level (RWL, m)","Water Level Deviation (24hr, m)","Normal High Water Level (NHWL, m)",Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gate Opening (gates),Gate Opening (meters),Inflow (cms),Outflow (cms)
PH_PAGASA_ambuklao,Ambuklao Dam,2023-03-29,06:00 AM,741.09,-0.32,752.00,-10.91,752.00,-10.91,,,,
PH_PAGASA_angat,Angat Dam,2023-03-29,06:00 AM,202.84,-0.45,212.00,-9.16,190.86,11.98,,,,
PH_PAGASA_binga,Binga Dam,2023-03-29,06:00 AM,572.13,-0.78,575.00,-2.87,574.00,-1.87,,,,
PH_PAGASA_caliraya,Caliraya Dam,2023-03-29,06:00 AM,287.53,-0.22,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2023-03-29,06:00 AM,98.73,0.00,101.00,-2.27,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2023-03-29,06:00 AM,76.48,-0.01,80.15,-3.67,0.00,0.00,,,,
PH_PAGASA_magat,Magat Dam,2023-03-29,06:00 AM,173.63,0.11,193.00,-19.37,180.21,-6.58,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2023-03-29,06:00 AM,184.21,-0.26,221.00,-36.79,206.65,-22.44,,,,
PH_PAGASA_san_roque,San Roque Dam,2023-03-29,06:00 AM,242.50,-0.11,280.00,-37.50,244.45,-1.95,,,,
