reservoir_id,reservoir_name,date,observation_time,"Reservoir Water Level (RWL, m)","Water Level Deviation (24hr, m)","Normal High Water Level (NHWL, m)",Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gate Opening (gates),Gate Opening (meters),Inflow (cms),Outflow (cms)
PH_PAGASA_ambuklao,Ambuklao Dam,2022-08-05,06:00 AM,746.07,0.11,752.00,-5.93,745.00,1.07,,,,
PH_PAGASA_ambuklao,Ambuklao Dam,2022-08-05,06:00 am,746.07,,752.00,-5.93,745.00,1.07,,,,
PH_PAGASA_angat,Angat Dam,2022-08-05,06:00 AM,177.11,-0.16,210.00,-32.89,180.56,-3.45,,,,
PH_PAGASA_angat,Angat Dam,2022-08-05,06:00 am,177.11,,210.00,-32.89,180.56,-3.45,,,,
PH_PAGASA_binga,Binga Dam,2022-08-05,06:00 AM,571.48,-0.81,575.00,-3.52,565.00,6.48,,,,
PH_PAGASA_binga,Binga Dam,2022-08-05,06:00 am,571.48,,575.00,-3.52,565.00,6.48,,,,
PH_PAGASA_caliraya,Caliraya Dam,2022-08-05,06:00 AM,287.29,-0.15,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_caliraya,Caliraya Dam,2022-08-05,06:00 am,287.29,,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2022-08-05,06:00 AM,100.67,-0.01,101.00,-0.33,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2022-08-05,06:00 am,100.67,,101.10,-0.33,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2022-08-05,06:00 AM,79.38,-0.02,80.15,-0.77,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2022-08-05,06:00 am,79.38,,80.15,-0.77,0.00,0.00,,,,
PH_PAGASA_magat,Magat,2022-08-05,06:00 AM,188.40,-0.03,190.00,-1.60,179.31,9.09,,,,
PH_PAGASA_magat,Magat,2022-08-05,06:00 am,188.40,,190.00,-1.60,179.31,9.09,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2022-08-05,06:00 AM,181.45,0.11,216.00,-34.55,209.25,-27.80,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2022-08-05,06:00 am,181.45,,216.00,-34.55,209.25,-27.80,,,,
PH_PAGASA_san_roque,San Roque Dam,2022-08-05,06:00 AM,233.88,0.35,280.00,-46.12,240.62,-6.74,,,,
PH_PAGASA_san_roque,San Roque Dam,2022-08-05,06:00 am,233.88,,280.00,-46.12,240.62,-6.74,,,,
