reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (千m^3),dead_storage (千m^3),frl (m),dam_height (m),year_built,main_use,source_agency,source_url,last_updated,detail_slug,location,data_period_start,data_period_end,data_period_days,last_updated_source,list_storage_rate_current (%),list_storage_volume_current (千m^3),list_7d_change_current (pt)
JP_OPENGOV_miwa,美和ダム,美和ダム,Japan,Nagano (長野),三峰川,天竜川,,,17970,,,,,Flood Control Irrigation Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/miwa/,2026-08-19 11:32:24,miwa,長野県伊那市長谷非持345,2002-05-30,2026-08-19,8332,2026-08-19,78.5,3982,-2.8
JP_OPENGOV_miyakese,宮ヶ瀬ダム,宮ヶ瀬ダム,Japan,Kanagawa (神奈川),中津川,相模川,,,182564,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/miyakese/,2026-08-19 11:32:24,miyakese,神奈川県相模原市緑区青山,2003-06-19,2026-08-19,8431,2026-08-19,99.0,136772,0.0
JP_OPENGOV_muroudamu-kikou,室生ダム(機構),室生ダム(機構),Japan,Nara (奈良),宇陀川,淀川,,,13294,,,,,Flood Control River Maintenance Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/muroudamu-kikou/,2026-08-19 11:32:24,muroudamu-kikou,奈良県宇陀市室生区大字大野3846,2002-05-30,2026-08-19,8575,2026-08-19,63.1,5145,-7.4
JP_OPENGOV_nagai,長井ダム,長井ダム,Japan,Yamagata (山形),置賜野川,最上川,,,22076,,,,,Flood Control River Maintenance Irrigation Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nagai/,2026-08-19 11:32:24,nagai,山形県長井市平野字北脇ノ沢4164-9,2011-02-25,2026-08-19,412,2026-08-19,99.3,21930,1.4
JP_OPENGOV_nagashima,長島ダム,長島ダム,Japan,Shizuoka (静岡),大井川,大井川,,,46468,,,,,Flood Control River Maintenance Irrigation Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nagashima/,2026-08-19 11:32:24,nagashima,静岡県榛原郡川根本町梅地,2003-07-31,2026-08-19,8285,2026-08-19,94.8,18655,-0.7
JP_OPENGOV_nakasujikawa,中筋川ダム,中筋川ダム,Japan,Kochi (高知),中筋川,渡川,,,3950,,,,,Flood Control River Maintenance Irrigation Water Supply Industrial Water,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nakasujikawa/,2026-08-19 11:32:24,nakasujikawa,高知県宿毛市平田町黒川,2002-05-30,2026-08-19,8790,2026-08-19,62.9,2168,-2.9
JP_OPENGOV_naramata,奈良俣ダム,奈良俣ダム,Japan,Gunma (群馬),楢俣川,利根川,,,84984,,,,,Flood Control River Maintenance Irrigation Water Supply Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/naramata/,2026-08-19 11:32:24,naramata,群馬県利根郡みなかみ町藤原,2002-05-30,2026-08-19,8786,2026-08-19,97.0,72192,1.8
JP_OPENGOV_naruko,鳴子ダム,鳴子ダム,Japan,Miyagi (宮城),江合川,北上川,,,32995,,,,,Flood Control Irrigation Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/naruko/,2026-08-19 11:32:24,naruko,宮城県大崎市鳴子温泉字岩渕2-8,2002-05-30,2026-08-19,8793,2026-08-19,100.0,17336,5.0
JP_OPENGOV_nibutani,二風谷ダム,二風谷ダム,Japan,Hokkaido (北海道),沙流川,沙流川,,,8128,,,,,Flood Control River Maintenance Irrigation Water Supply Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nibutani/,2026-08-19 11:32:24,nibutani,北海道沙流郡平取町字二風谷,2002-05-30,2026-08-19,8614,2026-08-19,2.4,198,0.4
JP_OPENGOV_nomura,野村ダム,野村ダム,Japan,Ehime (愛媛),肱川,肱川,,,12188,,,,,Flood Control Irrigation Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nomura/,2026-08-19 11:32:24,nomura,愛媛県西予市野村町野村8-153-1,2002-05-30,2026-08-19,8814,2026-08-19,80.1,7590,-5.1
JP_OPENGOV_nukui,温井ダム,温井ダム,Japan,Hiroshima (広島),滝山川,太田川,,,47982,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nukui/,2026-08-19 11:32:24,nukui,広島県山県郡安芸太田町大字加計地先,2002-05-30,2026-08-19,8756,2026-08-19,100.0,38042,0.0
JP_OPENGOV_nunomedamu-kikou,布目ダム(機構),布目ダム(機構),Japan,Nara (奈良),布目川,淀川,,,12694,,,,,Flood Control River Maintenance Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/nunomedamu-kikou/,2026-08-19 11:32:24,nunomedamu-kikou,奈良県奈良市北野山町字長町869番地,2002-05-30,2026-08-19,8709,2026-08-19,96.3,8669,7.2
JP_OPENGOV_ohara,尾原ダム,尾原ダム,Japan,Shimane (島根),斐伊川,斐伊川,,,31659,,,,,Flood Control River Maintenance Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ohara/,2026-08-19 11:32:24,ohara,島根県雲南市木次町平田211-5,2016-02-23,2026-08-19,3782,2026-08-19,44.7,7968,-0.4
JP_OPENGOV_ooishi,大石ダム,大石ダム,Japan,Niigata (新潟),大石川,荒川,,,14925,,,,,Flood Control Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ooishi/,2026-08-19 11:32:24,ooishi,新潟県岩船郡関川村大字大石404-3,2002-05-30,2026-08-19,8724,2026-08-19,68.9,131,4.7
JP_OPENGOV_ookawa,大川ダム,大川ダム,Japan,Fukushima (福島),阿賀川,阿賀野川,,,25861,,,,,Flood Control River Maintenance Irrigation Water Supply Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ookawa/,2026-08-19 11:32:24,ookawa,福島県会津若松市大戸町大字大川季平乙121,2002-05-30,2026-08-19,8774,2026-08-19,55.7,7968,-4.1
JP_OPENGOV_oomachi,大町ダム,大町ダム,Japan,Nagano (長野),高瀬川,信濃川,,,24092,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/oomachi/,2026-08-19 11:32:24,oomachi,長野県大町市平2112-71,2002-05-30,2026-08-19,8728,2026-08-19,100.0,7478,0.0
JP_OPENGOV_ootaki,大滝ダム,大滝ダム,Japan,Nara (奈良),紀の川,紀の川,,,70917,,,,,Flood Control River Maintenance Water Supply Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ootaki/,2026-08-19 11:32:24,ootaki,奈良県吉野郡川上村大字大滝,2003-07-31,2026-08-19,8377,2026-08-19,97.4,14613,42.8
JP_OPENGOV_oowatari,大渡ダム,大渡ダム,Japan,Kochi (高知),仁淀川,仁淀川,,,32647,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/oowatari/,2026-08-19 11:32:24,oowatari,高知県吾川郡仁淀川町,2002-05-30,2026-08-19,8736,2026-08-19,86.8,11285,22.0
JP_OPENGOV_ooyasu,大保ダム,大保ダム,Japan,Okinawa (沖縄),大保川,大保川,,,17363,,,,,Flood Control River Maintenance Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ooyasu/,2026-08-19 11:32:24,ooyasu,沖縄県国頭郡大宜味村字田港地先,2010-07-26,2026-08-19,5805,2026-08-19,91.0,15797,-1.5
JP_OPENGOV_ooyuki,大雪ダム,大雪ダム,Japan,Hokkaido (北海道),石狩川,石狩川,,,55380,,,,,Flood Control River Maintenance Irrigation Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ooyuki/,2026-08-19 11:32:24,ooyuki,北海道上川郡上川町字層雲峡大学平,2002-05-30,2026-08-19,8796,2026-08-19,30.3,7401,-22.1
JP_OPENGOV_ozatokawa,小里川ダム,小里川ダム,Japan,Gifu (岐阜),小里川,庄内川,,,3124,,,,,Flood Control River Maintenance Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ozatokawa/,2026-08-19 11:32:24,ozatokawa,岐阜県恵那市山岡町大字田代,2013-01-24,2026-08-19,4876,2026-08-19,0.0,0,0.0
JP_OPENGOV_pirika,美利河ダム,美利河ダム,Japan,Hokkaido (北海道),後志利別川,後志利別川,,,9150,,,,,Flood Control River Maintenance Irrigation Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/pirika/,2026-08-19 11:32:24,pirika,北海道瀬棚郡今金町字美利河,2002-05-30,2026-08-19,8651,2026-08-19,60.1,1297,1.0
JP_OPENGOV_rumoi,留萌ダム,留萌ダム,Japan,Hokkaido (北海道),チバベリ川,留萌川,,,10294,,,,,Flood Control River Maintenance Water Supply,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/rumoi/,2026-08-19 11:32:24,rumoi,北海道留萌市大字留萌村字チバベリ,2013-11-22,2026-08-19,4609,2026-08-19,67.1,6889,-7.6
JP_OPENGOV_ryuumon,竜門ダム,竜門ダム,Japan,Kumamoto (熊本),迫間川,菊池川,,,33499,,,,,Flood Control River Maintenance Irrigation Industrial Water,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/ryuumon/,2026-08-19 11:32:24,ryuumon,熊本県菊池市竜門,2002-05-30,2026-08-19,8804,2026-08-19,60.8,20381,-8.3
JP_OPENGOV_sagae,寒河江ダム,寒河江ダム,Japan,Yamagata (山形),寒河江川,最上川,,,89859,,,,,Flood Control River Maintenance Irrigation Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/sagae/,2026-08-19 11:32:24,sagae,山形県西村山郡西川町砂子関158,2002-05-30,2026-08-19,8767,2026-08-19,97.0,53706,-2.0
JP_OPENGOV_sameura,早明浦ダム,早明浦ダム,Japan,Kochi (高知),吉野川,吉野川,,,176489,,,,,Flood Control River Maintenance Irrigation Water Supply Industrial Water Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/sameura/,2026-08-19 11:32:24,sameura,高知県土佐郡土佐町中島地先,2002-05-30,2026-08-19,8766,2026-08-19,35.5,76030,-9.5
JP_OPENGOV_sanru,サンルダム,サンルダム,Japan,Hokkaido (北海道),サンル川,天塩川,,,15850,,,,,Flood Control River Maintenance Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/sanru/,2026-08-19 11:32:24,sanru,北海道上川郡下川町珊瑠,2020-06-30,2026-08-19,2241,2026-08-19,55.6,8823,-6.3
JP_OPENGOV_saruya,猿谷ダム,猿谷ダム,Japan,Nara (奈良),熊野川,新宮川,,,17312,,,,,River Maintenance Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/saruya/,2026-08-19 11:32:24,saruya,奈良県五條市大塔町辻堂,2002-05-30,2026-08-19,8726,2026-08-19,33.6,5821,-11.3
JP_OPENGOV_satsunaikawa,札内川ダム,札内川ダム,Japan,Hokkaido (北海道),札内川,十勝川,,,26347,,,,,Flood Control River Maintenance Irrigation Water Supply Power Generation,MLIT Hydro DB (via OpenGov.jp),https://opengov.jp/en/geo/dam-reservoir/satsunaikawa/,2026-08-19 11:32:24,satsunaikawa,北海道河西郡中札内村南札内,2002-05-30,2026-08-19,8804,2026-08-19,31.0,5099,-19.7
