reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2025-06-12,61.6,27118,,
JP_OPENGOV_aha,安波ダム,2025-06-12,95.6,13647,,
JP_OPENGOV_aimata-5090,相俣ダム,2025-06-12,69.1,13838,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2025-06-12,69,23650,,
JP_OPENGOV_chouankuchi,長安口ダム,2025-06-12,81.9,27670,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2025-06-12,94.3,57376,,
JP_OPENGOV_dono,殿ダム,2025-06-12,92,4947,,
JP_OPENGOV_egawa,江川ダム,2025-06-12,94.4,22645,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2025-06-12,93.7,29068,,
JP_OPENGOV_fukuchi,福地ダム,2025-06-12,98,43727,,
JP_OPENGOV_funkawa,普久川ダム,2025-06-12,72.7,743,,
JP_OPENGOV_futase,二瀬ダム,2025-06-12,78.4,15062,,
JP_OPENGOV_gassan,月山ダム,2025-06-12,100,19054,,
JP_OPENGOV_gosho,御所ダム,2025-06-12,18.1,5943,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2025-06-12,61.5,55369,,
JP_OPENGOV_haizuka,灰塚ダム,2025-06-12,100,10091,,
JP_OPENGOV_haji,土師ダム,2025-06-12,78.2,7706,,
JP_OPENGOV_haneji,羽地ダム,2025-06-12,92.6,15001,,
JP_OPENGOV_hasu,蓮ダム,2025-06-12,33.8,9612,,
JP_OPENGOV_hattahara,八田原ダム,2025-06-12,98,22422,,
JP_OPENGOV_hennoki,辺野喜ダム,2025-06-12,88.8,1915,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2025-06-12,62.8,9608,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2025-06-12,46.7,16823,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2025-06-12,55,14746,,
JP_OPENGOV_ikari,五十里ダム,2025-06-12,41.4,12349,,
JP_OPENGOV_isawa,胆沢ダム,2025-06-12,97.1,82142,,
JP_OPENGOV_ishitekawa,石手川ダム,2025-06-12,100,6310,,
JP_OPENGOV_iwaonai,岩尾内ダム,2025-06-12,75,72852,,
JP_OPENGOV_iwaya,岩屋ダム,2025-06-12,55.3,82933,,
JP_OPENGOV_iyasaka,弥栄ダム,2025-06-12,97.9,46983,,
JP_OPENGOV_izarigawa,漁川ダム,2025-06-12,59.1,2245,,
JP_OPENGOV_jouzankei,定山渓ダム,2025-06-12,95.6,54864,,
JP_OPENGOV_kamafusa,釜房ダム,2025-06-12,67.5,27940,,
JP_OPENGOV_kanatake,金武ダム,2025-06-12,89.7,5258,,
JP_OPENGOV_kanayama,金山ダム,2025-06-12,80.5,104783,,
JP_OPENGOV_kanna,漢那ダム,2025-06-12,93.3,6083,,
JP_OPENGOV_kanokawa,鹿野川ダム,2025-06-12,41.4,12300,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2025-06-12,93.6,47275,,
JP_OPENGOV_kawaji,川治ダム,2025-06-12,64.6,49093,,
JP_OPENGOV_kawamata,川俣ダム,2025-06-12,73.9,54032,,
JP_OPENGOV_koshibu,小渋ダム,2025-06-12,85.7,1044,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2025-06-12,27.9,13716,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2025-06-12,69.5,131959,,
JP_OPENGOV_kyuuragi,厳木ダム,2025-06-12,93.4,3616,,
JP_OPENGOV_makio,牧尾ダム,2025-06-12,89.1,60604,,
JP_OPENGOV_manakawa,真名川ダム,2025-06-12,85.7,34625,,
