reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_shijuushita,四十四田ダム,2025-06-03,74.1,22030,,
JP_OPENGOV_shikanoko,鹿ノ子ダム,2025-06-03,67.3,13800,,
JP_OPENGOV_shimachikawa,島地川ダム,2025-06-03,100,12707,,
JP_OPENGOV_shimokubo,下久保ダム,2025-06-03,73.9,88678,,
JP_OPENGOV_shimouke-0060,下筌ダム,2025-06-03,4.3,2186,,
JP_OPENGOV_shinguu,新宮ダム,2025-06-03,62.3,4546,,
JP_OPENGOV_shinkatsurazawa,新桂沢ダム,2025-06-03,91,102650,,
JP_OPENGOV_shinkawa,新川ダム,2025-06-03,49.4,344,,
JP_OPENGOV_shintoyone,新豊根ダム,2025-06-03,55.4,18922,,
JP_OPENGOV_shirakawa,白川ダム,2025-06-03,50.6,16937,,
JP_OPENGOV_shizuken,志津見ダム,2025-06-03,98.3,6119,,
JP_OPENGOV_shourenteradamu-kikou,青蓮寺ダム(機構),2025-06-03,82.5,15755,,
JP_OPENGOV_sonohara-5130,薗原ダム,2025-06-03,90.1,11906,,
JP_OPENGOV_soumoku,草木ダム,2025-06-03,97.4,49170,,
JP_OPENGOV_sugasawa,菅沢ダム,2025-06-03,78.3,11120,,
JP_OPENGOV_surikamikawa,摺上川ダム,2025-06-03,100,112623,,
JP_OPENGOV_takisato,滝里ダム,2025-06-03,83.9,26412,,
JP_OPENGOV_takizawa,滝沢ダム,2025-06-03,74.7,43329,,
JP_OPENGOV_tamagawa,玉川ダム,2025-06-03,81.8,152259,,
JP_OPENGOV_tase,田瀬ダム,2025-06-03,27.8,26849,,
JP_OPENGOV_tedorigawa,手取川ダム,2025-06-03,78.9,145427,,
JP_OPENGOV_tenkese,天ヶ瀬ダム,2025-06-03,72.3,13795,,
JP_OPENGOV_terauchi,寺内ダム,2025-06-03,81.3,6687,,
JP_OPENGOV_tokachi,十勝ダム,2025-06-03,39.5,29482,,
JP_OPENGOV_tokuyama,徳山ダム,2025-06-03,73.5,269408,,
JP_OPENGOV_tomata,苫田ダム,2025-06-03,98.9,27727,,
JP_OPENGOV_tomisato,富郷ダム,2025-06-03,44.8,19513,,
JP_OPENGOV_toyohirakyou,豊平峡ダム,2025-06-03,64.5,23908,,
JP_OPENGOV_tsuruta,鶴田ダム,2025-06-03,4.9,4899,,
JP_OPENGOV_unazuki,宇奈月ダム,2025-06-03,93.3,4952,,
JP_OPENGOV_urayama,浦山ダム,2025-06-03,67.3,37670,,
JP_OPENGOV_ure,宇連ダム,2025-06-03,50,14215,,
JP_OPENGOV_wataraseyuusuichi,渡良瀬遊水地,2025-06-03,90.7,23956,,
JP_OPENGOV_yabakei,耶馬溪ダム,2025-06-03,94.3,9245,,
JP_OPENGOV_yagisawa,矢木沢ダム,2025-06-03,98.8,114107,,
JP_OPENGOV_yanase,柳瀬ダム,2025-06-03,116.9,14260,,
JP_OPENGOV_yokosekawa,横瀬川ダム,2025-06-03,94.8,3263,,
JP_OPENGOV_yokoyama,横山ダム,2025-06-03,10.3,3109,,
JP_OPENGOV_yuda,湯田ダム,2025-06-03,74.8,55499,,
JP_OPENGOV_yunishikawa,湯西川ダム,2025-06-03,65.2,46971,,
JP_OPENGOV_yuubarishuuparo,夕張シューパロダム,2025-06-03,94.2,296628,,
