reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2024-10-06,59.8,26319,,
JP_OPENGOV_aha,安波ダム,2024-10-06,100,14380,,
JP_OPENGOV_aimata-5090,相俣ダム,2024-10-06,57.4,11492,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2024-10-06,18,6200,,
JP_OPENGOV_chouankuchi,長安口ダム,2024-10-06,69.6,23570,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2024-10-06,62.1,38642,,
JP_OPENGOV_dono,殿ダム,2024-10-06,100,5432,,
JP_OPENGOV_egawa,江川ダム,2024-10-06,64.4,15454,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2024-10-06,59.7,18500,,
JP_OPENGOV_fukuchi,福地ダム,2024-10-06,100,44739,,
JP_OPENGOV_funkawa,普久川ダム,2024-10-06,100,1053,,
JP_OPENGOV_futase,二瀬ダム,2024-10-06,1.3,250,,
JP_OPENGOV_gassan,月山ダム,2024-10-06,51.1,19124,,
JP_OPENGOV_gosho,御所ダム,2024-10-06,2,657,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2024-10-06,32,28772,,
JP_OPENGOV_haizuka,灰塚ダム,2024-10-06,93.8,9106,,
JP_OPENGOV_haji,土師ダム,2024-10-06,56.8,5595,,
JP_OPENGOV_haneji,羽地ダム,2024-10-06,100,16330,,
JP_OPENGOV_hasu,蓮ダム,2024-10-06,76.9,9535,,
JP_OPENGOV_hattahara,八田原ダム,2024-10-06,98.8,22583,,
JP_OPENGOV_hennoki,辺野喜ダム,2024-10-06,100,2243,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2024-10-06,96.4,9066,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2024-10-06,21.9,3500,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2024-10-06,64.2,8538,,
JP_OPENGOV_ikari,五十里ダム,2024-10-06,22.6,6743,,
JP_OPENGOV_isawa,胆沢ダム,2024-10-06,89.4,75620,,
JP_OPENGOV_ishitekawa,石手川ダム,2024-10-06,88.7,5587,,
JP_OPENGOV_iwaonai,岩尾内ダム,2024-10-06,46.1,39979,,
JP_OPENGOV_iwaya,岩屋ダム,2024-10-06,51.5,77279,,
JP_OPENGOV_iyasaka,弥栄ダム,2024-10-06,90.9,43626,,
JP_OPENGOV_izarigawa,漁川ダム,2024-10-06,16.4,625,,
JP_OPENGOV_jouzankei,定山渓ダム,2024-10-06,93.6,53705,,
JP_OPENGOV_kamafusa,釜房ダム,2024-10-06,45.4,20714,,
JP_OPENGOV_kanatake,金武ダム,2024-10-06,99.7,5847,,
JP_OPENGOV_kanayama,金山ダム,2024-10-06,64.5,66775,,
JP_OPENGOV_kanna,漢那ダム,2024-10-06,100,6521,,
JP_OPENGOV_kanokawa,鹿野川ダム,2024-10-06,82.9,14998,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2024-10-06,87.2,44011,,
JP_OPENGOV_kawaji,川治ダム,2024-10-06,45.7,34753,,
JP_OPENGOV_kawamata,川俣ダム,2024-10-06,69.2,50581,,
JP_OPENGOV_koshibu,小渋ダム,2024-10-06,23.2,5536,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2024-10-06,87.4,12059,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2024-10-06,39.1,74252,,
JP_OPENGOV_kyuuragi,厳木ダム,2024-10-06,95.6,3662,,
JP_OPENGOV_makio,牧尾ダム,2024-10-06,91.1,61922,,
JP_OPENGOV_manakawa,真名川ダム,2024-10-06,11.5,5665,,
JP_OPENGOV_maruyama,丸山ダム,2024-10-06,71.8,11206,,
JP_OPENGOV_matsubara,松原ダム,2024-10-06,79.4,35886,,
JP_OPENGOV_midorikawa,緑川ダム,2024-10-06,34.8,7059,,
JP_OPENGOV_miharu,三春ダム,2024-10-06,100,8144,,
JP_OPENGOV_mikunikawa,三国川ダム,2024-10-06,10.3,1734,,
