reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2025-12-03,66.8,29387,,
JP_OPENGOV_aha,安波ダム,2025-12-03,96,13703,,
JP_OPENGOV_aimata-5090,相俣ダム,2025-12-03,33.8,6760,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2025-12-03,54.8,18797,,
JP_OPENGOV_chouankuchi,長安口ダム,2025-12-03,49.7,16786,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2025-12-03,81.7,49748,,
JP_OPENGOV_dono,殿ダム,2025-12-03,99.6,5356,,
JP_OPENGOV_egawa,江川ダム,2025-12-03,70,16799,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2025-12-03,36.1,11186,,
JP_OPENGOV_fukuchi,福地ダム,2025-12-03,97.8,43679,,
JP_OPENGOV_funkawa,普久川ダム,2025-12-03,62.7,641,,
JP_OPENGOV_futase,二瀬ダム,2025-12-03,2.1,400,,
JP_OPENGOV_gassan,月山ダム,2025-12-03,100,38369,,
JP_OPENGOV_gosho,御所ダム,2025-12-03,16.1,5291,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2025-12-03,77.7,69894,,
JP_OPENGOV_haizuka,灰塚ダム,2025-12-03,79.8,7746,,
JP_OPENGOV_haji,土師ダム,2025-12-03,31.1,10545,,
JP_OPENGOV_haneji,羽地ダム,2025-12-03,91.9,14884,,
JP_OPENGOV_hasu,蓮ダム,2025-12-03,43.5,12341,,
JP_OPENGOV_hattahara,八田原ダム,2025-12-03,87.4,19992,,
JP_OPENGOV_hennoki,辺野喜ダム,2025-12-03,82.2,1772,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2025-12-03,49.9,7638,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2025-12-03,74.1,26663,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2025-12-03,67.7,18155,,
JP_OPENGOV_ikari,五十里ダム,2025-12-03,17.2,5129,,
JP_OPENGOV_isawa,胆沢ダム,2025-12-03,96.1,81189,,
JP_OPENGOV_ishitekawa,石手川ダム,2025-12-03,89.1,5612,,
JP_OPENGOV_iwaonai,岩尾内ダム,2025-12-03,83.6,81159,,
JP_OPENGOV_iwaya,岩屋ダム,2025-12-03,50.1,75128,,
JP_OPENGOV_iyasaka,弥栄ダム,2025-12-03,80.1,38452,,
JP_OPENGOV_izarigawa,漁川ダム,2025-12-03,8.1,309,,
JP_OPENGOV_jouzankei,定山渓ダム,2025-12-03,96.7,55488,,
JP_OPENGOV_kamafusa,釜房ダム,2025-12-03,43,19979,,
JP_OPENGOV_kanatake,金武ダム,2025-12-03,89,5220,,
JP_OPENGOV_kanayama,金山ダム,2025-12-03,76,98912,,
JP_OPENGOV_kanna,漢那ダム,2025-12-03,88.1,5746,,
JP_OPENGOV_kanokawa,鹿野川ダム,2025-12-03,6.6,1968,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2025-12-03,92.7,46800,,
JP_OPENGOV_kawaji,川治ダム,2025-12-03,59.9,45515,,
JP_OPENGOV_kawamata,川俣ダム,2025-12-03,84.3,61613,,
JP_OPENGOV_koshibu,小渋ダム,2025-12-03,56,13393,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2025-12-03,47.7,23482,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2025-12-03,52.1,99026,,
JP_OPENGOV_kyuuragi,厳木ダム,2025-12-03,95.1,3743,,
JP_OPENGOV_makio,牧尾ダム,2025-12-03,84,57123,,
JP_OPENGOV_manakawa,真名川ダム,2025-12-03,64.6,31831,,
JP_OPENGOV_maruyama,丸山ダム,2025-12-03,73.9,11826,,
JP_OPENGOV_matsubara,松原ダム,2025-12-03,66.1,30394,,
