reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2023-04-29,74.4,32729,,
JP_OPENGOV_aha,安波ダム,2023-04-29,88.4,11148,,
JP_OPENGOV_aimata-5090,相俣ダム,2023-04-29,44.6,8930,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2023-04-29,90.9,31598,,
JP_OPENGOV_chouankuchi,長安口ダム,2023-04-29,88.1,29842,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2023-04-29,23.5,14641,,
JP_OPENGOV_dono,殿ダム,2023-04-29,99.2,5334,,
JP_OPENGOV_egawa,江川ダム,2023-04-29,86.2,20677,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2023-04-29,48,14898,,
JP_OPENGOV_fukuchi,福地ダム,2023-04-29,95.3,42581,,
JP_OPENGOV_funkawa,普久川ダム,2023-04-29,21.2,202,,
JP_OPENGOV_futase,二瀬ダム,2023-04-29,66.5,12470,,
JP_OPENGOV_gassan,月山ダム,2023-04-29,100,39472,,
JP_OPENGOV_gosho,御所ダム,2023-04-29,74.5,24389,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2023-04-29,82.4,74195,,
JP_OPENGOV_haizuka,灰塚ダム,2023-04-29,100,10524,,
JP_OPENGOV_haji,土師ダム,2023-04-29,40.8,13841,,
JP_OPENGOV_haneji,羽地ダム,2023-04-29,97.4,15197,,
JP_OPENGOV_hasu,蓮ダム,2023-04-29,64.8,18392,,
JP_OPENGOV_hattahara,八田原ダム,2023-04-29,83.2,19013,,
JP_OPENGOV_hennoki,辺野喜ダム,2023-04-29,58.8,941,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2023-04-29,59.4,9094,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2023-04-29,86.7,31215,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2023-04-29,64.4,17252,,
JP_OPENGOV_ikari,五十里ダム,2023-04-29,61.7,18427,,
JP_OPENGOV_isawa,胆沢ダム,2023-04-29,100,89445,,
JP_OPENGOV_ishitekawa,石手川ダム,2023-04-29,95.9,6043,,
JP_OPENGOV_iwaonai,岩尾内ダム,2023-04-29,62.2,60471,,
JP_OPENGOV_iwaya,岩屋ダム,2023-04-29,42.2,63336,,
JP_OPENGOV_iyasaka,弥栄ダム,2023-04-29,96.2,46173,,
JP_OPENGOV_izarigawa,漁川ダム,2023-04-29,85.8,3262,,
JP_OPENGOV_jouzankei,定山渓ダム,2023-04-29,73.3,42108,,
JP_OPENGOV_kamafusa,釜房ダム,2023-04-29,85.7,33799,,
JP_OPENGOV_kanatake,金武ダム,2023-04-29,87.4,4684,,
JP_OPENGOV_kanayama,金山ダム,2023-04-29,66.2,86263,,
JP_OPENGOV_kanna,漢那ダム,2023-04-29,96.9,6447,,
JP_OPENGOV_kanokawa,鹿野川ダム,2023-04-29,87.9,26109,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2023-04-29,77.1,38939,,
JP_OPENGOV_kawaji,川治ダム,2023-04-29,79.9,60761,,
JP_OPENGOV_kawamata,川俣ダム,2023-04-29,84.8,61975,,
