reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2023-06-15,61.7,27166,,
JP_OPENGOV_aha,安波ダム,2023-06-15,100,12711,,
JP_OPENGOV_aimata-5090,相俣ダム,2023-06-15,75.4,15087,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2023-06-15,49.5,17208,,
JP_OPENGOV_chouankuchi,長安口ダム,2023-06-15,81.2,27479,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2023-06-15,89.7,55985,,
JP_OPENGOV_dono,殿ダム,2023-06-15,98.8,5315,,
JP_OPENGOV_egawa,江川ダム,2023-06-15,96.9,23251,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2023-06-15,86,26662,,
JP_OPENGOV_fukuchi,福地ダム,2023-06-15,100,45185,,
JP_OPENGOV_funkawa,普久川ダム,2023-06-15,100,978,,
JP_OPENGOV_futase,二瀬ダム,2023-06-15,77.9,14604,,
JP_OPENGOV_gassan,月山ダム,2023-06-15,91.9,16607,,
JP_OPENGOV_gosho,御所ダム,2023-06-15,46,15064,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2023-06-15,57.1,51387,,
JP_OPENGOV_haizuka,灰塚ダム,2023-06-15,100,10540,,
JP_OPENGOV_haji,土師ダム,2023-06-15,93.9,9258,,
JP_OPENGOV_haneji,羽地ダム,2023-06-15,100,16039,,
JP_OPENGOV_hasu,蓮ダム,2023-06-15,34.1,9675,,
JP_OPENGOV_hattahara,八田原ダム,2023-06-15,97.6,22318,,
JP_OPENGOV_hennoki,辺野喜ダム,2023-06-15,92.7,1484,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2023-06-15,98.1,9221,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2023-06-15,43.9,15816,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2023-06-15,100,14414,,
JP_OPENGOV_ikari,五十里ダム,2023-06-15,100,12993,,
JP_OPENGOV_isawa,胆沢ダム,2023-06-15,71.2,60191,,
JP_OPENGOV_ishitekawa,石手川ダム,2023-06-15,100,6652,,
JP_OPENGOV_iwaonai,岩尾内ダム,2023-06-15,81.3,70462,,
JP_OPENGOV_iwaya,岩屋ダム,2023-06-15,60.3,90376,,
JP_OPENGOV_iyasaka,弥栄ダム,2023-06-15,97.8,46936,,
JP_OPENGOV_izarigawa,漁川ダム,2023-06-15,86.2,3274,,
JP_OPENGOV_jouzankei,定山渓ダム,2023-06-15,98.1,56301,,
JP_OPENGOV_kamafusa,釜房ダム,2023-06-15,59.1,25162,,
JP_OPENGOV_kanatake,金武ダム,2023-06-15,100,5383,,
JP_OPENGOV_kanayama,金山ダム,2023-06-15,93.6,96907,,
JP_OPENGOV_kanna,漢那ダム,2023-06-15,100,6703,,
JP_OPENGOV_kanokawa,鹿野川ダム,2023-06-15,52.1,15463,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2023-06-15,93.6,47247,,
JP_OPENGOV_kawaji,川治ダム,2023-06-15,57.4,43605,,
JP_OPENGOV_kawamata,川俣ダム,2023-06-15,98.9,52361,,
JP_OPENGOV_koshibu,小渋ダム,2023-06-15,81.9,1130,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2023-06-15,25.8,12680,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2023-06-15,70.3,133491,,
JP_OPENGOV_kyuuragi,厳木ダム,2023-06-15,96.6,4256,,
JP_OPENGOV_makio,牧尾ダム,2023-06-15,92.9,63202,,
JP_OPENGOV_manakawa,真名川ダム,2023-06-15,91.6,33514,,
JP_OPENGOV_maruyama,丸山ダム,2023-06-15,89.2,13600,,
JP_OPENGOV_matsubara,松原ダム,2023-06-15,100,6589,,
JP_OPENGOV_midorikawa,緑川ダム,2023-06-15,64.6,9676,,
JP_OPENGOV_miharu,三春ダム,2023-06-15,100,8246,,
JP_OPENGOV_mikunikawa,三国川ダム,2023-06-15,95.1,1725,,
JP_OPENGOV_misokawa,味噌川ダム,2023-06-15,77.7,42703,,
JP_OPENGOV_miwa,美和ダム,2023-06-15,78.1,4113,,
JP_OPENGOV_miyakese,宮ヶ瀬ダム,2023-06-15,75,137867,,
JP_OPENGOV_muroudamu-kikou,室生ダム(機構),2023-06-15,59.7,7938,,
JP_OPENGOV_nagashima,長島ダム,2023-06-15,40.7,19076,,
JP_OPENGOV_nakasujikawa,中筋川ダム,2023-06-15,79.5,3143,,
JP_OPENGOV_naramata,奈良俣ダム,2023-06-15,93.7,79644,,
JP_OPENGOV_naruko,鳴子ダム,2023-06-15,38.9,12830,,
JP_OPENGOV_nibutani,二風谷ダム,2023-06-15,77.8,6484,,
JP_OPENGOV_nomura,野村ダム,2023-06-15,77.7,9472,,
JP_OPENGOV_nukui,温井ダム,2023-06-15,98.3,37352,,
JP_OPENGOV_nunomedamu-kikou,布目ダム(機構),2023-06-15,76.4,9709,,
JP_OPENGOV_ohara,尾原ダム,2023-06-15,97.8,17428,,
JP_OPENGOV_ooishi,大石ダム,2023-06-15,0.9,139,,
JP_OPENGOV_ookawa,大川ダム,2023-06-15,47.8,12361,,
JP_OPENGOV_oomachi,大町ダム,2023-06-15,98,7767,,
JP_OPENGOV_ootaki,大滝ダム,2023-06-15,43.5,30903,,
JP_OPENGOV_oowatari,大渡ダム,2023-06-15,71.5,23037,,
JP_OPENGOV_ooyasu,大保ダム,2023-06-15,87.3,15013,,
JP_OPENGOV_ooyuki,大雪ダム,2023-06-15,81.6,38241,,
JP_OPENGOV_ozatokawa,小里川ダム,2023-06-15,1.9,58,,
JP_OPENGOV_pirika,美利河ダム,2023-06-15,71.6,6579,,
JP_OPENGOV_rumoi,留萌ダム,2023-06-15,90.9,9387,,
JP_OPENGOV_ryuumon,竜門ダム,2023-06-15,99.9,33470,,
JP_OPENGOV_sagae,寒河江ダム,2023-06-15,64.6,58054,,
JP_OPENGOV_sameura,早明浦ダム,2023-06-15,100,185200,,
JP_OPENGOV_sanru,サンルダム,2023-06-15,90.5,13676,,
JP_OPENGOV_saruya,猿谷ダム,2023-06-15,85.8,14856,,
JP_OPENGOV_satsunaikawa,札内川ダム,2023-06-15,96.4,25632,,
JP_OPENGOV_shichigashuku,七ヶ宿ダム,2023-06-15,87.5,56447,,
JP_OPENGOV_shijuushita,四十四田ダム,2023-06-15,20.5,6102,,
JP_OPENGOV_shimachikawa,島地川ダム,2023-06-15,100,12459,,
JP_OPENGOV_shimokubo,下久保ダム,2023-06-15,66,79243,,
JP_OPENGOV_shimouke-0060,下筌ダム,2023-06-15,30.2,219,,
JP_OPENGOV_shinguu,新宮ダム,2023-06-15,121.2,8849,,
JP_OPENGOV_shinkatsurazawa,新桂沢ダム,2023-06-15,72.7,57866,,
JP_OPENGOV_shinkawa,新川ダム,2023-06-15,100,610,,
JP_OPENGOV_shintoyone,新豊根ダム,2023-06-15,63.1,21540,,
JP_OPENGOV_shirakawa,白川ダム,2023-06-15,36.7,12268,,
JP_OPENGOV_shizuken,志津見ダム,2023-06-15,100,6300,,
JP_OPENGOV_shourenteradamu-kikou,青蓮寺ダム(機構),2023-06-15,97.6,15024,,
JP_OPENGOV_sonohara-5130,薗原ダム,2023-06-15,81.4,10766,,
JP_OPENGOV_soumoku,草木ダム,2023-06-15,93.8,47349,,
JP_OPENGOV_sugasawa,菅沢ダム,2023-06-15,73.4,10418,,
JP_OPENGOV_surikamikawa,摺上川ダム,2023-06-15,97.8,97718,,
JP_OPENGOV_takisato,滝里ダム,2023-06-15,84.2,26762,,
JP_OPENGOV_takizawa,滝沢ダム,2023-06-15,66.2,38383,,
JP_OPENGOV_tamagawa,玉川ダム,2023-06-15,100,118267,,
JP_OPENGOV_tase,田瀬ダム,2023-06-15,16.6,16068,,
JP_OPENGOV_tedorigawa,手取川ダム,2023-06-15,87.2,147590,,
JP_OPENGOV_tenkese,天ヶ瀬ダム,2023-06-15,34.9,6660,,
JP_OPENGOV_terauchi,寺内ダム,2023-06-15,100,9065,,
JP_OPENGOV_tokachi,十勝ダム,2023-06-15,8.5,6391,,
JP_OPENGOV_tokuyama,徳山ダム,2023-06-15,69.6,254992,,
JP_OPENGOV_tomata,苫田ダム,2023-06-15,98.2,27516,,
JP_OPENGOV_tomisato,富郷ダム,2023-06-15,70.4,30680,,
JP_OPENGOV_toyohirakyou,豊平峡ダム,2023-06-15,76.1,21994,,
JP_OPENGOV_tsuruta,鶴田ダム,2023-06-15,59.7,3826,,
JP_OPENGOV_unazuki,宇奈月ダム,2023-06-15,88.5,4918,,
JP_OPENGOV_urayama,浦山ダム,2023-06-15,64.1,35904,,
JP_OPENGOV_ure,宇連ダム,2023-06-15,96.5,27421,,
JP_OPENGOV_wataraseyuusuichi,渡良瀬遊水地,2023-06-15,98.1,25904,,
JP_OPENGOV_yabakei,耶馬溪ダム,2023-06-15,94.3,9238,,
JP_OPENGOV_yagisawa,矢木沢ダム,2023-06-15,98.9,114213,,
JP_OPENGOV_yanase,柳瀬ダム,2023-06-15,210.7,25703,,
JP_OPENGOV_yokosekawa,横瀬川ダム,2023-06-15,100,3445,,
JP_OPENGOV_yokoyama,横山ダム,2023-06-15,7.1,2147,,
JP_OPENGOV_yuda,湯田ダム,2023-06-15,25.5,16892,,
JP_OPENGOV_yunishikawa,湯西川ダム,2023-06-15,97.1,40798,,
JP_OPENGOV_yuubarishuuparo,夕張シューパロダム,2023-06-15,90.5,275167,,
