reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2021-05-25,64.9,28551,,
JP_OPENGOV_aha,安波ダム,2021-05-25,95.6,12047,,
JP_OPENGOV_aimata-5090,相俣ダム,2021-05-25,97.2,19462,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2021-05-25,87,30282,,
JP_OPENGOV_chouankuchi,長安口ダム,2021-05-25,85.1,28698,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2021-05-25,68.7,42840,,
JP_OPENGOV_dono,殿ダム,2021-05-25,98.5,5300,,
JP_OPENGOV_egawa,江川ダム,2021-05-25,67.9,16305,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2021-05-25,93.5,28996,,
JP_OPENGOV_fukuchi,福地ダム,2021-05-25,98.2,43881,,
JP_OPENGOV_funkawa,普久川ダム,2021-05-25,61.7,587,,
JP_OPENGOV_futase,二瀬ダム,2021-05-25,57.5,11047,,
JP_OPENGOV_gassan,月山ダム,2021-05-25,57.4,21596,,
JP_OPENGOV_gosho,御所ダム,2021-05-25,77.7,25452,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2021-05-25,92.3,83038,,
JP_OPENGOV_haizuka,灰塚ダム,2021-05-25,100,10493,,
JP_OPENGOV_haji,土師ダム,2021-05-25,58.6,19884,,
JP_OPENGOV_haneji,羽地ダム,2021-05-25,96.8,15103,,
JP_OPENGOV_hasu,蓮ダム,2021-05-25,46.6,13248,,
JP_OPENGOV_hattahara,八田原ダム,2021-05-25,96.7,22254,,
JP_OPENGOV_hennoki,辺野喜ダム,2021-05-25,80.5,1288,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2021-05-25,73.7,11281,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2021-05-25,68.2,24559,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2021-05-25,69.3,18583,,
JP_OPENGOV_ikari,五十里ダム,2021-05-25,56.3,16817,,
JP_OPENGOV_isawa,胆沢ダム,2021-05-25,100,88410,,
JP_OPENGOV_ishitekawa,石手川ダム,2021-05-25,99.5,6271,,
JP_OPENGOV_iwaonai,岩尾内ダム,2021-05-25,87.2,84773,,
JP_OPENGOV_iwaya,岩屋ダム,2021-05-25,61.9,92883,,
JP_OPENGOV_iyasaka,弥栄ダム,2021-05-25,96.7,46412,,
JP_OPENGOV_izarigawa,漁川ダム,2021-05-25,86.8,3299,,
JP_OPENGOV_jouzankei,定山渓ダム,2021-05-25,94.3,54136,,
JP_OPENGOV_kamafusa,釜房ダム,2021-05-25,79,31677,,
JP_OPENGOV_kanatake,金武ダム,2021-05-25,90.6,4857,,
JP_OPENGOV_kanayama,金山ダム,2021-05-25,84.5,110085,,
JP_OPENGOV_kanna,漢那ダム,2021-05-25,96.2,6395,,
JP_OPENGOV_kanokawa,鹿野川ダム,2021-05-25,47.6,14146,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2021-05-25,67.7,34187,,
JP_OPENGOV_kawaji,川治ダム,2021-05-25,67.2,51082,,
JP_OPENGOV_kawamata,川俣ダム,2021-05-25,89.9,65720,,
JP_OPENGOV_koshibu,小渋ダム,2021-05-25,37.6,9385,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2021-05-25,58.2,28628,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2021-05-25,78.7,149511,,
JP_OPENGOV_kyuuragi,厳木ダム,2021-05-25,94.4,3750,,
JP_OPENGOV_makio,牧尾ダム,2021-05-25,93.8,63779,,
JP_OPENGOV_manakawa,真名川ダム,2021-05-25,92,45316,,
JP_OPENGOV_maruyama,丸山ダム,2021-05-25,100,13229,,
JP_OPENGOV_matsubara,松原ダム,2021-05-25,26.5,12240,,
JP_OPENGOV_midorikawa,緑川ダム,2021-05-25,29.9,7680,,
JP_OPENGOV_miharu,三春ダム,2021-05-25,66.2,13099,,
JP_OPENGOV_mikunikawa,三国川ダム,2021-05-25,12.7,2128,,
JP_OPENGOV_misokawa,味噌川ダム,2021-05-25,79.9,43938,,
JP_OPENGOV_miwa,美和ダム,2021-05-25,46.8,8735,,
JP_OPENGOV_miyakese,宮ヶ瀬ダム,2021-05-25,71,129722,,
JP_OPENGOV_muroudamu-kikou,室生ダム(機構),2021-05-25,84.3,11216,,
JP_OPENGOV_nagashima,長島ダム,2021-05-25,45.8,21492,,
JP_OPENGOV_nakasujikawa,中筋川ダム,2021-05-25,89.2,3524,,
JP_OPENGOV_naramata,奈良俣ダム,2021-05-25,99.4,84528,,
JP_OPENGOV_naruko,鳴子ダム,2021-05-25,69.8,23022,,
JP_OPENGOV_nibutani,二風谷ダム,2021-05-25,89.2,7384,,
JP_OPENGOV_nomura,野村ダム,2021-05-25,68.7,8377,,
JP_OPENGOV_nukui,温井ダム,2021-05-25,79,37928,,
JP_OPENGOV_nunomedamu-kikou,布目ダム(機構),2021-05-25,86.1,10928,,
JP_OPENGOV_ohara,尾原ダム,2021-05-25,68.8,21797,,
JP_OPENGOV_ooishi,大石ダム,2021-05-25,94.4,14145,,
JP_OPENGOV_ookawa,大川ダム,2021-05-25,84.7,21905,,
JP_OPENGOV_oomachi,大町ダム,2021-05-25,31.4,7572,,
JP_OPENGOV_ootaki,大滝ダム,2021-05-25,68.4,48543,,
JP_OPENGOV_oowatari,大渡ダム,2021-05-25,95.5,30782,,
JP_OPENGOV_ooyasu,大保ダム,2021-05-25,84.3,14498,,
JP_OPENGOV_ooyuki,大雪ダム,2021-05-25,52.5,29091,,
JP_OPENGOV_ozatokawa,小里川ダム,2021-05-25,32.5,1020,,
JP_OPENGOV_pirika,美利河ダム,2021-05-25,59.4,5534,,
JP_OPENGOV_rumoi,留萌ダム,2021-05-25,100,10853,,
JP_OPENGOV_ryuumon,竜門ダム,2021-05-25,100,33596,,
JP_OPENGOV_sagae,寒河江ダム,2021-05-25,79.8,71733,,
JP_OPENGOV_sameura,早明浦ダム,2021-05-25,100,202020,,
JP_OPENGOV_sanru,サンルダム,2021-05-25,100,16123,,
JP_OPENGOV_saruya,猿谷ダム,2021-05-25,86.8,15033,,
JP_OPENGOV_satsunaikawa,札内川ダム,2021-05-25,100,28112,,
JP_OPENGOV_shichigashuku,七ヶ宿ダム,2021-05-25,97.1,62618,,
JP_OPENGOV_shijuushita,四十四田ダム,2021-05-25,81.9,24328,,
JP_OPENGOV_shikanoko,鹿ノ子ダム,2021-05-25,73.8,15708,,
JP_OPENGOV_shimachikawa,島地川ダム,2021-05-25,100,12654,,
JP_OPENGOV_shimokubo,下久保ダム,2021-05-25,63,75541,,
JP_OPENGOV_shimouke-0060,下筌ダム,2021-05-25,10.2,5195,,
JP_OPENGOV_shinguu,新宮ダム,2021-05-25,62,4526,,
JP_OPENGOV_shinkatsurazawa,新桂沢ダム,2021-05-25,96.8,77021,,
JP_OPENGOV_shinkawa,新川ダム,2021-05-25,40.2,241,,
JP_OPENGOV_shintoyone,新豊根ダム,2021-05-25,64.4,26099,,
JP_OPENGOV_shirakawa,白川ダム,2021-05-25,68,22760,,
JP_OPENGOV_shizuken,志津見ダム,2021-05-25,100,6357,,
JP_OPENGOV_shourenteradamu-kikou,青蓮寺ダム(機構),2021-05-25,88.4,16888,,
JP_OPENGOV_sonohara-5130,薗原ダム,2021-05-25,88.1,11646,,
JP_OPENGOV_soumoku,草木ダム,2021-05-25,93.9,47415,,
JP_OPENGOV_sugasawa,菅沢ダム,2021-05-25,81.3,11548,,
JP_OPENGOV_takisato,滝里ダム,2021-05-25,77.2,24769,,
JP_OPENGOV_takizawa,滝沢ダム,2021-05-25,49.5,28705,,
JP_OPENGOV_tamagawa,玉川ダム,2021-05-25,96.7,180332,,
JP_OPENGOV_tase,田瀬ダム,2021-05-25,20.8,20082,,
JP_OPENGOV_tedorigawa,手取川ダム,2021-05-25,79.1,145841,,
JP_OPENGOV_tenkese,天ヶ瀬ダム,2021-05-25,68,13017,,
