reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2021-11-03,65.7,28892,,
JP_OPENGOV_aha,安波ダム,2021-11-03,87.4,11013,,
JP_OPENGOV_aimata-5090,相俣ダム,2021-11-03,93.6,18731,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2021-11-03,29.8,10358,,
JP_OPENGOV_chouankuchi,長安口ダム,2021-11-03,54.5,18406,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2021-11-03,55.3,34504,,
JP_OPENGOV_dono,殿ダム,2021-11-03,77.3,4160,,
JP_OPENGOV_egawa,江川ダム,2021-11-03,96.5,23167,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2021-11-03,71.3,22103,,
JP_OPENGOV_fukuchi,福地ダム,2021-11-03,94.9,42404,,
JP_OPENGOV_funkawa,普久川ダム,2021-11-03,20.4,194,,
JP_OPENGOV_futase,二瀬ダム,2021-11-03,1.7,328,,
JP_OPENGOV_gassan,月山ダム,2021-11-03,74.5,28011,,
JP_OPENGOV_gosho,御所ダム,2021-11-03,3.5,1155,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2021-11-03,65.5,58994,,
JP_OPENGOV_haizuka,灰塚ダム,2021-11-03,96.4,9352,,
JP_OPENGOV_haji,土師ダム,2021-11-03,29.3,9955,,
JP_OPENGOV_haneji,羽地ダム,2021-11-03,93.5,14589,,
JP_OPENGOV_hasu,蓮ダム,2021-11-03,33.2,9427,,
JP_OPENGOV_hattahara,八田原ダム,2021-11-03,99.8,22958,,
JP_OPENGOV_hennoki,辺野喜ダム,2021-11-03,58.3,934,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2021-11-03,66.4,10157,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2021-11-03,34.3,12355,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2021-11-03,39.3,10539,,
JP_OPENGOV_ikari,五十里ダム,2021-11-03,20.8,6223,,
JP_OPENGOV_isawa,胆沢ダム,2021-11-03,66.7,56300,,
JP_OPENGOV_ishitekawa,石手川ダム,2021-11-03,99.9,6294,,
JP_OPENGOV_iwaonai,岩尾内ダム,2021-11-03,76.3,74094,,
JP_OPENGOV_iwaya,岩屋ダム,2021-11-03,54.5,81704,,
JP_OPENGOV_iyasaka,弥栄ダム,2021-11-03,96.2,46173,,
JP_OPENGOV_izarigawa,漁川ダム,2021-11-03,19.1,726,,
JP_OPENGOV_jouzankei,定山渓ダム,2021-11-03,71.4,40969,,
JP_OPENGOV_kamafusa,釜房ダム,2021-11-03,48.8,21851,,
JP_OPENGOV_kanatake,金武ダム,2021-11-03,84.3,4519,,
JP_OPENGOV_kanayama,金山ダム,2021-11-03,67.4,87870,,
JP_OPENGOV_kanna,漢那ダム,2021-11-03,94.7,6296,,
JP_OPENGOV_kanokawa,鹿野川ダム,2021-11-03,27.4,8125,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2021-11-03,99.2,50079,,
JP_OPENGOV_kawaji,川治ダム,2021-11-03,50.9,38653,,
JP_OPENGOV_kawamata,川俣ダム,2021-11-03,71.4,52209,,
JP_OPENGOV_koshibu,小渋ダム,2021-11-03,16.5,4110,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2021-11-03,40.3,19830,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2021-11-03,62.8,119286,,
JP_OPENGOV_kyuuragi,厳木ダム,2021-11-03,95.1,4759,,
JP_OPENGOV_makio,牧尾ダム,2021-11-03,89.8,61050,,
JP_OPENGOV_manakawa,真名川ダム,2021-11-03,5.8,2849,,
JP_OPENGOV_maruyama,丸山ダム,2021-11-03,70.4,11354,,
JP_OPENGOV_matsubara,松原ダム,2021-11-03,92.2,42517,,
JP_OPENGOV_midorikawa,緑川ダム,2021-11-03,30.5,7824,,
JP_OPENGOV_miharu,三春ダム,2021-11-03,40.9,8099,,
JP_OPENGOV_mikunikawa,三国川ダム,2021-11-03,14.6,2452,,
JP_OPENGOV_misokawa,味噌川ダム,2021-11-03,77.4,42561,,
JP_OPENGOV_miwa,美和ダム,2021-11-03,18.4,3438,,
JP_OPENGOV_miyakese,宮ヶ瀬ダム,2021-11-03,79,144361,,
JP_OPENGOV_muroudamu-kikou,室生ダム(機構),2021-11-03,47.6,6332,,
JP_OPENGOV_nagashima,長島ダム,2021-11-03,41.3,19376,,
JP_OPENGOV_nakasujikawa,中筋川ダム,2021-11-03,73.5,2904,,
JP_OPENGOV_naramata,奈良俣ダム,2021-11-03,90.4,76879,,
JP_OPENGOV_naruko,鳴子ダム,2021-11-03,43.2,14245,,
JP_OPENGOV_nibutani,二風谷ダム,2021-11-03,87.5,7243,,
JP_OPENGOV_nomura,野村ダム,2021-11-03,54.1,6594,,
JP_OPENGOV_nukui,温井ダム,2021-11-03,77.5,37208,,
JP_OPENGOV_nunomedamu-kikou,布目ダム(機構),2021-11-03,70,8885,,
JP_OPENGOV_ohara,尾原ダム,2021-11-03,54.5,17269,,
JP_OPENGOV_ooishi,大石ダム,2021-11-03,54.7,8194,,
JP_OPENGOV_ookawa,大川ダム,2021-11-03,53.6,13875,,
JP_OPENGOV_oomachi,大町ダム,2021-11-03,43.5,10514,,
JP_OPENGOV_ootaki,大滝ダム,2021-11-03,35,24877,,
JP_OPENGOV_oowatari,大渡ダム,2021-11-03,31.4,10122,,
JP_OPENGOV_ooyasu,大保ダム,2021-11-03,84.2,14477,,
JP_OPENGOV_ooyuki,大雪ダム,2021-11-03,41.1,22763,,
JP_OPENGOV_ozatokawa,小里川ダム,2021-11-03,46.4,1459,,
JP_OPENGOV_pirika,美利河ダム,2021-11-03,51.4,4791,,
JP_OPENGOV_rumoi,留萌ダム,2021-11-03,36.9,3820,,
JP_OPENGOV_ryuumon,竜門ダム,2021-11-03,98,32823,,
JP_OPENGOV_sagae,寒河江ダム,2021-11-03,44.9,40394,,
JP_OPENGOV_sameura,早明浦ダム,2021-11-03,83,131210,,
JP_OPENGOV_sanru,サンルダム,2021-11-03,100,16419,,
JP_OPENGOV_saruya,猿谷ダム,2021-11-03,36.9,6381,,
JP_OPENGOV_satsunaikawa,札内川ダム,2021-11-03,64.8,17221,,
JP_OPENGOV_shichigashuku,七ヶ宿ダム,2021-11-03,62.1,40059,,
JP_OPENGOV_shijuushita,四十四田ダム,2021-11-03,5.9,1765,,
JP_OPENGOV_shikanoko,鹿ノ子ダム,2021-11-03,58.4,12417,,
JP_OPENGOV_shimachikawa,島地川ダム,2021-11-03,99.4,12327,,
JP_OPENGOV_shimokubo,下久保ダム,2021-11-03,73.2,87863,,
JP_OPENGOV_shimouke-0060,下筌ダム,2021-11-03,71.4,36494,,
JP_OPENGOV_shinguu,新宮ダム,2021-11-03,114.3,8343,,
JP_OPENGOV_shinkatsurazawa,新桂沢ダム,2021-11-03,19.7,15666,,
JP_OPENGOV_shinkawa,新川ダム,2021-11-03,19.8,119,,
JP_OPENGOV_shintoyone,新豊根ダム,2021-11-03,64.4,26112,,
JP_OPENGOV_shirakawa,白川ダム,2021-11-03,15.9,5310,,
JP_OPENGOV_shizuken,志津見ダム,2021-11-03,85.7,5332,,
JP_OPENGOV_shourenteradamu-kikou,青蓮寺ダム(機構),2021-11-03,80.6,15400,,
JP_OPENGOV_sonohara-5130,薗原ダム,2021-11-03,17.9,2361,,
JP_OPENGOV_soumoku,草木ダム,2021-11-03,94,47447,,
JP_OPENGOV_sugasawa,菅沢ダム,2021-11-03,5.2,736,,
JP_OPENGOV_takisato,滝里ダム,2021-11-03,59.3,19008,,
JP_OPENGOV_takizawa,滝沢ダム,2021-11-03,49.5,28686,,
JP_OPENGOV_tamagawa,玉川ダム,2021-11-03,36.5,68078,,
JP_OPENGOV_tase,田瀬ダム,2021-11-03,56,57055,,
JP_OPENGOV_tedorigawa,手取川ダム,2021-11-03,37.2,70513,,
JP_OPENGOV_tenkese,天ヶ瀬ダム,2021-11-03,32.6,6236,,
JP_OPENGOV_terauchi,寺内ダム,2021-11-03,84.7,7626,,
JP_OPENGOV_tokachi,十勝ダム,2021-11-03,38.6,29016,,
JP_OPENGOV_tokuyama,徳山ダム,2021-11-03,65.1,238587,,
JP_OPENGOV_tomata,苫田ダム,2021-11-03,95.8,26853,,
JP_OPENGOV_tomisato,富郷ダム,2021-11-03,67.1,29236,,
JP_OPENGOV_toyohirakyou,豊平峡ダム,2021-11-03,79.6,29487,,
JP_OPENGOV_tsuruta,鶴田ダム,2021-11-03,39.1,37473,,
JP_OPENGOV_unazuki,宇奈月ダム,2021-11-03,5.1,296,,
JP_OPENGOV_urayama,浦山ダム,2021-11-03,63.3,35460,,
JP_OPENGOV_ure,宇連ダム,2021-11-03,83,23597,,
