reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2026-08-14,61.4,27000,3.12,3.78
JP_OPENGOV_aha,安波ダム,2026-08-14,100,14294,1.3,1.46
JP_OPENGOV_aimata-5090,相俣ダム,2026-08-14,95.6,10113,4.38,4.38
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2026-08-14,100,15792,9.47,13.04
JP_OPENGOV_chouankuchi,長安口ダム,2026-08-14,61.6,20871,9.82,0
JP_OPENGOV_chuubetsu-5190,忠別ダム,2026-08-14,62.2,37881,12.24,22.25
JP_OPENGOV_dono,殿ダム,2026-08-14,62.8,3377,0.71,1.36
JP_OPENGOV_egawa,江川ダム,2026-08-14,58.8,14105,3.99,5.01
JP_OPENGOV_fujiwara-5030,藤原ダム,2026-08-14,100,12927,1.47,0
JP_OPENGOV_fukuchi,福地ダム,2026-08-14,99.9,44593,9.92,3.27
JP_OPENGOV_funkawa,普久川ダム,2026-08-14,100,1040,0.52,0.53
JP_OPENGOV_futase,二瀬ダム,2026-08-14,100,3114,16.01,21.92
JP_OPENGOV_gassan,月山ダム,2026-08-14,99.7,17884,3.77,4
JP_OPENGOV_gosho,御所ダム,2026-08-14,68.6,3186,21.46,21.59
JP_OPENGOV_hachitsuba,八ッ場ダム,2026-08-14,92.1,23022,14.98,2.46
JP_OPENGOV_haizuka,灰塚ダム,2026-08-14,77.4,7515,1.81,2.07
JP_OPENGOV_haji,土師ダム,2026-08-14,75.8,7468,2.89,2.89
JP_OPENGOV_haneji,羽地ダム,2026-08-14,100,16197,0.5,0.5
JP_OPENGOV_hasu,蓮ダム,2026-08-14,49.3,6116,1.49,1.01
JP_OPENGOV_hattahara,八田原ダム,2026-08-14,96.9,22170,1.33,1.33
JP_OPENGOV_hennoki,辺野喜ダム,2026-08-14,100,2205,0.54,0.6
