reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2022-10-05,62.3,27427,,
JP_OPENGOV_aha,安波ダム,2022-10-05,94.9,11959,,
JP_OPENGOV_aimata-5090,相俣ダム,2022-10-05,32.7,6555,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2022-10-05,14.7,5113,,
JP_OPENGOV_chouankuchi,長安口ダム,2022-10-05,77.5,26232,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2022-10-05,76.9,48009,,
JP_OPENGOV_dono,殿ダム,2022-10-05,97.5,5244,,
JP_OPENGOV_egawa,江川ダム,2022-10-05,72.4,17371,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2022-10-05,44.8,13881,,
JP_OPENGOV_fukuchi,福地ダム,2022-10-05,97.9,43745,,
JP_OPENGOV_funkawa,普久川ダム,2022-10-05,43.1,410,,
JP_OPENGOV_futase,二瀬ダム,2022-10-05,2.6,496,,
JP_OPENGOV_gassan,月山ダム,2022-10-05,38.2,14323,,
JP_OPENGOV_gosho,御所ダム,2022-10-05,2.3,747,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2022-10-05,100,25742,,
JP_OPENGOV_haizuka,灰塚ダム,2022-10-05,100,9937,,
JP_OPENGOV_haji,土師ダム,2022-10-05,88.9,8763,,
JP_OPENGOV_haneji,羽地ダム,2022-10-05,98.5,15366,,
JP_OPENGOV_hasu,蓮ダム,2022-10-05,77.3,9585,,
JP_OPENGOV_hattahara,八田原ダム,2022-10-05,96.6,22093,,
JP_OPENGOV_hennoki,辺野喜ダム,2022-10-05,79,1265,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2022-10-05,97.4,9152,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2022-10-05,96.7,15478,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2022-10-05,96.1,12778,,
JP_OPENGOV_ikari,五十里ダム,2022-10-05,28.9,8625,,
JP_OPENGOV_isawa,胆沢ダム,2022-10-05,87.4,73816,,
JP_OPENGOV_ishitekawa,石手川ダム,2022-10-05,63.8,4018,,
JP_OPENGOV_iwaonai,岩尾内ダム,2022-10-05,38.8,33673,,
JP_OPENGOV_iwaya,岩屋ダム,2022-10-05,60.4,90577,,
JP_OPENGOV_iyasaka,弥栄ダム,2022-10-05,97,46539,,
JP_OPENGOV_izarigawa,漁川ダム,2022-10-05,27,1027,,
JP_OPENGOV_jouzankei,定山渓ダム,2022-10-05,97.7,56093,,
JP_OPENGOV_kamafusa,釜房ダム,2022-10-05,30.9,16015,,
JP_OPENGOV_kanatake,金武ダム,2022-10-05,98.3,5267,,
JP_OPENGOV_kanayama,金山ダム,2022-10-05,62.7,64960,,
JP_OPENGOV_kanna,漢那ダム,2022-10-05,99.2,6600,,
JP_OPENGOV_kanokawa,鹿野川ダム,2022-10-05,80.8,14626,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2022-10-05,76.7,38722,,
JP_OPENGOV_kawaji,川治ダム,2022-10-05,55,41811,,
JP_OPENGOV_kawamata,川俣ダム,2022-10-05,67.7,49496,,
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2022-10-05,89.3,12327,,
JP_OPENGOV_kuzuryuu,九頭竜ダム,2022-10-05,54.3,103181,,
JP_OPENGOV_kyuuragi,厳木ダム,2022-10-05,96.2,4864,,
JP_OPENGOV_makio,牧尾ダム,2022-10-05,86.5,58826,,
JP_OPENGOV_manakawa,真名川ダム,2022-10-05,9.3,4590,,
JP_OPENGOV_maruyama,丸山ダム,2022-10-05,86.6,13174,,
JP_OPENGOV_matsubara,松原ダム,2022-10-05,78.8,36248,,
JP_OPENGOV_midorikawa,緑川ダム,2022-10-05,48.6,10071,,
JP_OPENGOV_miharu,三春ダム,2022-10-05,94.7,7586,,
JP_OPENGOV_mikunikawa,三国川ダム,2022-10-05,8.5,1431,,
JP_OPENGOV_misokawa,味噌川ダム,2022-10-05,77.7,42703,,
JP_OPENGOV_miwa,美和ダム,2022-10-05,12.3,2245,,
JP_OPENGOV_miyakese,宮ヶ瀬ダム,2022-10-05,99,136905,,
JP_OPENGOV_muroudamu-kikou,室生ダム(機構),2022-10-05,94.2,6167,,
JP_OPENGOV_nagashima,長島ダム,2022-10-05,95.9,19157,,
JP_OPENGOV_nakasujikawa,中筋川ダム,2022-10-05,93.8,3233,,
JP_OPENGOV_naramata,奈良俣ダム,2022-10-05,84.7,71982,,
JP_OPENGOV_naruko,鳴子ダム,2022-10-05,21.3,7028,,
JP_OPENGOV_nibutani,二風谷ダム,2022-10-05,9,661,,
JP_OPENGOV_nomura,野村ダム,2022-10-05,92.7,8787,,
JP_OPENGOV_nukui,温井ダム,2022-10-05,98.2,37322,,
JP_OPENGOV_nunomedamu-kikou,布目ダム(機構),2022-10-05,96.5,8683,,
JP_OPENGOV_ohara,尾原ダム,2022-10-05,97.8,17429,,
JP_OPENGOV_ooishi,大石ダム,2022-10-05,1.7,253,,
JP_OPENGOV_ookawa,大川ダム,2022-10-05,69.7,10586,,
JP_OPENGOV_oomachi,大町ダム,2022-10-05,41,9914,,
JP_OPENGOV_ootaki,大滝ダム,2022-10-05,91.7,13750,,
JP_OPENGOV_oowatari,大渡ダム,2022-10-05,100,12761,,
JP_OPENGOV_ooyasu,大保ダム,2022-10-05,91.6,15747,,
JP_OPENGOV_ooyuki,大雪ダム,2022-10-05,33,15474,,
JP_OPENGOV_ozatokawa,小里川ダム,2022-10-05,0,0,,
JP_OPENGOV_pirika,美利河ダム,2022-10-05,100,2955,,
JP_OPENGOV_rumoi,留萌ダム,2022-10-05,43.7,4511,,
JP_OPENGOV_ryuumon,竜門ダム,2022-10-05,95.3,31939,,
JP_OPENGOV_sagae,寒河江ダム,2022-10-05,56.3,32137,,
JP_OPENGOV_sameura,早明浦ダム,2022-10-05,100,187130,,
JP_OPENGOV_sanru,サンルダム,2022-10-05,39.5,5976,,
JP_OPENGOV_saruya,猿谷ダム,2022-10-05,25.7,4448,,
JP_OPENGOV_satsunaikawa,札内川ダム,2022-10-05,88.9,14778,,
JP_OPENGOV_shichigashuku,七ヶ宿ダム,2022-10-05,67.1,43301,,
JP_OPENGOV_shijuushita,四十四田ダム,2022-10-05,1.6,489,,
JP_OPENGOV_shikanoko,鹿ノ子ダム,2022-10-05,49,10428,,
JP_OPENGOV_shimachikawa,島地川ダム,2022-10-05,100,12553,,
JP_OPENGOV_shimokubo,下久保ダム,2022-10-05,72.1,86542,,
JP_OPENGOV_shimouke-0060,下筌ダム,2022-10-05,57.4,28380,,
JP_OPENGOV_shinguu,新宮ダム,2022-10-05,89.7,6545,,
JP_OPENGOV_shinkatsurazawa,新桂沢ダム,2022-10-05,25.9,20620,,
JP_OPENGOV_shinkawa,新川ダム,2022-10-05,51.8,311,,
JP_OPENGOV_shintoyone,新豊根ダム,2022-10-05,71.3,24353,,
JP_OPENGOV_shirakawa,白川ダム,2022-10-05,81.3,8049,,
JP_OPENGOV_shizuken,志津見ダム,2022-10-05,97.9,6095,,
JP_OPENGOV_shourenteradamu-kikou,青蓮寺ダム(機構),2022-10-05,97.7,15039,,
JP_OPENGOV_sonohara-5130,薗原ダム,2022-10-05,12.9,1700,,
JP_OPENGOV_soumoku,草木ダム,2022-10-05,55.6,28073,,
JP_OPENGOV_sugasawa,菅沢ダム,2022-10-05,6.2,685,,
JP_OPENGOV_surikamikawa,摺上川ダム,2022-10-05,80,79974,,
JP_OPENGOV_takisato,滝里ダム,2022-10-05,62.7,20081,,
JP_OPENGOV_takizawa,滝沢ダム,2022-10-05,44.7,25923,,
JP_OPENGOV_tamagawa,玉川ダム,2022-10-05,58.1,108306,,
JP_OPENGOV_tase,田瀬ダム,2022-10-05,18.7,19001,,
JP_OPENGOV_tedorigawa,手取川ダム,2022-10-05,39.7,67161,,
JP_OPENGOV_tenkese,天ヶ瀬ダム,2022-10-05,61.2,5735,,
JP_OPENGOV_terauchi,寺内ダム,2022-10-05,97.5,8774,,
JP_OPENGOV_tokachi,十勝ダム,2022-10-05,8.9,6682,,
JP_OPENGOV_tokuyama,徳山ダム,2022-10-05,68.6,251437,,
JP_OPENGOV_tomata,苫田ダム,2022-10-05,97.4,27306,,
JP_OPENGOV_tomisato,富郷ダム,2022-10-05,80.6,35157,,
JP_OPENGOV_toyohirakyou,豊平峡ダム,2022-10-05,54.4,15704,,
JP_OPENGOV_tsuruta,鶴田ダム,2022-10-05,5.3,4770,,
JP_OPENGOV_unazuki,宇奈月ダム,2022-10-05,90.3,5149,,
JP_OPENGOV_urayama,浦山ダム,2022-10-05,59.9,33571,,
JP_OPENGOV_ure,宇連ダム,2022-10-05,95.7,27191,,
JP_OPENGOV_wataraseyuusuichi,渡良瀬遊水地,2022-10-05,73.7,19450,,
JP_OPENGOV_yabakei,耶馬溪ダム,2022-10-05,94.4,9252,,
JP_OPENGOV_yagisawa,矢木沢ダム,2022-10-05,84.3,97400,,
JP_OPENGOV_yanase,柳瀬ダム,2022-10-05,208.2,25404,,
