reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2024-10-18,63,27701,,
JP_OPENGOV_aha,安波ダム,2024-10-18,99.8,14251,,
JP_OPENGOV_aimata-5090,相俣ダム,2024-10-18,76.6,15332,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2024-10-18,19.4,6682,,
JP_OPENGOV_chouankuchi,長安口ダム,2024-10-18,69.2,23420,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2024-10-18,62.6,38924,,
JP_OPENGOV_dono,殿ダム,2024-10-18,99.3,5341,,
JP_OPENGOV_egawa,江川ダム,2024-10-18,65.5,15728,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2024-10-18,94.1,29189,,
JP_OPENGOV_fukuchi,福地ダム,2024-10-18,99.8,44570,,
JP_OPENGOV_funkawa,普久川ダム,2024-10-18,98.5,1007,,
JP_OPENGOV_futase,二瀬ダム,2024-10-18,1.5,296,,
JP_OPENGOV_gassan,月山ダム,2024-10-18,51.2,19174,,
JP_OPENGOV_gosho,御所ダム,2024-10-18,2.3,768,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2024-10-18,65.3,58751,,
JP_OPENGOV_haizuka,灰塚ダム,2024-10-18,99,9612,,
JP_OPENGOV_haji,土師ダム,2024-10-18,27.4,9306,,
JP_OPENGOV_haneji,羽地ダム,2024-10-18,100,16238,,
JP_OPENGOV_hasu,蓮ダム,2024-10-18,77.2,9570,,
JP_OPENGOV_hattahara,八田原ダム,2024-10-18,96.9,22146,,
JP_OPENGOV_hennoki,辺野喜ダム,2024-10-18,99.6,2148,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2024-10-18,60.6,9273,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2024-10-18,10.5,3772,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2024-10-18,31.2,8353,,
JP_OPENGOV_ikari,五十里ダム,2024-10-18,21.9,6526,,
JP_OPENGOV_isawa,胆沢ダム,2024-10-18,89.3,75560,,
JP_OPENGOV_ishitekawa,石手川ダム,2024-10-18,92.6,5835,,
