reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2026-04-04,52.5,23114,16.65,1.31
JP_OPENGOV_aha,安波ダム,2026-04-04,41.3,5903,0.93,0.2
JP_OPENGOV_aimata-5090,相俣ダム,2026-04-04,44.8,8977,13.49,0.29
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2026-04-04,47.8,16418,35.54,24.44
JP_OPENGOV_chouankuchi,長安口ダム,2026-04-04,90.2,30478,217.42,208.97
JP_OPENGOV_chuubetsu-5190,忠別ダム,2026-04-04,5.4,3289,14,14
JP_OPENGOV_dono,殿ダム,2026-04-04,100,5555,12.1,10.99
JP_OPENGOV_egawa,江川ダム,2026-04-04,24.9,5967,0.4,0.4
JP_OPENGOV_fujiwara-5030,藤原ダム,2026-04-04,81.3,25207,22.6,0
JP_OPENGOV_fukuchi,福地ダム,2026-04-04,60.3,26937,3.43,3.44
JP_OPENGOV_funkawa,普久川ダム,2026-04-04,19.5,200,0.08,0.25
JP_OPENGOV_futase,二瀬ダム,2026-04-04,17.9,3413,3.47,0
JP_OPENGOV_gassan,月山ダム,2026-04-04,75.6,28221,45.45,12.1
JP_OPENGOV_gosho,御所ダム,2026-04-04,63.9,21016,147.75,65.1
JP_OPENGOV_hachitsuba,八ッ場ダム,2026-04-04,54.4,49002,25.69,2.48
JP_OPENGOV_haizuka,灰塚ダム,2026-04-04,100,10292,11.52,6.47
JP_OPENGOV_haji,土師ダム,2026-04-04,42,14248,27.6,22.6
JP_OPENGOV_haneji,羽地ダム,2026-04-04,73.6,11919,0.34,0.35
JP_OPENGOV_hasu,蓮ダム,2026-04-04,63.5,18032,4.93,1.51
JP_OPENGOV_hattahara,八田原ダム,2026-04-04,50.2,11484,7.27,1.33
JP_OPENGOV_hennoki,辺野喜ダム,2026-04-04,45.3,977,0.29,0.14
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2026-04-04,58.4,8933,1.48,1.01
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2026-04-04,96.1,34596,8.16,9.89
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2026-04-04,80.4,21540,4.41,0.53
JP_OPENGOV_ikari,五十里ダム,2026-04-04,94.3,30174,16.73,10.02
JP_OPENGOV_isawa,胆沢ダム,2026-04-04,88.3,74587,62.93,17.88
JP_OPENGOV_ishitekawa,石手川ダム,2026-04-04,67,4223,0.11,0.11
JP_OPENGOV_iwaonai,岩尾内ダム,2026-04-04,13.1,12680,33.59,22.31
JP_OPENGOV_iwaya,岩屋ダム,2026-04-04,58.9,58865,91.54,0
JP_OPENGOV_iyasaka,弥栄ダム,2026-04-04,71.1,34130,39.05,2.56
JP_OPENGOV_izarigawa,漁川ダム,2026-04-04,40.9,1554,5.6,2.66
JP_OPENGOV_jouzankei,定山渓ダム,2026-04-04,26,14946,12.47,0.5
JP_OPENGOV_kamafusa,釜房ダム,2026-04-04,72.8,29191,15.86,2.2
JP_OPENGOV_kanatake,金武ダム,2026-04-04,48.3,2832,0.14,0.3
JP_OPENGOV_kanayama,金山ダム,2026-04-04,11.4,14854,25.18,37.33
JP_OPENGOV_kanna,漢那ダム,2026-04-04,63.5,4138,0.14,0.12
JP_OPENGOV_kanokawa,鹿野川ダム,2026-04-04,32.8,9736,36.54,6.19
