reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2025-12-25,61.8,27178,,
JP_OPENGOV_aha,安波ダム,2025-12-25,88.2,12592,,
JP_OPENGOV_aimata-5090,相俣ダム,2025-12-25,52.9,10588,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2025-12-25,68.3,23401,,
JP_OPENGOV_chouankuchi,長安口ダム,2025-12-25,42.9,14504,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2025-12-25,84.8,51628,,
JP_OPENGOV_dono,殿ダム,2025-12-25,100,5493,,
JP_OPENGOV_egawa,江川ダム,2025-12-25,63.3,15189,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2025-12-25,42.4,13156,,
JP_OPENGOV_fukuchi,福地ダム,2025-12-25,94.6,42231,,
JP_OPENGOV_funkawa,普久川ダム,2025-12-25,19.8,203,,
JP_OPENGOV_futase,二瀬ダム,2025-12-25,2.3,447,,
JP_OPENGOV_gassan,月山ダム,2025-12-25,100,38001,,
JP_OPENGOV_gosho,御所ダム,2025-12-25,77.5,25452,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2025-12-25,76.6,68931,,
JP_OPENGOV_haizuka,灰塚ダム,2025-12-25,60.4,5860,,
JP_OPENGOV_haji,土師ダム,2025-12-25,28.3,9596,,
JP_OPENGOV_haneji,羽地ダム,2025-12-25,88.9,14401,,
JP_OPENGOV_hasu,蓮ダム,2025-12-25,44.7,12683,,
JP_OPENGOV_hattahara,八田原ダム,2025-12-25,75.2,17211,,
JP_OPENGOV_hennoki,辺野喜ダム,2025-12-25,65.5,1412,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2025-12-25,49.4,7564,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2025-12-25,72.2,25990,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2025-12-25,69.7,18670,,
JP_OPENGOV_ikari,五十里ダム,2025-12-25,25.1,7487,,
JP_OPENGOV_isawa,胆沢ダム,2025-12-25,93,78566,,
JP_OPENGOV_ishitekawa,石手川ダム,2025-12-25,85.5,5389,,
JP_OPENGOV_iwaonai,岩尾内ダム,2025-12-25,93.5,90763,,
JP_OPENGOV_iwaya,岩屋ダム,2025-12-25,55.4,83118,,
JP_OPENGOV_iyasaka,弥栄ダム,2025-12-25,71.2,34187,,
JP_OPENGOV_izarigawa,漁川ダム,2025-12-25,7.5,285,,
JP_OPENGOV_jouzankei,定山渓ダム,2025-12-25,96.4,55304,,
JP_OPENGOV_kamafusa,釜房ダム,2025-12-25,46.4,21081,,
JP_OPENGOV_kanatake,金武ダム,2025-12-25,78.3,4592,,
JP_OPENGOV_kanayama,金山ダム,2025-12-25,61.6,80119,,
JP_OPENGOV_kanna,漢那ダム,2025-12-25,82.7,5391,,
JP_OPENGOV_kanokawa,鹿野川ダム,2025-12-25,0.9,258,,
JP_OPENGOV_kasekawa,嘉瀬川ダム,2025-12-25,81.5,41155,,
JP_OPENGOV_kawaji,川治ダム,2025-12-25,65.3,49629,,
