reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2026-09-23,61.9,27225,3.14,3.81
JP_OPENGOV_aha,安波ダム,2026-09-23,99.8,14244,0.93,1.81
JP_OPENGOV_aimata-5090,相俣ダム,2026-09-23,98.9,10455,8.82,10.75
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2026-09-23,100,15741,7.78,7.75
JP_OPENGOV_chouankuchi,長安口ダム,2026-09-23,80.5,27284,28.23,39.5
JP_OPENGOV_chuubetsu-5190,忠別ダム,2026-09-23,37,22537,11.52,11.52
JP_OPENGOV_dono,殿ダム,2026-09-23,61.5,3307,1.34,0.61
JP_OPENGOV_egawa,江川ダム,2026-09-23,13.7,3297,0.16,3.42
JP_OPENGOV_fujiwara-5030,藤原ダム,2026-09-23,100,13386,49.2,27.53
JP_OPENGOV_fukuchi,福地ダム,2026-09-23,99.8,44569,3.25,3.26
JP_OPENGOV_funkawa,普久川ダム,2026-09-23,99.6,1018,0.47,1.96
JP_OPENGOV_futase,二瀬ダム,2026-09-23,9.6,510,22.26,20.91
JP_OPENGOV_gassan,月山ダム,2026-09-23,93.8,16819,6.76,12
JP_OPENGOV_gosho,御所ダム,2026-09-23,14.5,675,37.42,43.84
JP_OPENGOV_hachitsuba,八ッ場ダム,2026-09-23,98.1,24535,28.8,24.22
JP_OPENGOV_haizuka,灰塚ダム,2026-09-23,52.2,5069,0.97,2.14
JP_OPENGOV_haji,土師ダム,2026-09-23,39.3,3875,2.84,2.84
JP_OPENGOV_haneji,羽地ダム,2026-09-23,100,16248,0.96,1.04
JP_OPENGOV_hasu,蓮ダム,2026-09-23,75.3,9343,5.89,6.01
JP_OPENGOV_hattahara,八田原ダム,2026-09-23,89.9,20567,5.26,5.26
JP_OPENGOV_hennoki,辺野喜ダム,2026-09-23,98.2,2117,0.14,0.14
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2026-09-23,99.1,9319,3.02,3.79
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2026-09-23,100,18327,7.4,9.32
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2026-09-23,100,13818,1.41,1.41
JP_OPENGOV_ikari,五十里ダム,2026-09-23,78,8732,22.21,30.19
JP_OPENGOV_isawa,胆沢ダム,2026-09-23,100,76004,14.67,15.88
JP_OPENGOV_ishitekawa,石手川ダム,2026-09-23,85.3,5373,0.06,0.74
JP_OPENGOV_iwaonai,岩尾内ダム,2026-09-23,5,2378,1.13,3.2
JP_OPENGOV_iwaya,岩屋ダム,2026-09-23,91.1,91145,33.43,0
JP_OPENGOV_iyasaka,弥栄ダム,2026-09-23,66.4,31871,1.38,5.87
JP_OPENGOV_izarigawa,漁川ダム,2026-09-23,28.5,626,2.7,2.69
JP_OPENGOV_jouzankei,定山渓ダム,2026-09-23,91.4,52428,0.65,0.56
JP_OPENGOV_kamafusa,釜房ダム,2026-09-23,100,22499,18.23,14.54
JP_OPENGOV_kanatake,金武ダム,2026-09-23,99.2,5818,0.16,0.29
JP_OPENGOV_kanayama,金山ダム,2026-09-23,62.9,47861,12.73,0.3
JP_OPENGOV_kanna,漢那ダム,2026-09-23,99.6,6497,0.1,0.2
JP_OPENGOV_kanokawa,鹿野川ダム,2026-09-23,60.5,10946,2.58,6.2
JP_OPENGOV_kasekawa,嘉瀬川ダム,2026-09-23,35.5,17917,2.32,4.32
JP_OPENGOV_kawaji,川治ダム,2026-09-23,89.7,35862,29.24,25.94
JP_OPENGOV_kawamata,川俣ダム,2026-09-23,92.2,44794,17.31,16.5
JP_OPENGOV_koshibu,小渋ダム,2026-09-23,91.6,11685,10.4,15.66
JP_OPENGOV_kouzandamu-kikou,高山ダム(機構),2026-09-23,96.8,13354,13.65,13.85
JP_OPENGOV_kuzuryuu,九頭竜ダム,2026-09-23,39.5,75081,0.01,0.01
JP_OPENGOV_kyuuragi,厳木ダム,2026-09-23,96.8,4896,0.25,0.13
JP_OPENGOV_makio,牧尾ダム,2026-09-23,86.1,58559,16.09,0
JP_OPENGOV_manakawa,真名川ダム,2026-09-23,80.6,5056,3.52,3.5
JP_OPENGOV_maruyama,丸山ダム,2026-09-23,67.9,10887,32.61,167.6
JP_OPENGOV_matsubara,松原ダム,2026-09-23,13.8,5318,3.5,0
JP_OPENGOV_midorikawa,緑川ダム,2026-09-23,74.8,5281,8.48,50.14
JP_OPENGOV_miharu,三春ダム,2026-09-23,98.3,7871,6.21,9.12
JP_OPENGOV_mikunikawa,三国川ダム,2026-09-23,100,1913,9.18,8.7
JP_OPENGOV_misokawa,味噌川ダム,2026-09-23,99.1,42608,3.91,3.91
JP_OPENGOV_miwa,美和ダム,2026-09-23,53.6,2720,18.06,12.7
JP_OPENGOV_miyakese,宮ヶ瀬ダム,2026-09-23,99,136010,30.29,21.74
JP_OPENGOV_muroudamu-kikou,室生ダム(機構),2026-09-23,95.7,6271,1.74,1.71
JP_OPENGOV_nagai,長井ダム,2026-09-23,94.7,20906,6.5,6.49
JP_OPENGOV_nagashima,長島ダム,2026-09-23,93.2,18339,5.25,5.25
JP_OPENGOV_nakasujikawa,中筋川ダム,2026-09-23,97.4,3355,0.35,1.01
JP_OPENGOV_naramata,奈良俣ダム,2026-09-23,95.9,71434,2.64,9.83
JP_OPENGOV_naruko,鳴子ダム,2026-09-23,61.6,9853,16.06,10.64
JP_OPENGOV_nibutani,二風谷ダム,2026-09-23,14.2,1157,15.43,14.25
JP_OPENGOV_nomura,野村ダム,2026-09-23,89.3,8466,1.22,2.37
JP_OPENGOV_nukui,温井ダム,2026-09-23,95.6,36317,0.79,1
JP_OPENGOV_nunomedamu-kikou,布目ダム(機構),2026-09-23,96.2,8662,1.06,0.87
JP_OPENGOV_ohara,尾原ダム,2026-09-23,56.9,10137,1.12,1.01
JP_OPENGOV_ooishi,大石ダム,2026-09-23,71.1,135,5.57,5.59
JP_OPENGOV_ookawa,大川ダム,2026-09-23,65,9310,67.48,53.88
JP_OPENGOV_oomachi,大町ダム,2026-09-23,100,7823,7.58,17.35
JP_OPENGOV_ootaki,大滝ダム,2026-09-23,97.9,14692,14.44,10.04
JP_OPENGOV_oowatari,大渡ダム,2026-09-23,100,13416,10.31,10.13
JP_OPENGOV_ooyasu,大保ダム,2026-09-23,99.7,17314,0.59,0.81
JP_OPENGOV_ooyuki,大雪ダム,2026-09-23,16.5,4025,6.38,0
JP_OPENGOV_ozatokawa,小里川ダム,2026-09-23,0,0,1.69,1.75
JP_OPENGOV_pirika,美利河ダム,2026-09-23,58.7,1267,4,4
JP_OPENGOV_rumoi,留萌ダム,2026-09-23,60.1,6169,0.01,0.97
JP_OPENGOV_ryuumon,竜門ダム,2026-09-23,28.7,9608,1.43,3.75
JP_OPENGOV_sagae,寒河江ダム,2026-09-23,98,54284,14.52,42.35
JP_OPENGOV_sameura,早明浦ダム,2026-09-23,14.9,39520,3.89,0
JP_OPENGOV_sanru,サンルダム,2026-09-23,32.8,5201,0.82,2.19
JP_OPENGOV_saruya,猿谷ダム,2026-09-23,63,10906,11.7,7.2
JP_OPENGOV_satsunaikawa,札内川ダム,2026-09-23,70,11532,2.18,2.91
JP_OPENGOV_shichigashuku,七ヶ宿ダム,2026-09-23,83.7,53992,15.04,11.88
JP_OPENGOV_shijuushita,四十四田ダム,2026-09-23,24,259,44.4,53.36
JP_OPENGOV_shikanoko,鹿ノ子ダム,2026-09-23,74.4,7620,1.2,1.21
