流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,06-02 08:00,67.16,0.04,0,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,二渡河,上板桥,06-02 08:00,266.12,0.03,1,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,东江,七水库,06-02 08:00,80.2,0.09,2,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,东江,红花湖,06-02 08:00,53.32,,3,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,黄沙水,同沙,06-02 08:00,15.78,-0.12,4,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,横岭水,鸡心石,06-02 08:00,46.75,-0.05,5,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,稿树下水,稿树下,06-02 08:00,56.87,-0.01,6,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,里波水,联和,06-02 08:00,48.8,,7,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,增江,天堂山,06-02 08:00,135.06,0.06,8,2026-06-02,2026-06-02 18:06:03,0
流溪河,广东,流溪河,流溪河,06-02 08:00,224.24,0.02,9,2026-06-02,2026-06-02 18:06:03,0
流溪河,广东,天湖水库水,天湖,06-02 08:00,229.71,0.01,10,2026-06-02,2026-06-02 18:06:03,0
流溪河,广东,沙坑,和龙,06-02 08:00,34.78,-0.02,11,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,沙河,显岗,06-02 08:00,20.75,-0.09,12,2026-06-02,2026-06-02 18:06:03,0
流溪河,广东,流溪河,黄龙带,06-02 08:00,161.51,0.03,13,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,茅洲河,罗田,05-21 08:00,30.95,0.1,14,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,西乡水,铁岗,05-21 08:00,23.05,0.23,15,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,16,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,深圳水,深圳,06-02 08:00,27.4,-0.31,17,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,新洲河,梅林,06-02 08:00,49.68,-0.01,18,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,龙岗河,松子坑,06-02 08:00,58.45,0.03,19,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,莲塘水,宝鸭仔,06-02 08:00,32.21,-0.04,20,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,沙坪水,四堡,06-02 08:00,64.72,,21,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,小隐涌,长江,06-02 08:00,23.95,,22,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,潭江,锦江,06-02 08:00,91.06,-0.13,23,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,鹤洲水,大沙河,06-02 08:00,32.33,-0.05,24,2026-06-02,2026-06-02 18:06:03,0
珠江,广东,镇海水,镇海,06-02 08:00,24.22,-0.07,0,2026-06-02,2026-06-02 18:06:03,1
珠江,广东,大镜山溪,大镜山,06-02 08:00,16.51,-0.03,1,2026-06-02,2026-06-02 18:06:03,1
韩江,广东,五华河,益塘,06-02 08:00,145.82,-0.1,2,2026-06-02,2026-06-02 18:06:03,1
韩江,广东,和山河,和山岩,06-02 08:00,151.63,0.03,3,2026-06-02,2026-06-02 18:06:03,1
韩江,福建,汀江,棉花滩水库,06-02 08:00,163.49,-0.07,4,2026-06-02,2026-06-02 18:06:03,1
韩江,广东,汀江,青溪,06-02 08:00,71.07,0.65,5,2026-06-02,2026-06-02 18:06:03,1
韩江,广东,程江,梅西,06-02 08:00,164.31,-0.13,6,2026-06-02,2026-06-02 18:06:03,1
韩江,广东,凤凰溪,凤溪,06-02 08:00,414.11,-0.39,7,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,五经富水,龙颈（上）,06-02 08:00,88.12,-0.2,8,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,五经富水,龙颈(下),06-02 08:00,53.29,,9,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,小龙溪,小龙溪,06-02 08:00,50.66,-0.08,10,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,龙溪水,龙溪一级,06-02 08:00,172.23,-0.15,11,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,龙溪水,龙溪二级,06-02 08:00,55.37,-0.21,12,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,锣鼓水,红场,06-02 08:00,242.81,0.02,13,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,金溪河,上金溪,06-02 08:00,84.22,-0.1,14,2026-06-02,2026-06-02 18:06:03,1
粤东沿海诸河,广东,三坑溪,上三坑,06-02 08:00,157.85,0.05,15,2026-06-02,2026-06-02 18:06:03,1
