流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,05-08 08:00,65.45,,0,2026-05-07 22:06:41,2026-05-08,0
珠江,广东,二渡河,上板桥,05-08 08:00,265.06,0.05,0,2026-05-07 22:06:41,2026-05-08,1
珠江,广东,东江,七水库,05-08 08:00,79.01,0.02,0,2026-05-07 22:06:41,2026-05-08,2
珠江,广东,东江,红花湖,05-08 08:00,53.24,0.01,0,2026-05-07 22:06:41,2026-05-08,3
珠江,广东,黄沙水,同沙,05-08 08:00,15.46,-0.09,0,2026-05-07 22:06:41,2026-05-08,4
珠江,广东,横岭水,鸡心石,05-08 08:00,45.7,-0.25,0,2026-05-07 22:06:41,2026-05-08,5
珠江,广东,稿树下水,稿树下,05-08 08:00,57.11,-0.12,0,2026-05-07 22:06:41,2026-05-08,6
珠江,广东,里波水,联和,05-08 08:00,46.25,-0.02,0,2026-05-07 22:06:41,2026-05-08,7
珠江,广东,增江,天堂山,05-08 08:00,134.92,-0.16,0,2026-05-07 22:06:41,2026-05-08,8
流溪河,广东,流溪河,流溪河,05-08 08:00,222.33,-0.03,0,2026-05-07 22:06:41,2026-05-08,9
流溪河,广东,天湖水库水,天湖,05-08 08:00,228.74,0.03,0,2026-05-07 22:06:41,2026-05-08,10
流溪河,广东,沙坑,和龙,05-08 08:00,34.37,-0.01,0,2026-05-07 22:06:41,2026-05-08,11
珠江,广东,沙河,显岗,05-08 08:00,20.55,-0.04,0,2026-05-07 22:06:41,2026-05-08,12
流溪河,广东,流溪河,黄龙带,05-08 08:00,159.81,0.03,0,2026-05-07 22:06:41,2026-05-08,13
珠江,广东,茅洲河,罗田,05-08 08:00,30.56,-0.06,0,2026-05-07 22:06:41,2026-05-08,14
珠江,广东,西乡水,铁岗,05-08 08:00,22.75,0.03,0,2026-05-07 22:06:41,2026-05-08,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-05-07 22:06:41,2026-05-08,16
珠江,广东,深圳水,深圳,05-08 08:00,27.26,-0.09,0,2026-05-07 22:06:41,2026-05-08,17
珠江,广东,新洲河,梅林,05-08 08:00,49.63,-0.01,0,2026-05-07 22:06:41,2026-05-08,18
珠江,广东,龙岗河,松子坑,05-08 08:00,58.69,-0.01,0,2026-05-07 22:06:41,2026-05-08,19
珠江,广东,莲塘水,宝鸭仔,05-08 08:00,30.31,,0,2026-05-07 22:06:41,2026-05-08,20
珠江,广东,沙坪水,四堡,05-08 08:00,63.76,-0.01,0,2026-05-07 22:06:41,2026-05-08,21
珠江,广东,小隐涌,长江,05-08 08:00,22.31,-0.09,0,2026-05-07 22:06:41,2026-05-08,22
