dam,catchment,purpose,last_seen_obs_date
SUKWE,Mzingwane,IR,2026-07-27
SURI SURI,Sanyati,IR,2026-07-27
TOKWANE,Runde,IR,2026-07-27
TSHANGWA,Gwayi,IR,2026-07-27
TSHONGOKWE,Gwayi,IR,2026-07-27
TUGWANE,Runde,IR,2026-07-27
TUGWI MUKOSI,Runde,IR,2026-07-27
TULI MAKWE,Mzingwane,IRMI,2026-07-27
TURRAMURA,Runde,IR,2026-07-27
UPPER INSIZA,Mzingwane,IR,2026-07-27
UPPER MGUSA,Gwayi,IR,2026-07-27
UPPER NCEMA,Mzingwane,WS,2026-07-27
VALLEY,Mzingwane,IR,2026-07-27
WENIMBI,Save,WSIR,2026-07-27
WHITEWATERS,Sanyati,WS,2026-07-27
WILLIAM LAURIE,Mazowe,IR,2026-07-27
WOODLANDS,Runde,MI,2026-07-27
ZHOVHE,Mzingwane,IR,2026-07-27
ZIMUNYA,Save,WS,2026-07-27
