reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (unit not published),dead_storage (unit not published),frl (m),dam_height (m),year_built,main_use,source_agency,source_url,data_type,last_updated
527,凤溪,,China,广东,凤凰溪,韩江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
529,龙颈（上）,,China,广东,五经富水,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
530,龙颈（下）,,China,广东,五经富水,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
531,小龙溪,,China,广东,小龙溪,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
532,龙溪一级,,China,广东,龙溪水,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
533,龙溪二级,,China,广东,龙溪水,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
534,红场,,China,广东,锣鼓水,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
535,上金溪,,China,广东,金溪河,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
536,上三坑,,China,广东,三坑溪,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
537,白沙溪,,China,广东,练江,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
538,镇北,,China,广东,雷岭河,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
539,蜈蚣岭,,China,广东,雷岭河,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
540,朝面山,,China,广东,黄江,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
541,横江,,China,广东,横江水,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
542,汤坑,,China,广东,练江,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
543,秋风岭,,China,广东,练江,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
544,龙潭,,China,广东,龙江,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
545,石榴潭,,China,广东,罗溪,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
547,公平,,China,广东,黄江,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
548,黄山洞,,China,广东,大液河,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
549,新西河,,China,广东,新西河,粤东沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
550,大隆洞,,China,广东,大隆洞河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
552,高城,,China,广东,小水河,鉴江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
553,尚文,,China,广东,六雅河,鉴江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
554,良德水库（大坝）,,China,广东,大井河,鉴江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
555,罗坑,,China,广东,庙背水,鉴江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
556,黄沙,,China,广东,袂花江,鉴江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
557,西湖,,China,广东,东运河,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
558,龙门,,China,广东,龙门河,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
559,大水桥,,China,广东,大水桥河,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
560,鹤地水库（大坝）,,China,广东,九洲江,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
561,武陵,,China,广东,武陵河,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
562,岭背下,,China,广东,沙铲河,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
563,仙人域,,China,广东,沙铲河,粤西沿海诸河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
564,北河,,China,广东,漠阳江,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
565,东湖,,China,广东,那龙河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
566,茅垌,,China,广东,洋边河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
567,陂底,,China,广东,儒洞河,珠江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
568,松涛水库（南丰）,,China,海南,南渡江,南渡江,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
569,牛路岭水库,,China,海南,万泉河,万泉河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
570,万宁水库（大坝）,,China,海南,太阳河,太阳河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
571,赤田水库,,China,海南,藤桥西河,藤桥河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
572,福万水库,,China,海南,三亚河,三亚河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
573,半岭水库,,China,海南,三亚河,三亚河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
574,水源池水库,,China,海南,三亚河,三亚河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
575,抱古水库,,China,海南,宁远河,宁远河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
576,大隆水库,,China,海南,宁远河,宁远河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
577,长茅水库,,China,海南,望楼河,望楼河,,,,,,,,,MWR,http://xxfb.mwr.cn/sq_dxsk.html?v=1.0,in_situ,2026-07-10 23:08:19
