reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2021-06-21,large,3448.0,36.0,3348.0,35.0,5320.0,,14.96,931.87,20.03,2669.56,
200101,เขื่อนภูมิพล,2021-06-21,large,4173.0,31.0,4037.0,30.0,5469.0,,,240.45,9.54,1245.9,
100104,เขื่อนแม่กวงอุดมธารา,2021-06-21,large,54.31,21.0,63.94,24.0,110.44,74.72,0.18,25.5,0.04,73.76,
100107,เขื่อนแควน้อยบำรุงแดน,2021-06-21,large,236.0,25.0,194.6,21.0,407.04,435.5,3.07,144.29,3.02,297.5,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2021-06-21,large,94.1,36.0,47.88,18.0,141.52,151.65,0.17,15.01,0.14,60.14,
100108,เขื่อนแม่มอก,2021-06-21,large,39.0,35.0,24.27,22.0,42.6,,3.07,26.08,0.02,13.64,
100105,เขื่อนกิ่วลม,2021-06-21,large,69.12,65.0,49.88,47.0,68.43,55.85,0.28,57.96,0.12,57.41,
100106,เขื่อนกิ่วคอหมา,2021-06-21,large,51.55,30.0,44.38,26.0,75.88,106.56,0.09,11.78,0.25,31.62,
200205,เขื่อนอุบลรัตน์,2021-06-21,large,924.46,38.0,319.39,13.0,1495.11,,4.96,440.41,10.05,743.67,
200204,เขื่อนจุฬาภรณ์,2021-06-21,large,108.7,66.0,44.21,27.0,145.37,,0.18,62.72,,54.61,
200203,เขื่อนน้ำพุง,2021-06-21,large,54.78,33.0,35.35,21.0,87.27,,,21.9,0.62,37.83,
200212,เขื่อนสิรินธร,2021-06-21,large,1170.41,60.0,998.66,51.0,1626.06,,2.84,226.42,,271.78,
100208,เขื่อนลำพระเพลิง,2021-06-21,large,94.0,61.0,14.95,10.0,154.41,22.25,0.27,49.25,0.43,104.44,
100207,เขื่อนลำตะคอง,2021-06-21,large,212.0,67.0,89.03,28.0,345.22,154.7,1.04,99.97,1.21,141.52,
100210,เขื่อนลำแชะ,2021-06-21,large,151.0,55.0,36.46,13.0,243.38,85.36,0.46,37.8,0.12,99.44,
100201,เขื่อนห้วยหลวง,2021-06-21,large,42.0,31.0,25.94,19.0,57.8,59.32,0.11,14.25,0.11,20.98,
100206,เขื่อนลำปาว,2021-06-21,large,614.0,31.0,644.48,33.0,946.48,1408.48,1.04,253.33,0.39,410.04,
100211,เขื่อนลำนางรอง,2021-06-21,large,82.0,68.0,17.82,15.0,99.13,22.93,0.07,8.08,0.12,7.0,
100209,เขื่อนมูลบน,2021-06-21,large,99.0,70.0,23.96,17.0,141.0,49.0,0.18,18.12,0.08,49.83,
100202,เขื่อนน้ำอูน,2021-06-21,large,212.0,41.0,192.63,37.0,232.75,276.27,0.11,64.93,0.11,47.6,
100301,เขื่อนป่าสักชลสิทธิ์,2021-06-21,large,99.0,10.0,109.78,11.0,656.66,,0.62,132.0,3.03,532.2,
100302,เขื่อนทับเสลา,2021-06-21,large,23.04,14.0,31.84,20.0,108.19,36.68,,5.44,,90.62,
100303,เขื่อนกระเสียว,2021-06-21,large,92.0,31.0,52.22,17.0,199.15,61.06,,48.74,0.27,154.35,
200402,เขื่อนวชิราลงกรณ,2021-06-21,large,3593.28,41.0,3910.66,44.0,4675.21,,6.3,453.19,8.02,1359.66,
200401,เขื่อนศรีนครินทร์,2021-06-21,large,11266.04,63.0,12136.4,68.0,13191.95,,7.33,673.37,12.77,2442.96,
100514,เขื่อนนฤบดินทรจินดา,2021-06-21,large,91.7,31.0,69.36,24.0,222.9,215.54,0.33,35.85,0.12,154.64,
100503,เขื่อนบางพระ,2021-06-21,large,46.0,39.0,17.99,15.0,75.48,53.2,0.2,18.08,0.3,19.61,
100501,เขื่อนขุนด่านปราการชล,2021-06-21,large,30.0,13.0,30.92,14.0,192.53,158.73,0.83,11.4,0.13,178.4,
100502,เขื่อนคลองสียัด,2021-06-21,large,53.0,13.0,45.35,11.0,161.87,108.54,0.83,22.16,0.09,117.68,
100504,เขื่อนหนองปลาไหล,2021-06-21,large,134.0,82.0,52.2,32.0,157.62,56.82,1.13,99.64,0.42,347.77,
100505,เขื่อนประแสร์,2021-06-21,large,183.61,62.0,26.16,9.0,228.21,121.68,0.9,34.61,,52.94,
200603,เขื่อนรัชชประภา,2021-06-21,large,3261.19,58.0,2763.7,49.0,3750.77,,2.98,585.27,6.51,998.36,
200604,เขื่อนบางลาง,2021-06-21,large,974.03,67.0,964.45,66.0,1369.0,,10.41,1180.9,4.61,1353.76,
200601,เขื่อนแก่งกระจาน,2021-06-21,large,239.69,34.0,195.19,27.0,520.16,,,144.36,1.2,336.84,
100602,เขื่อนปราณบุรี,2021-06-21,large,202.0,52.0,103.49,26.0,354.8,268.97,0.75,35.72,0.23,137.6,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2021-06-21,middle,1.844,40.71,2.115,46.69,2.389,,,,,,1.044
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2021-06-21,middle,0.495,45.0,0.904,82.18,2.944,,,,0.002,,0.395
rsv03,อ่างเก็บน้ำห้วยมะนาว,2021-06-21,middle,1.773,41.23,1.348,31.35,0.076,,,,0.004,,1.673
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2021-06-21,middle,0.376,13.56,0.572,20.63,0.166,,0.002,,,,0.326
rsv05,อ่างเก็บน้ำแม่ตูบ,2021-06-21,middle,2.837,7.27,7.726,19.81,0.236,,,,0.009,,2.337
rsv06,อ่างเก็บน้ำแม่โก๋น,2021-06-21,middle,2.38,43.04,4.418,79.89,2.332,,0.01,,,,2.06
rsv07,อ่างเก็บน้ำห้วยเดื่อ,2021-06-21,middle,3.078,71.98,2.017,47.17,1.592,,0.028,,,,2.795
rsv08,อ่างเก็บน้ำแม่แหลงหลวง,2021-06-21,middle,1.08,29.66,1.119,30.73,0.157,,,,0.024,,0.953
rsv09,อ่างเก็บน้ำแม่ข้อน,2021-06-21,middle,2.308,56.57,2.188,53.63,1.053,,0.007,,,,1.958
rsv10,อ่างเก็บน้ำสันหนอง,2021-06-21,middle,1.169,80.62,1.45,100.0,1.087,,,,0.004,,0.819
rsv11,อ่างเก็บน้ำแม่ทะลบหลวง,2021-06-21,middle,9.741,63.67,4.131,27.0,3.265,,0.15,,,,7.441
rsv531,อ่างเก็บน้ำ แม่สะลวม,,middle,,,,,,,,,,,
rsv13,อ่างเก็บน้ำแม่ตีบ,2021-06-21,middle,1.354,13.54,1.216,12.16,1.052,,,,,,0.854
rsv14,อ่างเก็บน้ำแม่สาน,2021-06-21,middle,3.356,20.97,1.169,7.31,0.775,,,,,,2.476
rsv15,อ่างเก็บน้ำแม่ธิ,2021-06-21,middle,2.238,40.69,1.128,20.51,3.423,,,,,,2.088
rsv16,อ่างเก็บน้ำแม่เมย,2021-06-21,middle,1.823,50.64,0.532,14.78,0.674,,,,,,1.803
rsv19,อ่างเก็บน้ำห้วยช้าง,2021-06-21,middle,2.789,44.27,1.535,24.37,0.27,,,,,,2.489
rsv20,อ่างเก็บน้ำแม่ต๊าก,2021-06-21,middle,3.37,25.92,3.46,26.62,0.14,,,,,,1.92
rsv21,อ่างเก็บน้ำแม่สรวย,2021-06-21,middle,28.217,38.65,25.956,35.56,34.765,,0.193,,0.44,,25.217
rsv483,อ่างเก็บน้ำดอยงู,2021-06-21,middle,3.064,41.57,2.148,29.15,1.973,,0.004,,0.015,,1.724
rsv22,อ่างเก็บน้ำแม่ทะ,2021-06-21,middle,0.532,20.94,1.198,47.17,0.0,,,,0.046,,0.292
rsv23,อ่างเก็บน้ำแม่อาบ,2021-06-21,middle,1.384,18.31,0.502,6.64,0.127,,,,,,0.844
