reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2025-04-20,large,5829.09,61.0,4234.53,45.0,8391.26,5689.0,5.79,344.78,27.14,2798.98,
200101,เขื่อนภูมิพล,2025-04-20,large,7650.48,57.0,7033.99,52.0,10285.31,9947.0,6.32,266.73,15.1,2708.04,
100104,เขื่อนแม่กวงอุดมธารา,2025-04-20,large,133.23,51.0,141.79,54.0,212.05,210.27,0.09,15.3,0.45,94.49,
100107,เขื่อนแควน้อยบำรุงแดน,2025-04-20,large,454.75,48.0,,,781.4,841.0,0.02,24.22,4.75,336.4,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2025-04-20,large,176.83,67.0,174.03,66.0,284.3,285.73,0.05,12.22,1.32,120.39,
100108,เขื่อนแม่มอก,2025-04-20,large,27.44,25.0,35.76,33.0,83.4,93.9,0.16,3.29,0.02,59.92,
100105,เขื่อนกิ่วลม,2025-04-20,large,24.65,23.0,,,99.9,95.61,1.48,89.49,1.68,165.66,
100106,เขื่อนกิ่วคอหมา,2025-04-20,large,106.47,63.0,,,180.86,181.94,0.09,7.29,1.15,76.9,
200205,เขื่อนอุบลรัตน์,2025-04-20,large,870.91,36.0,1084.46,45.0,1810.27,2012.85,1.25,84.8,6.04,800.87,
200204,เขื่อนจุฬาภรณ์,2025-04-20,large,49.69,30.0,55.12,34.0,108.62,130.95,0.13,8.07,,37.46,
200203,เขื่อนน้ำพุง,2025-04-20,large,58.54,35.0,63.14,38.0,78.1,129.62,,3.85,0.2,11.97,
200212,เขื่อนสิรินธร,2025-04-20,large,1048.7,53.0,1151.6,59.0,1423.26,1590.28,0.08,83.16,1.11,79.25,
100208,เขื่อนลำพระเพลิง,2025-04-20,large,66.88,43.0,85.59,55.0,89.69,106.18,,2.28,,18.27,
100207,เขื่อนลำตะคอง,2025-04-20,large,52.1,17.0,,,93.55,182.0,0.26,4.47,0.13,25.18,
