reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2021-12-28,large,4396.0,46.0,5370.0,56.0,5320.0,,2.61,3540.87,5.52,4228.44,
200101,เขื่อนภูมิพล,2021-12-28,large,8068.0,60.0,5488.0,41.0,5469.0,,10.07,5246.8,25.01,2251.38,
100104,เขื่อนแม่กวงอุดมธารา,2021-12-28,large,85.29,32.0,112.89,43.0,110.44,74.72,0.19,112.73,0.04,788.73,
100107,เขื่อนแควน้อยบำรุงแดน,2021-12-28,large,870.0,93.0,411.8,44.0,407.04,435.5,0.02,1572.2,3.02,1080.51,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2021-12-28,large,114.99,43.0,142.06,54.0,141.52,151.65,0.01,69.65,0.18,93.88,
100108,เขื่อนแม่มอก,2021-12-28,large,102.0,93.0,42.76,39.0,42.6,,0.75,363.06,1.45,279.77,
100105,เขื่อนกิ่วลม,2021-12-28,large,100.84,95.0,68.88,65.0,68.43,55.85,0.48,273.64,1.03,243.33,
100106,เขื่อนกิ่วคอหมา,2021-12-28,large,140.97,83.0,76.78,45.0,75.88,106.56,0.13,141.8,0.13,70.34,
200205,เขื่อนอุบลรัตน์,2021-12-28,large,2111.86,87.0,1527.09,63.0,1495.11,,2.79,3980.29,10.91,2381.02,
200204,เขื่อนจุฬาภรณ์,2021-12-28,large,156.44,95.0,146.8,90.0,145.37,,0.26,365.98,0.88,179.96,
200203,เขื่อนน้ำพุง,2021-12-28,large,94.2,57.0,87.56,53.0,87.27,,,109.49,0.29,71.73,
200212,เขื่อนสิรินธร,2021-12-28,large,1704.31,87.0,1641.53,83.0,1626.06,,,1223.68,,483.44,
100208,เขื่อนลำพระเพลิง,2021-12-28,large,153.0,99.0,154.29,100.0,154.41,22.25,0.2,373.74,0.13,349.48,
100207,เขื่อนลำตะคอง,2021-12-28,large,329.0,105.0,348.29,111.0,345.22,154.7,0.12,383.83,0.95,255.73,
100210,เขื่อนลำแชะ,2021-12-28,large,276.0,100.0,243.65,89.0,243.38,85.36,0.35,259.43,0.5,213.55,
100201,เขื่อนห้วยหลวง,2021-12-28,large,73.0,54.0,58.51,43.0,57.8,59.32,0.75,114.9,0.11,41.88,
100206,เขื่อนลำปาว,2021-12-28,large,1218.0,62.0,950.4,48.0,946.48,1408.48,2.79,1412.57,0.24,733.06,
100211,เขื่อนลำนางรอง,2021-12-28,large,116.0,96.0,,,99.13,22.93,0.01,127.31,0.1,70.81,
100209,เขื่อนมูลบน,2021-12-28,large,140.0,99.0,141.41,100.0,141.0,49.0,0.12,136.06,0.04,123.36,
100202,เขื่อนน้ำอูน,2021-12-28,large,311.0,60.0,233.75,45.0,232.75,276.27,0.14,299.85,1.73,134.97,
100301,เขื่อนป่าสักชลสิทธิ์,2021-12-28,large,878.0,91.0,667.7,70.0,656.66,,0.01,3459.81,3.51,2999.35,
100302,เขื่อนทับเสลา,2021-12-28,large,143.49,90.0,108.19,68.0,108.19,36.68,,339.89,1.58,497.14,
100303,เขื่อนกระเสียว,2021-12-28,large,299.99,100.0,199.63,67.0,199.15,61.06,0.28,487.99,0.08,355.95,
200402,เขื่อนวชิราลงกรณ,2021-12-28,large,7522.91,85.0,4709.65,53.0,4675.21,,,6143.95,9.08,2962.27,
200401,เขื่อนศรีนครินทร์,2021-12-28,large,16346.23,92.0,13230.22,75.0,13191.95,,6.58,7152.11,5.57,3780.74,
100514,เขื่อนนฤบดินทรจินดา,2021-12-28,large,254.35,86.0,225.59,76.0,222.9,215.54,,507.63,1.5,450.48,
100503,เขื่อนบางพระ,2021-12-28,large,108.0,92.0,76.69,66.0,75.48,53.2,0.11,71.48,0.25,65.68,
100501,เขื่อนขุนด่านปราการชล,2021-12-28,large,202.0,90.0,198.45,89.0,192.53,158.73,0.04,314.49,1.03,328.71,
100502,เขื่อนคลองสียัด,2021-12-28,large,210.0,50.0,163.68,39.0,161.87,108.54,0.04,281.98,2.14,166.96,
100504,เขื่อนหนองปลาไหล,2021-12-28,large,166.0,101.0,160.03,98.0,157.62,56.82,0.25,352.91,0.25,382.53,
100505,เขื่อนประแสร์,2021-12-28,large,279.22,95.0,228.92,78.0,228.21,121.68,,217.72,0.28,119.74,
