reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2023-03-12,large,5298.0,56.0,4038.0,42.0,6343.0,4382.0,3.36,235.38,18.0,1234.31,
200101,เขื่อนภูมิพล,2023-03-12,large,9685.0,72.0,6555.0,49.0,11879.0,7978.0,0.04,223.81,32.13,2325.35,
100104,เขื่อนแม่กวงอุดมธารา,2023-03-12,large,194.3,74.0,86.56,33.0,249.36,85.71,0.22,12.07,0.84,62.34,
100107,เขื่อนแควน้อยบำรุงแดน,2023-03-12,large,516.0,55.0,605.0,64.0,815.0,859.0,0.58,57.36,4.32,330.04,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2023-03-12,large,226.09,85.0,102.46,39.0,274.34,114.33,,8.76,1.34,56.8,
100108,เขื่อนแม่มอก,2023-03-12,large,46.0,42.0,60.0,55.0,93.2,100.0,,0.4,0.6,47.74,
100105,เขื่อนกิ่วลม,2023-03-12,large,73.79,69.0,71.64,67.0,102.79,96.84,2.08,71.86,1.79,102.05,
100106,เขื่อนกิ่วคอหมา,2023-03-12,large,138.61,82.0,109.56,64.0,188.47,140.54,0.04,5.97,1.77,48.02,
200205,เขื่อนอุบลรัตน์,2023-03-12,large,1134.43,47.0,1404.41,58.0,1968.72,2071.33,0.53,65.02,4.01,772.14,
200204,เขื่อนจุฬาภรณ์,2023-03-12,large,90.49,55.0,115.75,71.0,143.56,154.52,0.21,9.13,,27.7,
200203,เขื่อนน้ำพุง,2023-03-12,large,79.32,48.0,84.7,51.0,87.41,93.59,,3.93,,3.81,
200212,เขื่อนสิรินธร,2023-03-12,large,1291.86,66.0,1380.91,70.0,1620.92,1693.75,,81.16,2.55,131.22,
100208,เขื่อนลำพระเพลิง,2023-03-12,large,120.09,77.0,132.0,85.0,145.24,153.0,0.13,6.23,0.5,25.98,
100207,เขื่อนลำตะคอง,2023-03-12,large,264.0,84.0,254.0,81.0,339.0,325.0,0.04,9.57,1.12,63.63,
100210,เขื่อนลำแชะ,2023-03-12,large,210.0,76.0,216.0,79.0,258.0,275.0,0.27,10.6,0.9,37.83,
100201,เขื่อนห้วยหลวง,2023-03-12,large,82.37,61.0,55.0,41.0,110.58,72.08,,1.02,0.11,18.05,
100206,เขื่อนลำปาว,2023-03-12,large,1191.22,60.0,891.0,45.0,1694.5,1213.0,,37.98,9.82,443.96,
100211,เขื่อนลำนางรอง,2023-03-12,large,97.7,80.0,105.0,86.0,112.6,116.0,0.23,5.05,0.15,13.46,
100209,เขื่อนมูลบน,2023-03-12,large,115.0,82.0,114.0,81.0,133.0,139.0,,7.56,0.08,20.16,
100202,เขื่อนน้ำอูน,2023-03-12,large,252.54,49.0,236.0,45.0,337.5,306.0,,15.89,0.14,75.86,
100301,เขื่อนป่าสักชลสิทธิ์,2023-03-12,large,461.27,48.0,545.0,57.0,846.25,855.0,0.48,74.73,4.33,389.86,
100302,เขื่อนทับเสลา,2023-03-12,large,96.02,60.0,77.4,48.0,131.5,137.08,,0.0,,35.47,
100303,เขื่อนกระเสียว,2023-03-12,large,259.77,87.0,267.3,89.0,297.33,299.99,0.05,14.67,1.9,33.56,
200402,เขื่อนวชิราลงกรณ,2023-03-12,large,5071.47,57.0,6569.65,74.0,5868.19,7491.08,3.02,77.5,13.07,775.18,
200401,เขื่อนศรีนครินทร์,2023-03-12,large,14778.72,83.0,15728.19,89.0,15825.6,16338.26,3.84,266.12,24.87,1232.61,
100514,เขื่อนนฤบดินทรจินดา,2023-03-12,large,138.0,47.0,132.0,45.0,251.0,248.0,,2.73,1.5,108.61,
100503,เขื่อนบางพระ,2023-03-12,large,84.34,72.0,95.19,81.0,107.46,108.0,0.13,5.06,0.43,30.22,
100501,เขื่อนขุนด่านปราการชล,2023-03-12,large,105.09,47.0,118.0,53.0,204.89,196.0,0.0,11227.74,1.64,98.36,
100502,เขื่อนคลองสียัด,2023-03-12,large,181.02,43.0,109.0,26.0,297.04,206.0,,0.6,1.64,115.84,
100504,เขื่อนหนองปลาไหล,2023-03-12,large,116.24,71.0,136.0,83.0,170.68,164.0,0.19,15.95,0.32,26.4,
100505,เขื่อนประแสร์,2023-03-12,large,231.96,79.0,231.0,78.0,268.24,277.34,,2.09,0.42,26.36,
200603,เขื่อนรัชชประภา,2023-03-12,large,3537.62,63.0,3900.46,69.0,3750.77,4473.53,1.66,145.62,5.2,329.48,
200604,เขื่อนบางลาง,2023-03-12,large,1284.43,88.0,1319.25,91.0,1231.93,1048.76,3.2,496.02,4.01,433.47,
200601,เขื่อนแก่งกระจาน,2023-03-12,large,435.59,61.0,518.46,73.0,493.34,636.55,0.94,35.0,,13.14,
100602,เขื่อนปราณบุรี,2023-03-12,large,181.0,46.0,291.0,74.0,249.0,345.0,0.36,17.6,2.36,68.73,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2023-03-12,middle,2.936,64.81,1.396,30.82,0.608,,,,0.009,,2.136
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2023-03-12,middle,1.11,100.91,0.725,65.91,-0.122,,0.001,,,,1.01
rsv03,อ่างเก็บน้ำห้วยมะนาว,2023-03-12,middle,2.749,63.93,2.252,52.37,-0.229,,0.002,,,,2.649
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2023-03-12,middle,2.51,90.55,1.292,46.61,0.179,,0.001,,,,2.46
rsv05,อ่างเก็บน้ำแม่ตูบ,2023-03-12,middle,35.88,92.0,17.498,44.87,2.274,,,,,,35.38
rsv06,อ่างเก็บน้ำแม่โก๋น,2023-03-12,middle,3.91,70.71,2.98,53.89,2.393,,,,,,3.59
rsv07,อ่างเก็บน้ำห้วยเดื่อ,2023-03-12,middle,3.193,74.67,3.555,83.14,2.313,,0.019,,0.039,,2.91
rsv08,อ่างเก็บน้ำแม่แหลงหลวง,2023-03-12,middle,2.975,81.71,2.834,77.84,3.039,,0.04,,0.069,,2.848
rsv09,อ่างเก็บน้ำแม่ข้อน,2023-03-12,middle,2.732,66.96,2.223,54.49,-0.216,,0.001,,,,2.382
rsv10,อ่างเก็บน้ำสันหนอง,2023-03-12,middle,1.236,85.24,0.959,66.14,0.636,,0.001,,,,0.886
rsv11,อ่างเก็บน้ำแม่ทะลบหลวง,2023-03-12,middle,11.322,74.0,12.944,84.6,-0.211,,,,,,9.022
rsv531,อ่างเก็บน้ำ แม่สะลวม,,middle,,,,,,,,,,,
rsv13,อ่างเก็บน้ำแม่ตีบ,2023-03-12,middle,6.83,68.3,2.355,23.55,0.0,,,,0.05,,6.33
rsv14,อ่างเก็บน้ำแม่สาน,2023-03-12,middle,8.522,53.26,4.063,25.39,0.0,,,,0.018,,7.642
rsv15,อ่างเก็บน้ำแม่ธิ,2023-03-12,middle,4.028,73.24,2.796,50.84,0.0,,,,0.052,,3.878
rsv16,อ่างเก็บน้ำแม่เมย,2023-03-12,middle,2.558,71.06,3.047,84.64,0.0,,,,0.014,,2.538
