reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2024-01-05,large,5644.0,59.0,6288.0,66.0,5689.0,6343.0,0.62,17.12,14.0,70.11,
200101,เขื่อนภูมิพล,2024-01-05,large,9836.0,73.0,11766.0,87.0,9947.0,11879.0,1.97,16.6,30.09,150.15,
100104,เขื่อนแม่กวงอุดมธารา,2024-01-05,large,210.62,80.0,247.94,94.0,210.27,249.36,0.19,0.96,0.11,0.54,
100107,เขื่อนแควน้อยบำรุงแดน,2024-01-05,large,829.0,88.0,807.0,86.0,841.0,815.0,0.15,2.98,3.46,17.3,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2024-01-05,large,284.65,107.0,273.29,103.0,285.73,274.34,0.12,0.27,0.32,1.61,
100108,เขื่อนแม่มอก,2024-01-05,large,91.1,83.0,92.64,84.0,93.9,93.2,0.01,0.04,0.71,3.54,
100105,เขื่อนกิ่วลม,2024-01-05,large,93.43,88.0,98.42,93.0,95.61,102.79,0.98,5.22,1.29,8.02,
100106,เขื่อนกิ่วคอหมา,2024-01-05,large,179.29,105.0,187.38,110.0,181.94,188.47,,0.59,0.74,3.7,
200205,เขื่อนอุบลรัตน์,2024-01-05,large,1982.25,82.0,1908.47,79.0,2012.85,1968.72,0.76,4.31,6.02,36.15,
200204,เขื่อนจุฬาภรณ์,2024-01-05,large,130.11,79.0,142.15,87.0,130.95,143.56,,0.29,,0.2,
200203,เขื่อนน้ำพุง,2024-01-05,large,128.13,78.0,86.84,53.0,129.62,87.41,0.21,0.27,0.31,1.55,
200212,เขื่อนสิรินธร,2024-01-05,large,1577.62,80.0,1575.09,80.0,1590.28,1620.92,1.76,6.61,1.04,10.07,
100208,เขื่อนลำพระเพลิง,2024-01-05,large,106.08,68.0,144.77,93.0,106.18,145.24,0.06,0.23,,0.0,
100207,เขื่อนลำตะคอง,2024-01-05,large,177.0,56.0,333.0,106.0,182.0,339.0,,0.03,0.26,1.3,
100210,เขื่อนลำแชะ,2024-01-05,large,146.0,53.0,258.0,94.0,147.0,258.0,0.13,0.26,0.03,0.15,
100201,เขื่อนห้วยหลวง,2024-01-05,large,104.85,77.0,108.96,80.0,106.32,110.58,,0.0,0.11,1.26,
100206,เขื่อนลำปาว,2024-01-05,large,1746.89,88.0,1672.55,84.0,1771.84,1694.5,,6.36,5.77,28.9,
100211,เขื่อนลำนางรอง,2024-01-05,large,73.54,61.0,111.87,92.0,73.86,112.6,,0.12,,0.0,
