reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2025-10-01,large,8872.13,93.0,8663.43,91.0,8391.26,5689.0,153.53,7572.71,3.38,6839.89,
200101,เขื่อนภูมิพล,2025-10-01,large,11548.91,86.0,8359.14,62.0,10285.31,9947.0,112.14,6616.29,15.0,5016.69,
100104,เขื่อนแม่กวงอุดมธารา,2025-10-01,large,222.46,85.0,193.64,74.0,212.05,210.27,1.85,188.16,0.52,176.89,
100107,เขื่อนแควน้อยบำรุงแดน,2025-10-01,large,853.29,91.0,657.88,70.0,781.4,841.0,25.59,1184.77,15.55,1084.18,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2025-10-01,large,248.24,94.0,281.74,106.0,284.3,285.73,2.92,320.04,0.59,349.37,
100108,เขื่อนแม่มอก,2025-10-01,large,111.54,101.0,72.62,66.0,83.4,93.9,2.06,210.69,2.48,182.69,
100105,เขื่อนกิ่วลม,2025-10-01,large,70.44,66.0,65.54,62.0,99.9,95.61,2.7,671.33,4.62,701.29,
100106,เขื่อนกิ่วคอหมา,2025-10-01,large,138.71,82.0,159.23,94.0,180.86,181.94,2.85,303.03,0.52,334.73,
200205,เขื่อนอุบลรัตน์,2025-10-01,large,2029.96,84.0,1762.23,72.0,1810.27,2012.85,112.86,3148.09,30.04,2489.34,
200204,เขื่อนจุฬาภรณ์,2025-10-01,large,138.21,84.0,97.35,59.0,108.62,130.95,5.01,133.91,0.45,57.93,
200203,เขื่อนน้ำพุง,2025-10-01,large,117.48,71.0,77.04,47.0,78.1,129.62,2.5,117.39,,54.2,
200212,เขื่อนสิรินธร,2025-10-01,large,1664.91,85.0,1451.92,74.0,1423.26,1590.28,17.8,1260.77,4.01,524.15,
100208,เขื่อนลำพระเพลิง,2025-10-01,large,62.45,40.0,76.9,50.0,89.69,106.18,0.5,62.77,,80.95,
