reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2022-09-23,large,5957.0,63.0,3991.0,42.0,4382.0,5320.0,31.49,4020.8,1.9,2260.28,
200101,เขื่อนภูมิพล,2022-09-23,large,8447.0,63.0,5658.0,42.0,7978.0,5469.0,54.83,4205.24,0.98,3449.19,
100104,เขื่อนแม่กวงอุดมธารา,2022-09-23,large,197.32,75.0,55.71,21.0,85.71,110.44,2.34,365.5,0.4,59.08,
100107,เขื่อนแควน้อยบำรุงแดน,2022-09-23,large,704.0,75.0,699.0,74.0,859.0,407.04,10.89,1455.49,8.64,1587.64,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2022-09-23,large,228.96,86.0,96.1,36.0,114.33,141.52,2.87,279.58,4.13,164.88,
100108,เขื่อนแม่มอก,2022-09-23,large,101.0,92.0,120.64,110.0,100.0,42.6,1.38,160.24,0.26,87.69,
100105,เขื่อนกิ่วลม,2022-09-23,large,70.08,66.0,67.81,64.0,96.84,68.43,7.2,824.21,4.56,849.3,
100106,เขื่อนกิ่วคอหมา,2022-09-23,large,149.84,88.0,80.83,48.0,140.54,75.88,2.83,381.29,2.29,367.79,
200205,เขื่อนอุบลรัตน์,2022-09-23,large,1810.27,74.0,1195.88,49.0,2071.33,1495.11,58.5,2794.67,16.69,2388.86,
200204,เขื่อนจุฬาภรณ์,2022-09-23,large,113.42,69.0,122.93,75.0,154.52,145.37,1.27,131.03,,83.62,
200203,เขื่อนน้ำพุง,2022-09-23,large,79.32,48.0,74.93,45.0,93.59,87.27,0.74,86.02,0.41,81.4,
200212,เขื่อนสิรินธร,2022-09-23,large,1592.82,81.0,1463.96,74.0,1693.75,1626.06,17.02,1594.63,11.19,1213.46,
100208,เขื่อนลำพระเพลิง,2022-09-23,large,115.0,74.0,121.0,78.0,153.0,154.41,2.2,161.8,1.71,212.2,
100207,เขื่อนลำตะคอง,2022-09-23,large,240.0,76.0,234.0,74.0,325.0,345.22,2.35,262.06,1.21,285.17,
100210,เขื่อนลำแชะ,2022-09-23,large,204.0,74.0,210.0,76.0,275.0,243.38,1.68,146.11,1.24,182.48,
100201,เขื่อนห้วยหลวง,2022-09-23,large,99.0,73.0,56.0,41.0,72.08,57.8,0.48,132.43,0.11,40.23,
100206,เขื่อนลำปาว,2022-09-23,large,1513.0,76.0,816.0,41.0,1213.0,946.48,22.57,1740.47,5.58,1008.95,
100211,เขื่อนลำนางรอง,2022-09-23,large,87.0,72.0,84.0,69.0,116.0,99.13,0.51,79.57,0.44,59.43,
100209,เขื่อนมูลบน,2022-09-23,large,104.0,74.0,121.0,86.0,139.0,141.0,0.84,69.15,0.7,91.14,
100202,เขื่อนน้ำอูน,2022-09-23,large,367.0,71.0,270.0,52.0,306.0,232.75,2.74,299.78,1.62,154.59,
100301,เขื่อนป่าสักชลสิทธิ์,2022-09-23,large,408.0,43.0,454.0,47.0,855.0,656.66,24.86,1894.82,13.56,2021.98,
100302,เขื่อนทับเสลา,2022-09-23,large,120.55,75.0,77.51,48.0,137.08,108.19,3.01,87.37,,171.48,
100303,เขื่อนกระเสียว,2022-09-23,large,228.8,77.0,168.0,56.0,299.99,199.15,2.33,256.06,1.35,267.14,
200402,เขื่อนวชิราลงกรณ,2022-09-23,large,5846.85,66.0,6797.46,77.0,7491.08,4675.21,32.29,3314.6,10.24,4588.1,
200401,เขื่อนศรีนครินทร์,2022-09-23,large,14367.51,81.0,13422.62,76.0,16338.26,13191.95,24.57,3459.84,23.65,5110.45,
100514,เขื่อนนฤบดินทรจินดา,2022-09-23,large,229.64,78.0,240.28,81.0,248.0,222.9,7.57,227.66,1.88,198.93,
100503,เขื่อนบางพระ,2022-09-23,large,114.0,97.0,60.71,52.0,108.0,75.48,0.49,75.67,0.42,81.72,
100501,เขื่อนขุนด่านปราการชล,2022-09-23,large,201.0,90.0,188.0,84.0,196.0,192.53,3.26,227.55,1.36,213.87,
100502,เขื่อนคลองสียัด,2022-09-23,large,321.0,76.0,167.0,40.0,206.0,161.87,1.36,307.33,0.31,157.53,
100504,เขื่อนหนองปลาไหล,2022-09-23,large,149.0,91.0,158.0,96.0,164.0,157.62,2.8,196.36,1.92,78.62,
100505,เขื่อนประแสร์,2022-09-23,large,267.8,91.0,263.4,89.0,277.34,228.21,1.63,254.94,3.22,226.33,
200603,เขื่อนรัชชประภา,2022-09-23,large,3416.43,61.0,3835.87,68.0,4473.53,3750.77,3.38,1898.83,4.39,2844.91,
200604,เขื่อนบางลาง,2022-09-23,large,681.71,47.0,695.45,48.0,1048.76,1369.0,3.1,1794.43,4.05,2100.71,
200601,เขื่อนแก่งกระจาน,2022-09-23,large,435.59,61.0,552.59,78.0,636.55,520.16,1.9,453.16,1.73,515.43,
100602,เขื่อนปราณบุรี,2022-09-23,large,223.0,57.0,250.0,64.0,345.0,354.8,1.51,312.46,2.19,339.15,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2022-09-23,middle,4.629,102.19,1.31,28.92,16.23,,0.406,,0.41,,3.829
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2022-09-23,middle,1.0,90.91,0.579,52.64,0.952,,0.006,,,,0.9
rsv03,อ่างเก็บน้ำห้วยมะนาว,2022-09-23,middle,3.116,72.47,2.049,47.65,2.088,,0.011,,,,3.016
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2022-09-23,middle,2.524,91.05,0.683,24.64,0.595,,0.006,,,,2.474
