reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2024-12-15,large,8814.75,93.0,5899.0,62.0,5689.0,6343.0,1.41,7696.31,27.99,4301.39,
200101,เขื่อนภูมิพล,2024-12-15,large,10700.67,79.0,10318.0,77.0,9947.0,11879.0,0.93,7350.94,31.0,6087.27,
100104,เขื่อนแม่กวงอุดมธารา,2024-12-15,large,221.67,84.0,208.15,79.0,210.27,249.36,0.3,199.52,0.08,187.21,
100107,เขื่อนแควน้อยบำรุงแดน,2024-12-15,large,817.75,87.0,901.0,96.0,841.0,815.0,0.61,1298.43,2.59,1310.8,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2024-12-15,large,282.47,107.0,287.45,108.0,285.73,274.34,0.7,362.22,0.36,356.77,
100108,เขื่อนแม่มอก,2024-12-15,large,95.02,86.0,105.38,96.0,93.9,93.2,,128.8,0.84,130.13,
100105,เขื่อนกิ่วลม,2024-12-15,large,103.18,97.0,104.97,99.0,95.61,102.79,1.35,946.45,1.2,926.46,
100106,เขื่อนกิ่วคอหมา,2024-12-15,large,187.65,110.0,189.15,111.0,181.94,188.47,0.22,481.41,0.36,449.15,
200205,เขื่อนอุบลรัตน์,2024-12-15,large,1915.11,79.0,2175.0,89.0,2012.85,1968.72,1.13,3380.78,4.0,2886.95,
200204,เขื่อนจุฬาภรณ์,2024-12-15,large,117.62,72.0,140.0,85.0,130.95,143.56,0.11,77.82,,57.41,
200203,เขื่อนน้ำพุง,2024-12-15,large,80.13,49.0,136.0,82.0,129.62,87.41,0.23,99.26,0.16,109.09,
200212,เขื่อนสิรินธร,2024-12-15,large,1485.8,76.0,1683.0,86.0,1590.28,1620.92,,1386.71,1.03,870.61,
100208,เขื่อนลำพระเพลิง,2024-12-15,large,92.27,60.0,107.8,70.0,106.18,145.24,0.06,87.33,,83.8,
100207,เขื่อนลำตะคอง,2024-12-15,large,98.66,31.0,185.0,59.0,182.0,339.0,,80.02,0.09,96.86,
100210,เขื่อนลำแชะ,2024-12-15,large,151.85,55.0,150.0,55.0,147.0,258.0,0.14,166.12,0.03,137.01,
100201,เขื่อนห้วยหลวง,2024-12-15,large,109.26,81.0,117.19,86.0,106.32,110.58,,245.13,0.37,200.81,
100206,เขื่อนลำปาว,2024-12-15,large,1700.0,86.0,1869.61,94.0,1771.84,1694.5,,2550.46,1.26,2140.14,
100211,เขื่อนลำนางรอง,2024-12-15,large,45.52,37.0,74.82,62.0,73.86,112.6,0.04,60.22,,16.71,
100209,เขื่อนมูลบน,2024-12-15,large,82.15,58.0,85.0,60.0,83.0,133.0,0.03,94.56,0.09,80.99,
100202,เขื่อนน้ำอูน,2024-12-15,large,419.99,81.0,430.23,83.0,407.0,337.5,,428.39,1.23,276.4,
100301,เขื่อนป่าสักชลสิทธิ์,2024-12-15,large,855.0,89.0,902.25,94.0,802.5,846.25,,1916.8,5.19,1663.02,
100302,เขื่อนทับเสลา,2024-12-15,large,88.36,55.0,72.66,45.0,71.67,131.5,,86.27,2.17,69.81,
100303,เขื่อนกระเสียว,2024-12-15,large,208.99,70.0,102.58,34.0,95.44,297.33,0.02,232.94,0.06,79.5,
