reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2023-04-29,large,4520.0,48.0,3712.0,39.0,6343.0,4382.0,,325.08,16.98,2051.11,
200101,เขื่อนภูมิพล,2023-04-29,large,8304.0,62.0,5826.0,43.0,11879.0,7978.0,2.15,269.01,27.86,3598.46,
100104,เขื่อนแม่กวงอุดมธารา,2023-04-29,large,160.89,61.0,82.51,31.0,249.36,85.71,0.07,19.9,0.53,99.1,
100107,เขื่อนแควน้อยบำรุงแดน,2023-04-29,large,295.0,31.0,387.0,41.0,815.0,859.0,,66.52,3.46,532.58,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2023-04-29,large,169.86,64.0,90.94,34.0,274.34,114.33,0.07,10.65,1.42,115.53,
100108,เขื่อนแม่มอก,2023-04-29,large,37.35,34.0,49.0,45.0,93.2,100.0,,0.4,0.05,56.36,
100105,เขื่อนกิ่วลม,2023-04-29,large,59.93,56.0,59.62,56.0,102.79,96.84,0.44,136.73,1.9,180.81,
100106,เขื่อนกิ่วคอหมา,2023-04-29,large,80.16,47.0,96.81,57.0,188.47,140.54,,7.06,0.21,103.71,
200205,เขื่อนอุบลรัตน์,2023-04-29,large,825.34,34.0,1112.83,46.0,1968.72,2071.33,0.4,98.69,3.05,1018.04,
200204,เขื่อนจุฬาภรณ์,2023-04-29,large,57.09,35.0,105.64,64.0,143.56,154.52,0.19,19.33,0.3,41.45,
200203,เขื่อนน้ำพุง,2023-04-29,large,72.47,44.0,69.69,42.0,87.41,93.59,,6.05,,7.75,
200212,เขื่อนสิรินธร,2023-04-29,large,1151.6,59.0,1147.45,58.0,1620.92,1693.75,,102.79,2.04,186.84,
100208,เขื่อนลำพระเพลิง,2023-04-29,large,80.52,52.0,105.0,68.0,145.24,153.0,,8.24,1.1,61.42,
100207,เขื่อนลำตะคอง,2023-04-29,large,204.0,65.0,198.0,63.0,339.0,325.0,,16.39,0.78,116.66,
100210,เขื่อนลำแชะ,2023-04-29,large,154.0,56.0,169.0,61.0,258.0,275.0,,14.12,0.98,85.65,
100201,เขื่อนห้วยหลวง,2023-04-29,large,58.31,43.0,42.0,31.0,110.58,72.08,,1.02,0.33,35.56,
100206,เขื่อนลำปาว,2023-04-29,large,801.8,40.0,638.0,32.0,1694.5,1213.0,,74.87,5.25,816.72,
100211,เขื่อนลำนางรอง,2023-04-29,large,82.65,68.0,98.0,81.0,112.6,116.0,,5.85,0.2,22.05,
100209,เขื่อนมูลบน,2023-04-29,large,86.0,61.0,89.0,63.0,133.0,139.0,,14.72,0.69,50.86,
100202,เขื่อนน้ำอูน,2023-04-29,large,215.25,41.0,211.0,41.0,337.5,306.0,,23.79,,102.05,
100301,เขื่อนป่าสักชลสิทธิ์,2023-04-29,large,236.95,25.0,339.0,35.0,846.25,855.0,0.37,84.59,3.03,604.34,
100302,เขื่อนทับเสลา,2023-04-29,large,93.04,58.0,76.54,48.0,131.5,137.08,,0.0,0.14,38.45,
100303,เขื่อนกระเสียว,2023-04-29,large,173.35,58.0,192.01,64.0,297.33,299.99,0.18,25.9,1.91,119.39,
200402,เขื่อนวชิราลงกรณ,2023-04-29,large,4369.18,49.0,5317.48,60.0,5868.19,7491.08,8.51,102.96,9.99,1403.63,
200401,เขื่อนศรีนครินทร์,2023-04-29,large,13744.89,77.0,14853.6,84.0,15825.6,16338.26,2.99,380.67,22.94,2308.76,
100514,เขื่อนนฤบดินทรจินดา,2023-04-29,large,76.0,26.0,68.0,23.0,251.0,248.0,0.16,3.16,0.73,164.88,
100503,เขื่อนบางพระ,2023-04-29,large,65.39,56.0,91.0,78.0,107.46,108.0,0.14,8.2,0.47,50.59,
100501,เขื่อนขุนด่านปราการชล,2023-04-29,large,57.78,26.0,59.0,26.0,204.89,196.0,0.11,11228.15,1.41,144.48,
100502,เขื่อนคลองสียัด,2023-04-29,large,113.59,27.0,64.0,15.0,297.04,206.0,,2.23,0.14,181.06,
100504,เขื่อนหนองปลาไหล,2023-04-29,large,89.55,55.0,118.0,72.0,170.68,164.0,0.75,33.1,0.1,43.82,
100505,เขื่อนประแสร์,2023-04-29,large,204.71,69.0,202.19,69.0,268.24,277.34,,6.66,0.43,49.38,
200603,เขื่อนรัชชประภา,2023-04-29,large,3295.05,58.0,3397.8,60.0,3750.77,4473.53,3.41,242.85,8.13,642.69,
200604,เขื่อนบางลาง,2023-04-29,large,1202.08,83.0,1134.3,78.0,1231.93,1048.76,2.32,642.64,6.59,653.42,
200601,เขื่อนแก่งกระจาน,2023-04-29,large,325.23,46.0,385.72,54.0,493.34,636.55,1.91,85.06,,13.14,
100602,เขื่อนปราณบุรี,2023-04-29,large,106.0,27.0,228.0,58.0,249.0,345.0,,25.64,0.29,136.98,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2023-04-29,middle,1.718,37.92,1.154,25.47,0.981,,,,0.009,,0.918
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2023-04-29,middle,0.975,88.64,0.664,60.36,-0.075,,0.001,,,,0.875
rsv03,อ่างเก็บน้ำห้วยมะนาว,2023-04-29,middle,2.515,58.49,1.97,45.81,-0.173,,0.002,,,,2.415
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2023-04-29,middle,1.805,65.12,1.141,41.16,0.196,,0.001,,,,1.755
rsv05,อ่างเก็บน้ำแม่ตูบ,2023-04-29,middle,32.56,83.49,16.17,41.46,2.575,,,,,,32.06
rsv06,อ่างเก็บน้ำแม่โก๋น,2023-04-29,middle,2.057,37.2,2.3,41.59,3.013,,,,,,1.737
rsv07,อ่างเก็บน้ำห้วยเดื่อ,2023-04-29,middle,1.47,34.38,3.39,79.28,2.835,,,,0.026,,1.187
rsv08,อ่างเก็บน้ำแม่แหลงหลวง,2023-04-29,middle,2.315,63.58,2.466,67.73,3.834,,0.009,,0.009,,2.188
rsv09,อ่างเก็บน้ำแม่ข้อน,2023-04-29,middle,2.626,64.36,2.391,58.6,-0.169,,0.001,,,,2.276
rsv10,อ่างเก็บน้ำสันหนอง,2023-04-29,middle,1.03,71.03,0.898,61.93,0.76,,,,,,0.68
rsv11,อ่างเก็บน้ำแม่ทะลบหลวง,2023-04-29,middle,8.798,57.5,11.506,75.2,-0.114,,,,0.062,,6.498
rsv531,อ่างเก็บน้ำ แม่สะลวม,,middle,,,,,,,,,,,
rsv13,อ่างเก็บน้ำแม่ตีบ,2023-04-29,middle,6.0,60.0,2.011,20.11,0.0,,,,0.05,,5.5
rsv14,อ่างเก็บน้ำแม่สาน,2023-04-29,middle,8.414,52.59,4.009,25.06,0.0,,,,,,7.534
rsv15,อ่างเก็บน้ำแม่ธิ,2023-04-29,middle,3.375,61.36,2.163,39.33,0.0,,,,0.018,,3.225
rsv16,อ่างเก็บน้ำแม่เมย,2023-04-29,middle,2.128,59.11,2.902,80.61,0.0,,,,0.013,,2.108
rsv19,อ่างเก็บน้ำห้วยช้าง,2023-04-29,middle,1.489,23.63,3.385,53.73,0.32,,0.005,,,,1.189
rsv20,อ่างเก็บน้ำแม่ต๊าก,2023-04-29,middle,3.02,23.23,3.2,24.62,0.0,,,,,,1.57
rsv21,อ่างเก็บน้ำแม่สรวย,2023-04-29,middle,42.375,58.05,44.464,60.91,31.941,,0.018,,0.606,,39.375
rsv483,อ่างเก็บน้ำดอยงู,2023-04-29,middle,3.963,53.77,5.169,70.14,2.071,,0.001,,0.073,,2.623
rsv22,อ่างเก็บน้ำแม่ทะ,2023-04-29,middle,1.73,68.11,1.7,66.93,0.002,,,,,,1.49
rsv23,อ่างเก็บน้ำแม่อาบ,2023-04-29,middle,6.34,83.86,5.62,74.34,0.081,,,,0.005,,5.8
rsv24,อ่างเก็บน้ำแม่ทาน,2023-04-29,middle,10.76,79.12,10.566,77.69,0.047,,,,,,9.4
rsv25,อ่างเก็บน้ำห้วยสมัย,2023-04-29,middle,0.879,73.25,0.94,78.33,0.083,,0.003,,0.003,,0.719
rsv26,อ่างเก็บน้ำแม่พริก,2023-04-29,middle,3.692,87.9,1.675,39.88,0.005,,,,,,3.292
