reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2026-07-11,large,4843.22,51.0,5107.65,54.0,8814.75,8391.26,18.86,1049.15,20.08,4786.74,
200101,เขื่อนภูมิพล,2026-07-11,large,7192.14,53.0,7803.67,58.0,12936.11,10285.31,10.46,1566.12,25.03,6882.66,
100104,เขื่อนแม่กวงอุดมธารา,2026-07-11,large,170.82,65.0,134.21,51.0,257.55,212.05,1.31,54.04,0.87,140.27,
100107,เขื่อนแควน้อยบำรุงแดน,2026-07-11,large,229.35,24.0,245.8,26.0,833.05,781.4,0.74,163.92,2.59,729.66,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2026-07-11,large,193.48,73.0,166.45,63.0,277.75,284.3,4.68,69.43,0.63,151.87,
100108,เขื่อนแม่มอก,2026-07-11,large,36.38,33.0,49.59,45.0,98.94,83.4,,14.95,0.2,77.24,
100105,เขื่อนกิ่วลม,2026-07-11,large,82.52,78.0,45.72,43.0,104.97,99.9,2.47,229.48,2.47,250.43,
100106,เขื่อนกิ่วคอหมา,2026-07-11,large,72.78,43.0,56.55,33.0,185.21,180.86,0.45,30.02,0.29,142.59,
200205,เขื่อนอุบลรัตน์,2026-07-11,large,889.2,37.0,739.22,30.0,2102.29,1810.27,0.19,368.55,5.18,1215.11,
200204,เขื่อนจุฬาภรณ์,2026-07-11,large,58.36,36.0,80.44,49.0,154.41,108.62,,35.96,2.12,98.32,
200203,เขื่อนน้ำพุง,2026-07-11,large,41.79,25.0,43.85,27.0,131.7,78.1,0.24,20.1,,80.55,
200212,เขื่อนสิรินธร,2026-07-11,large,1062.45,54.0,1118.64,57.0,1649.3,1423.26,4.63,246.52,,371.32,
100208,เขื่อนลำพระเพลิง,2026-07-11,large,69.91,45.0,68.51,44.0,87.31,89.69,,10.77,0.5,19.02,
100207,เขื่อนลำตะคอง,2026-07-11,large,101.53,32.0,67.07,21.0,168.46,93.55,0.1,24.22,0.35,51.74,
100210,เขื่อนลำแชะ,2026-07-11,large,92.77,34.0,144.82,53.0,228.8,148.45,0.3,9.63,0.03,107.8,
100201,เขื่อนห้วยหลวง,2026-07-11,large,47.59,35.0,31.52,23.0,115.13,98.39,0.06,26.28,0.59,70.81,
100206,เขื่อนลำปาว,2026-07-11,large,776.77,39.0,917.37,46.0,1746.89,1642.47,0.61,465.29,5.34,1207.12,
100211,เขื่อนลำนางรอง,2026-07-11,large,48.0,40.0,41.35,34.0,60.67,43.66,,7.32,0.12,5.28,
100209,เขื่อนมูลบน,2026-07-11,large,45.66,32.0,66.93,47.0,73.21,80.46,0.03,7.76,0.09,23.64,
100202,เขื่อนน้ำอูน,2026-07-11,large,239.25,46.0,345.0,66.0,417.63,394.0,,68.07,1.32,167.76,
100301,เขื่อนป่าสักชลสิทธิ์,2026-07-11,large,120.1,14.0,116.66,13.0,751.88,764.3,0.63,87.82,1.3,573.44,
100302,เขื่อนทับเสลา,2026-07-11,large,107.17,67.0,64.95,41.0,160.0,64.04,,1.06,0.8,53.96,
100303,เขื่อนกระเสียว,2026-07-11,large,104.53,35.0,114.7,38.0,243.01,204.94,,69.91,0.57,172.04,
200402,เขื่อนวชิราลงกรณ,2026-07-11,large,3779.72,43.0,5132.98,58.0,7312.2,7312.2,15.45,604.39,8.04,3629.92,
200401,เขื่อนศรีนครินทร์,2026-07-11,large,13702.11,77.0,12738.36,72.0,16108.26,14666.85,9.63,983.88,12.94,2771.99,
100514,เขื่อนนฤบดินทรจินดา,2026-07-11,large,69.22,23.0,103.05,35.0,266.8,224.51,0.09,13.19,0.04,188.76,
100503,เขื่อนบางพระ,2026-07-11,large,45.92,39.0,73.5,63.0,101.8,96.64,,15.04,0.3,75.37,
100501,เขื่อนขุนด่านปราการชล,2026-07-11,large,46.24,21.0,73.22,33.0,188.54,179.29,0.91,33.39,0.13,169.6,
100502,เขื่อนคลองสียัด,2026-07-11,large,58.04,14.0,67.5,16.0,122.81,191.17,0.24,31.98,0.06,86.94,
100504,เขื่อนหนองปลาไหล,2026-07-11,large,88.06,54.0,112.25,69.0,147.98,154.99,0.23,50.71,0.73,118.42,
100505,เขื่อนประแสร์,2026-07-11,large,171.2,58.0,160.7,54.0,271.02,241.52,,58.43,0.56,120.91,
200603,เขื่อนรัชชประภา,2026-07-11,large,3396.47,60.0,3752.18,67.0,4464.08,4123.64,6.75,977.83,5.07,1941.21,
200604,เขื่อนบางลาง,2026-07-11,large,838.16,58.0,852.94,59.0,1018.8,1128.06,2.47,476.04,3.95,623.06,
200601,เขื่อนแก่งกระจาน,2026-07-11,large,197.29,28.0,256.65,36.0,523.14,477.85,0.73,177.12,0.86,479.09,
100602,เขื่อนปราณบุรี,2026-07-11,large,68.34,17.0,126.34,32.0,195.66,192.19,,12.74,0.33,97.51,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2026-07-11,middle,4.03,88.96,2.662,58.76,5.174,,0.287,,0.055,,3.23
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2026-07-11,middle,0.878,79.82,0.874,79.45,1.023,,,,,,0.778
rsv03,อ่างเก็บน้ำห้วยมะนาว,2026-07-11,middle,3.168,73.67,3.102,72.14,0.769,,0.002,,,,3.068
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2026-07-11,middle,1.654,59.67,1.624,58.59,2.756,,0.009,,,,1.604
rsv05,อ่างเก็บน้ำแม่ตูบ,2026-07-11,middle,30.098,77.17,30.472,78.13,5.831,,0.034,,,,29.598
rsv06,อ่างเก็บน้ำแม่โก๋น,2026-07-11,middle,2.929,52.97,3.546,64.12,5.613,,0.195,,,,2.609
rsv07,อ่างเก็บน้ำห้วยเดื่อ,2026-07-11,middle,2.66,62.21,2.83,66.18,3.337,,0.084,,0.032,,2.377
rsv08,อ่างเก็บน้ำแม่แหลงหลวง,2026-07-11,middle,1.674,45.98,1.845,50.67,7.825,,0.093,,0.069,,1.547
rsv09,อ่างเก็บน้ำแม่ข้อน,2026-07-11,middle,2.762,67.7,2.998,73.48,10.279,,0.196,,0.198,,2.412
rsv10,อ่างเก็บน้ำสันหนอง,2026-07-11,middle,1.402,96.69,1.141,78.69,5.244,,0.116,,0.064,,1.052
rsv11,อ่างเก็บน้ำแม่ทะลบหลวง,2026-07-11,middle,11.311,73.93,10.067,65.8,6.753,,0.133,,0.043,,9.011
rsv531,อ่างเก็บน้ำ แม่สะลวม,2026-07-11,middle,6.053,37.27,7.36,45.32,6.575,,0.216,,0.017,,5.503
rsv13,อ่างเก็บน้ำแม่ตีบ,2026-07-11,middle,7.812,78.12,7.761,77.61,0.704,,,,,,7.312
rsv14,อ่างเก็บน้ำแม่สาน,2026-07-11,middle,13.687,85.54,10.909,68.18,1.882,,,,,,13.427
rsv15,อ่างเก็บน้ำแม่ธิ,2026-07-11,middle,2.581,51.62,2.599,51.98,0.285,,,,,,2.431
rsv16,อ่างเก็บน้ำแม่เมย,2026-07-11,middle,2.628,73.0,2.427,67.42,0.255,,,,,,2.608
rsv19,อ่างเก็บน้ำห้วยช้าง,2026-07-11,middle,1.566,24.86,3.962,62.89,2.966,,0.03,,,,1.266
rsv20,อ่างเก็บน้ำแม่ต๊าก,2026-07-11,middle,2.1,23.33,5.14,57.11,0.21,,,,,,0.65
rsv21,อ่างเก็บน้ำแม่สรวย,2026-07-11,middle,31.98,43.81,30.815,42.21,35.783,,0.288,,0.288,,28.98
rsv483,อ่างเก็บน้ำดอยงู,2026-07-11,middle,5.484,74.41,3.03,41.11,10.157,,0.49,,0.01,,4.144
rsv22,อ่างเก็บน้ำแม่ทะ,2026-07-11,middle,1.909,75.16,1.957,77.05,1.067,,0.002,,0.018,,1.669
rsv23,อ่างเก็บน้ำแม่อาบ,2026-07-11,middle,6.088,80.53,5.743,75.97,1.791,,0.001,,0.076,,5.548
rsv24,อ่างเก็บน้ำแม่ทาน,2026-07-11,middle,10.915,80.26,9.46,69.56,2.535,,,,,,9.555
rsv25,อ่างเก็บน้ำห้วยสมัย,2026-07-11,middle,0.966,80.5,0.819,68.25,0.836,,,,,,0.806
rsv26,อ่างเก็บน้ำแม่พริก,2026-07-11,middle,3.358,79.95,2.77,65.95,0.543,,,,,,2.958
rsv27,อ่างเก็บน้ำแม่เลียงพัฒนา,2026-07-11,middle,5.974,86.58,4.981,72.19,10.716,,0.096,,0.139,,5.174
rsv29,อ่างเก็บน้ำแม่ทรายคำ,2026-07-11,middle,0.875,70.11,0.858,68.75,1.053,,0.001,,,,0.737
rsv30,อ่างเก็บน้ำห้วยหลวงวังวัว,2026-07-11,middle,1.323,82.17,1.239,76.96,2.274,,0.001,,,,1.173
rsv31,อ่างเก็บน้ำห้วยแม่ค่อม,2026-07-11,middle,1.164,85.84,1.047,77.21,0.86,,0.001,,,,1.004
rsv32,อ่างเก็บน้ำแม่ต๋ำน้อย,2026-07-11,middle,0.912,91.2,0.839,83.9,1.569,,0.001,,,,0.842
rsv33,อ่างเก็บน้ำแม่เฟือง,2026-07-11,middle,0.856,75.62,0.836,73.85,1.133,,0.001,,,,0.678
rsv34,อ่างเก็บน้ำแม่ไฮ,2026-07-11,middle,0.966,78.86,0.811,66.2,0.925,,0.031,,0.032,,0.851
rsv35,อ่างเก็บน้ำแม่ธิ,2026-07-11,middle,1.155,72.64,1.132,71.19,0.701,,0.017,,0.018,,1.05
rsv36,อ่างเก็บน้ำห้วยแม่งอน,2026-07-11,middle,0.57,44.53,0.985,76.95,1.391,,0.003,,,,0.454
rsv37,อ่างเก็บน้ำแม่ต๋ำตอนล่าง,2026-07-11,middle,0.522,20.55,1.8,70.87,0.409,,,,,,
rsv38,อ่างเก็บน้ำแม่วะ,2026-07-11,middle,4.918,83.36,4.543,77.0,1.969,,0.003,,,,3.968
rsv39,อ่างเก็บน้ำแม่ล้อหัก,2026-07-11,middle,1.069,80.01,0.916,68.56,0.315,,,,,,1.021
rsv40,อ่างเก็บน้ำแม่ทก,2026-07-11,middle,0.818,73.5,0.754,67.74,1.125,,,,,,0.764
rsv41,อ่างเก็บน้ำแม่เรียง,2026-07-11,middle,0.904,80.71,0.791,70.63,0.399,,,,,,0.566
rsv42,อ่างเก็บน้ำห้วยหลวง,2026-07-11,middle,1.015,80.56,0.845,67.06,0.47,,,,,,0.845
rsv43,อ่างเก็บน้ำแม่กึ๊ด,2026-07-11,middle,1.14,87.69,0.895,68.85,2.027,,,,,,0.98
rsv44,อ่างเก็บน้ำห้วยเกี๋ยง,2026-07-11,middle,8.418,72.57,8.253,71.15,2.191,,0.062,,0.075,,7.818
rsv45,อ่างเก็บน้ำแม่ปอน,2026-07-11,middle,1.738,96.02,1.129,62.38,1.183,,0.035,,0.037,,1.587
rsv46,อ่างเก็บน้ำห้วยแม่ยาว,2026-07-11,middle,2.502,71.9,2.273,65.32,1.677,,0.046,,0.05,,2.222
rsv47,อ่างเก็บน้ำแม่ไพร,2026-07-11,middle,2.543,79.47,2.172,67.88,0.928,,0.03,,0.032,,2.413
rsv48,อ่างเก็บน้ำห้วยแม่สัน,2026-07-11,middle,2.846,80.74,2.368,67.18,1.759,,0.021,,0.026,,2.806
rsv478,อ่างเก็บน้ำแม่พริก (ผาวิ่งชู้),2026-07-11,middle,22.574,61.88,27.609,75.68,1.235,,,,,,16.734
rsv479,อ่างเก็บน้ำแม่ฟ้า,2026-07-11,middle,13.639,68.47,9.407,47.22,3.215,,0.014,,,,12.539
rsv523,อ่างเก็บน้ำแม่อ้อน 2,2026-07-11,middle,13.049,68.32,10.587,55.43,1.72,,0.006,,0.115,,12.549
rsv532,อ่างเก็บน้ำ แม่อาง,2026-07-11,middle,2.443,78.25,2.143,68.64,3.785,,0.002,,,,2.344
rsv550,อ่างเก็บน้ำ แม่นึง,2026-07-11,middle,6.3,68.5,,,0.924,,0.002,,0.057,,5.637
rsv49,อ่างเก็บน้ำห้วยแฮต,2026-07-11,middle,4.34,86.8,3.66,73.2,1.898,,0.05,,0.086,,3.8
rsv50,อ่างเก็บน้ำน้ำแหง,2026-07-11,middle,12.755,98.12,11.591,89.16,21.274,,0.069,,0.081,,9.885
rsv51,อ่างเก็บน้ำน้ำพงษ์,2026-07-11,middle,1.221,81.95,0.789,52.95,1.936,,0.009,,0.013,,0.851
rsv52,อ่างเก็บน้ำห้วยน้ำฮิ,2026-07-11,middle,4.067,67.78,4.209,70.15,0.812,,0.007,,,,3.667
rsv533,อ่างเก็บน้ำ น้ำริม,2026-07-11,middle,3.07,76.94,2.16,54.14,2.829,,0.027,,0.019,,2.4
rsv534,อ่างเก็บน้ำ ห้วยชื่น,2026-07-11,middle,0.622,53.34,0.429,36.79,0.101,,0.003,,0.004,,0.575
rsv551,อ่างเก็บน้ำ ห้วยสีพัน,2026-07-11,middle,0.814,68.98,,,0.247,,0.002,,0.01,,0.614
rsv552,อ่างเก็บน้ำ ห้วยยาง,2026-07-11,middle,0.86,43.22,,,0.644,,0.024,,0.034,,0.46
rsv553,อ่างเก็บน้ำ น้ำแก่น,2026-07-11,middle,3.185,87.02,,,0.525,,0.035,,0.107,,2.745
rsv53,อ่างเก็บน้ำแม่ต๋ำ,2026-07-11,middle,22.687,54.67,28.637,69.0,1.363,,,,0.1,,20.187
rsv54,อ่างเก็บน้ำแม่ปืม,2026-07-11,middle,14.125,28.07,18.605,36.97,1.037,,,,0.228,,12.475
rsv480,อ่างเก็บน้ำแม่ใจ,2026-07-11,middle,2.471,82.37,2.051,68.37,0.243,,,,0.007,,1.371
rsv522,อ่างเก็บน้ำแม่จุน,2026-07-11,middle,5.116,53.27,6.79,70.7,0.455,,,,,,5.116
rsv55,อ่างเก็บน้ำคลองตรอน,2026-07-11,middle,23.764,40.28,36.7,62.2,13.44,,0.235,,,,17.764
rsv450,อ่างเก็บน้ำห้วยแม่เฉย,2026-07-11,middle,1.486,37.15,2.538,63.45,0.365,,0.003,,,,1.216
rsv518,อ่างเก็บน้ำห้วยน้ำรี,2026-07-11,middle,25.59,34.72,31.46,42.69,25.75,,,,0.171,,20.56
rsv387,อ่างเก็บน้ำห้วยน้ำลาด,2026-07-11,middle,0.338,28.17,0.174,14.5,0.101,,,,,,0.218
rsv388,อ่างเก็บน้ำห้วยใหญ่(ไพศาลี),2026-07-11,middle,9.968,83.98,6.509,54.84,4.043,,,,0.213,,8.938
rsv485,อ่างเก็บน้ำคลองโพธิ์,2026-07-11,middle,24.55,28.53,29.897,34.74,9.981,,,,,,18.55
rsv519,อ่างเก็บน้ำห้วยน้ำคับ,2026-07-11,middle,1.105,84.03,1.175,89.35,0.089,,,,0.002,,0.859
rsv520,อ่างเก็บน้ำห้วยน้ำจวง,2026-07-11,middle,1.39,86.87,1.455,90.94,0.081,,,,0.002,,1.28
rsv56,อ่างเก็บน้ำห้วยป่าบง,2026-07-11,middle,0.402,28.71,0.702,50.14,0.0,,,,0.002,,0.382
rsv57,อ่างเก็บน้ำคลองน้ำไหล,2026-07-11,middle,31.18,80.99,19.16,49.77,3.72,,,,0.1,,30.43
rsv511,อ่างเก็บน้ำคลองไพร,2026-07-11,middle,10.265,71.49,10.7,74.52,1.494,,,,0.008,,10.234
rsv554,อ่างเก็บน้ำ คลองน้ำขาว,2026-07-11,middle,4.608,41.07,,,0.4,,,,,,4.43
rsv58,อ่างเก็บน้ำแม่มาน,2026-07-11,middle,11.49,61.28,9.59,51.15,10.221,,0.02,,0.16,,7.24
rsv59,อ่างเก็บน้ำแม่สอง,2026-07-11,middle,37.0,56.23,42.92,65.23,11.867,,0.04,,,,31.0
rsv60,อ่างเก็บน้ำแม่ถาง,2026-07-11,middle,14.95,48.82,18.94,61.85,2.934,,,,,,12.95
rsv61,อ่างเก็บน้ำแม่คำปอง,2026-07-11,middle,3.612,53.43,3.969,58.71,4.557,,,,,,3.362
rsv464,อ่างเก็บน้ำแม่สาย,2026-07-11,middle,6.545,62.33,5.334,50.8,15.623,,0.064,,0.135,,5.145
rsv62,อ่างเก็บน้ำคลองข้างใน,2026-07-11,middle,3.254,36.16,2.353,26.14,0.75,,0.017,,,,2.914
rsv63,อ่างเก็บน้ำห้วยท่าแพ,2026-07-11,middle,39.255,67.68,28.167,48.56,12.462,,0.007,,0.008,,30.455
rsv64,อ่างเก็บน้ำห้วยแม่สูง,2026-07-11,middle,4.984,40.03,4.558,36.61,6.002,,0.012,,,,3.944
rsv490,อ่างเก็บน้ำห้วยทรวง,2026-07-11,middle,6.134,76.68,5.934,74.17,0.738,,0.008,,,,5.734
rsv494,อ่างเก็บน้ำแม่กองค่าย,2026-07-11,middle,7.55,58.08,7.29,56.08,1.627,,,,,,6.97
rsv536,อ่างเก็บน้ำ ห้วยไร่,2026-07-11,middle,5.252,71.65,3.316,45.24,0.67,,0.015,,,,5.112
rsv537,อ่างเก็บน้ำ ห้วยแม่สำ,2026-07-11,middle,3.723,75.52,2.433,49.35,1.065,,0.005,,,,3.363
rsv65,อ่างเก็บน้ำห้วยแม่สอด,2026-07-11,middle,2.876,52.29,1.664,30.25,8.862,,0.189,,0.131,,2.442
rsv66,อ่างเก็บน้ำห้วยลึก,2026-07-11,middle,2.557,44.09,2.273,39.19,0.967,,0.022,,0.001,,2.457
rsv486,อ่างเก็บน้ำห้วยแม่ท้อ,2026-07-11,middle,36.579,58.06,29.925,47.5,20.395,,0.236,,0.07,,33.079
rsv535,อ่างเก็บน้ำ แม่สอดตอนบน,2026-07-11,middle,5.735,43.37,3.107,23.5,4.123,,0.14,,0.071,,5.225
rsv71,อ่างเก็บน้ำห้วยน้ำสวย,2026-07-11,middle,2.384,72.24,1.907,57.79,12.474,,0.007,,0.01,,1.439
rsv72,อ่างเก็บน้ำห้วยยาง,2026-07-11,middle,2.051,55.24,1.743,46.94,4.459,,0.032,,0.036,,1.331
rsv73,อ่างเก็บน้ำห้วยลิ้นควาย,2026-07-11,middle,17.186,59.26,18.503,63.8,9.453,,0.083,,0.244,,15.186
rsv74,อ่างเก็บน้ำห้วยอีเลิศ,2026-07-11,middle,0.099,6.0,0.554,33.58,0.957,,0.003,,,,0.019
rsv75,อ่างเก็บน้ำห้วยน้ำพาว,2026-07-11,middle,0.668,48.97,0.437,32.04,0.302,,,,,,0.638
rsv76,อ่างเก็บน้ำห้วยน้ำหมาน,2026-07-11,middle,16.815,63.45,18.629,70.3,4.19,,,,,,15.345
rsv77,อ่างเก็บน้ำห้วยแห้ว,2026-07-11,middle,1.235,45.24,1.721,63.04,0.441,,,,,,1.047
rsv502,อ่างเก็บน้ำน้ำเลย,2026-07-11,middle,14.548,40.63,14.42,40.27,31.453,,0.875,,0.096,,8.69
rsv505,อ่างเก็บน้ำ ห้วยศอก,2026-07-11,middle,5.726,57.4,6.126,61.41,8.865,,0.011,,,,5.624
rsv521,อ่างเก็บน้ำห้วยน้ำทบ,2026-07-11,middle,3.22,40.72,1.84,23.27,17.096,,0.284,,0.371,,2.86
