reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2025-03-25,large,6416.17,67.0,4502.16,47.0,8391.26,5689.0,1.56,260.11,22.0,2169.71,
200101,เขื่อนภูมิพล,2025-03-25,large,7975.96,59.0,7702.51,57.0,10285.31,9947.0,3.63,150.22,15.0,2317.29,
100104,เขื่อนแม่กวงอุดมธารา,2025-03-25,large,152.54,58.0,161.41,61.0,212.05,210.27,0.09,12.44,0.53,72.39,
100107,เขื่อนแควน้อยบำรุงแดน,2025-03-25,large,568.24,61.0,406.76,43.0,781.4,841.0,0.14,22.14,3.89,226.66,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2025-03-25,large,219.65,83.0,222.32,84.0,284.3,285.73,0.05,11.0,1.71,76.31,
100108,เขื่อนแม่มอก,2025-03-25,large,27.13,25.0,38.88,35.0,83.4,93.9,,0.56,0.13,57.45,
100105,เขื่อนกิ่วลม,2025-03-25,large,50.79,48.0,76.78,72.0,99.9,95.61,0.19,71.45,2.09,121.46,
100106,เขื่อนกิ่วคอหมา,2025-03-25,large,121.32,71.0,83.17,49.0,180.86,181.94,0.03,5.24,0.33,60.46,
200205,เขื่อนอุบลรัตน์,2025-03-25,large,1072.78,44.0,1322.61,54.0,1810.27,2012.85,0.01,60.39,8.01,624.51,
200204,เขื่อนจุฬาภรณ์,2025-03-25,large,55.33,34.0,60.75,37.0,108.62,130.95,0.08,5.77,,36.3,
200203,เขื่อนน้ำพุง,2025-03-25,large,66.25,40.0,82.61,50.0,78.1,129.62,0.01,3.29,0.18,6.68,
200212,เขื่อนสิรินธร,2025-03-25,large,1135.05,58.0,1232.36,63.0,1423.26,1590.28,,75.66,0.53,58.82,
100208,เขื่อนลำพระเพลิง,2025-03-25,large,72.78,47.0,92.06,59.0,89.69,106.18,,1.6,0.17,13.14,
100207,เขื่อนลำตะคอง,2025-03-25,large,59.01,19.0,128.15,41.0,93.55,182.0,0.04,2.98,0.26,20.39,
100210,เขื่อนลำแชะ,2025-03-25,large,121.56,44.0,117.82,43.0,148.45,147.0,,4.24,0.24,18.32,
100201,เขื่อนห้วยหลวง,2025-03-25,large,57.6,42.0,69.63,51.0,98.39,106.32,,0.23,0.59,31.07,
100206,เขื่อนลำปาว,2025-03-25,large,1077.85,54.0,1111.48,56.0,1642.47,1771.84,,82.22,6.86,544.34,
100211,เขื่อนลำนางรอง,2025-03-25,large,38.35,32.0,66.28,55.0,43.66,73.86,0.04,1.55,,0.45,
100209,เขื่อนมูลบน,2025-03-25,large,58.29,41.0,65.82,47.0,80.46,83.0,,5.25,0.23,22.62,
100202,เขื่อนน้ำอูน,2025-03-25,large,259.32,50.0,281.92,54.0,394.0,407.0,0.49,25.51,1.88,125.28,
100301,เขื่อนป่าสักชลสิทธิ์,2025-03-25,large,379.13,39.0,299.21,31.0,764.3,802.5,,25.82,3.89,342.33,
