reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2023-12-31,large,5701.0,60.0,6358.0,67.0,6343.0,4382.0,4.53,4473.36,14.0,4839.63,
200101,เขื่อนภูมิพล,2023-12-31,large,9974.0,74.0,11905.0,88.0,11879.0,7978.0,4.06,6627.43,30.16,8043.62,
100104,เขื่อนแม่กวงอุดมธารา,2023-12-31,large,210.19,80.0,249.62,95.0,249.36,85.71,0.18,154.48,0.1,173.66,
100107,เขื่อนแควน้อยบำรุงแดน,2023-12-31,large,844.0,90.0,817.0,87.0,815.0,859.0,0.18,1204.08,3.46,1097.51,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2023-12-31,large,285.96,108.0,274.32,104.0,274.34,114.33,0.16,244.48,0.32,233.34,
100108,เขื่อนแม่มอก,2023-12-31,large,94.6,86.0,93.34,85.0,93.2,100.0,0.01,222.93,0.71,227.42,
100105,เขื่อนกิ่วลม,2023-12-31,large,96.24,91.0,103.88,98.0,102.79,96.84,1.09,465.4,1.87,472.99,
100106,เขื่อนกิ่วคอหมา,2023-12-31,large,182.76,108.0,188.74,111.0,188.47,140.54,0.19,183.73,0.74,172.38,
200205,เขื่อนอุบลรัตน์,2023-12-31,large,2023.11,83.0,1985.63,82.0,1968.72,2071.33,2.77,2961.28,8.06,2308.42,
200204,เขื่อนจุฬาภรณ์,2023-12-31,large,131.32,80.0,144.16,88.0,143.56,154.52,0.07,118.66,0.21,52.77,
200203,เขื่อนน้ำพุง,2023-12-31,large,130.0,79.0,87.41,53.0,87.41,93.59,0.21,177.31,0.31,97.89,
200212,เขื่อนสิรินธร,2023-12-31,large,1597.91,81.0,1626.06,83.0,1620.92,1693.75,0.95,1655.45,2.83,939.98,
100208,เขื่อนลำพระเพลิง,2023-12-31,large,106.18,69.0,145.36,94.0,145.24,153.0,0.06,100.48,,119.87,
100207,เขื่อนลำตะคอง,2023-12-31,large,182.0,58.0,340.0,108.0,339.0,325.0,0.04,114.55,0.26,197.95,
100210,เขื่อนลำแชะ,2023-12-31,large,147.0,53.0,258.0,94.0,258.0,275.0,,131.04,0.03,190.47,
100201,เขื่อนห้วยหลวง,2023-12-31,large,106.91,79.0,111.02,82.0,110.58,72.08,,219.68,0.46,178.63,
100206,เขื่อนลำปาว,2023-12-31,large,1777.39,90.0,1700.0,86.0,1694.5,1213.0,1.51,2733.88,5.8,2201.12,
100211,เขื่อนลำนางรอง,2023-12-31,large,74.02,61.0,112.78,93.0,112.6,116.0,0.07,36.01,,40.57,
100209,เขื่อนมูลบน,2023-12-31,large,83.0,59.0,133.0,94.0,133.0,139.0,0.02,77.9,0.09,113.62,
100202,เขื่อนน้ำอูน,2023-12-31,large,407.0,78.0,338.13,65.0,337.5,306.0,,449.64,,256.29,
100301,เขื่อนป่าสักชลสิทธิ์,2023-12-31,large,809.5,84.0,851.5,89.0,846.25,855.0,,1543.9,5.62,1346.55,
