reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2024-02-26,large,4951.0,52.0,5538.0,58.0,5689.0,6343.0,3.31,165.44,23.02,870.12,
200101,เขื่อนภูมิพล,2024-02-26,large,8272.0,61.0,10149.0,75.0,9947.0,11879.0,1.27,87.44,18.0,1669.99,
100104,เขื่อนแม่กวงอุดมธารา,2024-02-26,large,183.23,70.0,206.81,79.0,210.27,249.36,0.19,9.83,1.16,37.83,
100107,เขื่อนแควน้อยบำรุงแดน,2024-02-26,large,594.0,63.0,573.0,61.0,841.0,815.0,1.96,44.43,7.78,282.12,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2024-02-26,large,261.0,98.0,240.62,91.0,285.73,274.34,,3.24,1.06,27.59,
100108,เขื่อนแม่มอก,2024-02-26,large,52.0,47.0,54.84,50.0,93.9,93.2,,0.04,0.72,42.63,
100105,เขื่อนกิ่วลม,2024-02-26,large,80.6,76.0,71.16,67.0,95.61,102.79,1.26,59.35,1.81,74.99,
100106,เขื่อนกิ่วคอหมา,2024-02-26,large,127.86,75.0,161.11,95.0,181.94,188.47,,1.37,1.25,49.56,
200205,เขื่อนอุบลรัตน์,2024-02-26,large,1583.0,65.0,1218.51,50.0,2012.85,1968.72,,40.54,7.09,355.45,
200204,เขื่อนจุฬาภรณ์,2024-02-26,large,81.0,49.0,105.87,65.0,130.95,143.56,,4.34,,31.07,
200203,เขื่อนน้ำพุง,2024-02-26,large,102.0,62.0,81.64,49.0,129.62,87.41,0.05,2.13,0.6,23.77,
200212,เขื่อนสิรินธร,2024-02-26,large,1337.0,68.0,1362.35,69.0,1590.28,1620.92,,48.19,1.03,99.57,
100208,เขื่อนลำพระเพลิง,2024-02-26,large,98.0,63.0,125.7,81.0,106.18,145.24,0.02,1.63,0.17,5.69,
100207,เขื่อนลำตะคอง,2024-02-26,large,147.0,47.0,282.0,90.0,182.0,339.0,,0.2,0.26,14.82,
100210,เขื่อนลำแชะ,2024-02-26,large,130.0,47.0,224.0,81.0,147.0,258.0,0.15,3.03,0.27,12.51,
100201,เขื่อนห้วยหลวง,2024-02-26,large,81.0,60.0,88.26,65.0,106.32,110.58,,0.0,0.59,17.63,
100206,เขื่อนลำปาว,2024-02-26,large,1364.0,69.0,1335.6,67.0,1771.84,1694.5,1.36,45.17,7.17,362.35,
100211,เขื่อนลำนางรอง,2024-02-26,large,68.0,56.0,100.02,82.0,73.86,112.6,,1.26,,0.24,
100209,เขื่อนมูลบน,2024-02-26,large,72.0,51.0,122.0,87.0,83.0,133.0,0.29,3.15,0.48,11.11,
100202,เขื่อนน้ำอูน,2024-02-26,large,319.0,61.0,276.27,53.0,407.0,337.5,0.23,12.1,1.77,73.25,
100301,เขื่อนป่าสักชลสิทธิ์,2024-02-26,large,419.0,44.0,539.36,56.0,802.5,846.25,0.12,0.25,4.75,320.77,
100302,เขื่อนทับเสลา,2024-02-26,large,69.07,43.0,96.86,61.0,71.67,131.5,,0.0,,2.6,
100303,เขื่อนกระเสียว,2024-02-26,large,85.18,28.0,289.42,97.0,95.44,297.33,,0.0,1.29,4.65,
200402,เขื่อนวชิราลงกรณ,2024-02-26,large,6511.0,73.0,5303.14,60.0,7547.72,5868.19,1.4,64.27,23.03,1021.75,
200401,เขื่อนศรีนครินทร์,2024-02-26,large,14145.0,80.0,15087.26,85.0,14603.7,15825.6,1.09,200.06,13.05,562.23,
100514,เขื่อนนฤบดินทรจินดา,2024-02-26,large,169.78,58.0,161.21,55.0,255.57,251.0,,0.83,1.4,81.42,
100503,เขื่อนบางพระ,2024-02-26,large,61.0,52.0,89.8,77.0,83.0,107.46,0.08,2.77,0.42,16.21,
100501,เขื่อนขุนด่านปราการชล,2024-02-26,large,108.0,48.0,120.39,54.0,186.47,204.89,,0.05,1.63,79.68,
100502,เขื่อนคลองสียัด,2024-02-26,large,66.0,16.0,205.3,49.0,141.54,297.04,,0.1,1.56,72.17,
