reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2025-02-16,large,7222.35,76.0,5142.0,54.0,8391.26,5689.0,4.06,164.04,27.94,1312.72,
200101,เขื่อนภูมิพล,2025-02-16,large,8897.52,66.0,8531.0,63.0,10285.31,9947.0,,111.02,31.0,1457.53,
100104,เขื่อนแม่กวงอุดมธารา,2025-02-16,large,180.96,69.0,189.99,72.0,212.05,210.27,0.17,8.43,0.56,39.92,
100107,เขื่อนแควน้อยบำรุงแดน,2025-02-16,large,668.75,71.0,647.0,69.0,781.4,841.0,0.07,13.1,2.59,121.73,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2025-02-16,large,263.7,100.0,269.0,102.0,284.3,285.73,0.14,8.18,0.72,29.42,
100108,เขื่อนแม่มอก,2025-02-16,large,46.85,43.0,58.0,53.0,83.4,93.9,,0.0,0.65,37.14,
100105,เขื่อนกิ่วลม,2025-02-16,large,98.11,92.0,83.76,79.0,99.9,95.61,0.55,56.53,1.33,59.17,
100106,เขื่อนกิ่วคอหมา,2025-02-16,large,132.81,78.0,140.33,83.0,180.86,181.94,,3.65,0.53,48.33,
200205,เขื่อนอุบลรัตน์,2025-02-16,large,1390.56,57.0,1665.0,68.0,1810.27,2012.85,0.11,34.38,7.05,348.83,
200204,เขื่อนจุฬาภรณ์,2025-02-16,large,72.44,44.0,94.0,57.0,108.62,130.95,0.05,3.32,,26.81,
200203,เขื่อนน้ำพุง,2025-02-16,large,73.37,44.0,108.0,65.0,78.1,129.62,0.1,1.84,0.16,2.21,
200212,เขื่อนสิรินธร,2025-02-16,large,1256.39,64.0,1369.0,70.0,1423.26,1590.28,1.39,55.07,0.52,38.93,
100208,เขื่อนลำพระเพลิง,2025-02-16,large,82.35,53.0,100.0,65.0,89.69,106.18,0.02,0.97,0.08,5.74,
100207,เขื่อนลำตะคอง,2025-02-16,large,71.61,23.0,153.0,49.0,93.55,182.0,,0.36,0.26,11.48,
100210,เขื่อนลำแชะ,2025-02-16,large,132.5,48.0,135.0,49.0,148.45,147.0,0.01,2.26,0.12,10.53,
100201,เขื่อนห้วยหลวง,2025-02-16,large,76.0,56.0,87.0,64.0,98.39,106.32,,0.0,0.11,16.95,
