reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2025-05-02,large,5544.3,58.0,4112.44,43.0,8391.26,5689.0,4.22,397.74,27.06,3123.16,
200101,เขื่อนภูมิพล,2025-05-02,large,7445.06,55.0,6649.06,49.0,10285.31,9947.0,3.31,314.0,20.0,2939.05,
100104,เขื่อนแม่กวงอุดมธารา,2025-05-02,large,127.56,49.0,131.05,50.0,212.05,210.27,0.16,16.64,0.06,101.04,
100107,เขื่อนแควน้อยบำรุงแดน,2025-05-02,large,395.52,42.0,283.1,30.0,781.4,841.0,,25.65,4.75,393.4,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2025-05-02,large,159.85,60.0,157.77,60.0,284.3,285.73,0.05,12.76,1.21,137.9,
100108,เขื่อนแม่มอก,2025-05-02,large,27.33,25.0,34.72,32.0,83.4,93.9,,3.46,0.05,60.19,
100105,เขื่อนกิ่วลม,2025-05-02,large,28.41,27.0,51.33,48.0,99.9,95.61,0.79,105.2,0.5,177.63,
100106,เขื่อนกิ่วคอหมา,2025-05-02,large,98.63,58.0,52.87,31.0,180.86,181.94,0.08,9.33,0.54,86.41,
200205,เขื่อนอุบลรัตน์,2025-05-02,large,798.43,33.0,984.62,41.0,1810.27,2012.85,,89.45,4.03,857.84,
200204,เขื่อนจุฬาภรณ์,2025-05-02,large,49.57,30.0,54.37,33.0,108.62,130.95,0.09,9.54,,37.46,
200203,เขื่อนน้ำพุง,2025-05-02,large,55.32,34.0,51.48,31.0,78.1,129.62,,4.46,0.21,14.44,
200212,เขื่อนสิรินธร,2025-05-02,large,1033.13,53.0,1088.31,55.0,1423.26,1590.28,3.77,94.75,1.01,91.5,
100208,เขื่อนลำพระเพลิง,2025-05-02,large,65.63,42.0,82.14,53.0,89.69,106.18,0.04,2.99,,19.8,
100207,เขื่อนลำตะคอง,2025-05-02,large,49.6,16.0,106.98,34.0,93.55,182.0,,5.01,0.13,26.74,
100210,เขื่อนลำแชะ,2025-05-02,large,107.25,39.0,101.3,37.0,148.45,147.0,,7.22,0.03,27.92,
100201,เขื่อนห้วยหลวง,2025-05-02,large,38.77,29.0,53.56,40.0,98.39,106.32,,0.53,0.17,49.62,
100206,เขื่อนลำปาว,2025-05-02,large,778.54,39.0,778.54,39.0,1642.47,1771.84,,111.09,7.2,829.1,
100211,เขื่อนลำนางรอง,2025-05-02,large,37.62,31.0,62.07,51.0,43.66,73.86,,3.71,0.07,0.62,
100209,เขื่อนมูลบน,2025-05-02,large,52.57,37.0,56.86,40.0,80.46,83.0,0.02,6.85,0.08,27.92,
100202,เขื่อนน้ำอูน,2025-05-02,large,235.75,45.0,254.23,49.0,394.0,407.0,,32.26,,139.37,
100301,เขื่อนป่าสักชลสิทธิ์,2025-05-02,large,210.0,22.0,154.56,16.0,764.3,802.5,,39.42,3.46,494.11,
100302,เขื่อนทับเสลา,2025-05-02,large,57.63,36.0,64.94,41.0,64.04,71.67,,0.15,,6.56,
100303,เขื่อนกระเสียว,2025-05-02,large,97.9,33.0,57.88,19.0,204.94,95.44,0.06,7.6,1.72,92.37,
200402,เขื่อนวชิราลงกรณ,2025-05-02,large,5254.57,59.0,5104.96,58.0,7312.2,7547.72,1.96,161.36,18.12,2019.91,
200401,เขื่อนศรีนครินทร์,2025-05-02,large,12929.54,73.0,12922.68,73.0,14666.85,14603.7,1.96,442.29,14.02,1793.0,
100514,เขื่อนนฤบดินทรจินดา,2025-05-02,large,91.76,31.0,106.57,36.0,224.51,255.57,,5.05,0.25,123.36,
100503,เขื่อนบางพระ,2025-05-02,large,65.83,56.0,43.04,37.0,96.64,83.0,0.11,11.98,0.33,40.45,
100501,เขื่อนขุนด่านปราการชล,2025-05-02,large,50.84,23.0,42.4,19.0,179.29,186.47,,1.61,0.45,126.75,
100502,เขื่อนคลองสียัด,2025-05-02,large,50.39,12.0,42.32,10.0,191.17,141.54,,11.43,0.16,143.82,
100504,เขื่อนหนองปลาไหล,2025-05-02,large,114.06,70.0,86.78,53.0,154.99,156.52,0.32,18.47,0.7,60.0,
100505,เขื่อนประแสร์,2025-05-02,large,139.62,47.0,136.54,46.0,241.52,245.61,4.16,13.91,0.52,100.01,
200603,เขื่อนรัชชประภา,2025-05-02,large,3519.96,62.0,3752.18,67.0,4123.64,4395.2,3.11,328.59,8.13,870.9,
200604,เขื่อนบางลาง,2025-05-02,large,1191.72,82.0,1064.89,73.0,1128.06,1245.97,3.3,786.95,8.06,703.87,
200601,เขื่อนแก่งกระจาน,2025-05-02,large,265.39,37.0,282.84,40.0,477.85,422.43,1.29,98.4,2.94,293.0,
100602,เขื่อนปราณบุรี,2025-05-02,large,129.04,33.0,93.2,24.0,192.19,179.0,0.35,21.31,0.35,79.7,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2025-05-02,middle,1.96,43.27,2.552,56.34,1.82,,0.007,,0.004,,1.16
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2025-05-02,middle,0.863,78.45,0.986,89.64,0.124,,0.001,,,,0.763
rsv03,อ่างเก็บน้ำห้วยมะนาว,2025-05-02,middle,2.905,67.56,3.001,69.79,0.316,,0.005,,0.009,,2.805
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2025-05-02,middle,1.696,61.18,2.015,72.69,0.342,,0.005,,0.009,,1.646
rsv05,อ่างเก็บน้ำแม่ตูบ,2025-05-02,middle,24.662,63.24,33.93,87.0,7.616,,0.023,,,,24.162
rsv06,อ่างเก็บน้ำแม่โก๋น,2025-05-02,middle,1.465,26.49,2.922,52.84,2.224,,0.018,,0.007,,1.145
rsv07,อ่างเก็บน้ำห้วยเดื่อ,2025-05-02,middle,1.242,29.05,2.667,62.37,2.006,,0.005,,0.03,,0.959
rsv08,อ่างเก็บน้ำแม่แหลงหลวง,2025-05-02,middle,2.114,58.06,1.252,34.39,2.017,,0.029,,0.009,,1.987
rsv09,อ่างเก็บน้ำแม่ข้อน,2025-05-02,middle,3.32,81.37,3.058,74.95,8.641,,0.007,,,,2.97
rsv10,อ่างเก็บน้ำสันหนอง,2025-05-02,middle,0.983,67.79,0.986,68.0,2.193,,0.006,,,,0.633
rsv11,อ่างเก็บน้ำแม่ทะลบหลวง,2025-05-02,middle,8.976,58.67,11.419,74.63,4.611,,0.03,,,,6.676
rsv531,อ่างเก็บน้ำ แม่สะลวม,2025-05-02,middle,7.163,44.11,,,3.036,,0.044,,0.041,,6.613
rsv13,อ่างเก็บน้ำแม่ตีบ,2025-05-02,middle,7.223,72.23,5.94,59.4,0.176,,,,,,6.723
rsv14,อ่างเก็บน้ำแม่สาน,2025-05-02,middle,9.516,59.48,8.0,50.0,0.258,,,,,,8.636
rsv15,อ่างเก็บน้ำแม่ธิ,2025-05-02,middle,3.322,60.4,3.654,66.44,0.0,,,,0.022,,3.172
rsv16,อ่างเก็บน้ำแม่เมย,2025-05-02,middle,3.123,86.75,2.267,62.97,0.571,,,,,,3.103
rsv19,อ่างเก็บน้ำห้วยช้าง,2025-05-02,middle,1.843,29.25,2.627,41.7,0.702,,,,,,1.543
rsv20,อ่างเก็บน้ำแม่ต๊าก,2025-05-02,middle,3.92,30.15,6.98,53.69,0.1,,,,,,2.47
rsv21,อ่างเก็บน้ำแม่สรวย,2025-05-02,middle,34.444,47.18,32.562,44.61,21.703,,0.173,,0.576,,31.444
rsv483,อ่างเก็บน้ำดอยงู,2025-05-02,middle,3.324,45.1,1.816,24.64,2.324,,0.057,,0.007,,1.984
rsv22,อ่างเก็บน้ำแม่ทะ,2025-05-02,middle,1.736,68.35,2.159,85.0,0.045,,,,0.001,,1.496
rsv23,อ่างเก็บน้ำแม่อาบ,2025-05-02,middle,5.207,68.88,7.049,93.24,0.397,,0.005,,0.007,,4.667
rsv24,อ่างเก็บน้ำแม่ทาน,2025-05-02,middle,9.479,69.7,12.918,94.99,0.366,,,,,,8.119
rsv25,อ่างเก็บน้ำห้วยสมัย,2025-05-02,middle,0.833,69.42,1.078,89.83,0.594,,0.011,,,,0.673
rsv26,อ่างเก็บน้ำแม่พริก,2025-05-02,middle,2.701,64.31,4.003,95.31,0.094,,0.003,,0.004,,2.301
rsv27,อ่างเก็บน้ำแม่เลียงพัฒนา,2025-05-02,middle,4.779,69.26,5.82,84.35,2.908,,0.048,,0.072,,3.979
rsv29,อ่างเก็บน้ำแม่ทรายคำ,2025-05-02,middle,0.849,68.03,0.749,60.02,0.042,,,,0.001,,0.711
rsv30,อ่างเก็บน้ำห้วยหลวงวังวัว,2025-05-02,middle,1.096,68.07,1.213,75.34,0.074,,,,0.001,,0.946
rsv31,อ่างเก็บน้ำห้วยแม่ค่อม,2025-05-02,middle,0.811,59.81,0.61,44.99,0.048,,,,0.001,,0.651
rsv32,อ่างเก็บน้ำแม่ต๋ำน้อย,2025-05-02,middle,0.736,73.6,0.545,54.5,0.034,,,,0.005,,0.666
