reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2024-12-27,large,8515.8,90.0,5748.0,60.0,5689.0,6343.0,4.28,7743.42,27.98,4637.52,
200101,เขื่อนภูมิพล,2024-12-27,large,10411.58,77.0,10079.0,75.0,9947.0,11879.0,1.46,7443.84,31.0,6459.27,
100104,เขื่อนแม่กวงอุดมธารา,2024-12-27,large,216.67,82.0,209.78,80.0,210.27,249.36,0.24,202.28,1.08,196.04,
100107,เขื่อนแควน้อยบำรุงแดน,2024-12-27,large,793.8,85.0,855.0,91.0,841.0,815.0,0.71,1307.23,2.59,1341.88,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2024-12-27,large,284.8,107.0,286.62,108.0,285.73,274.34,0.43,366.44,0.26,358.65,
100108,เขื่อนแม่มอก,2024-12-27,large,86.55,79.0,97.4,89.0,93.9,93.2,,128.8,0.63,138.6,
100105,เขื่อนกิ่วลม,2024-12-27,large,103.1,97.0,100.45,95.0,95.61,102.79,1.14,960.49,1.6,940.62,
100106,เขื่อนกิ่วคอหมา,2024-12-27,large,184.12,108.0,185.34,109.0,181.94,188.47,0.11,483.06,0.79,454.29,
200205,เขื่อนอุบลรัตน์,2024-12-27,large,1836.18,76.0,2057.49,85.0,2012.85,1968.72,,3388.06,4.01,2935.79,
200204,เขื่อนจุฬาภรณ์,2024-12-27,large,110.96,68.0,132.92,81.0,130.95,143.56,0.13,78.46,0.33,62.21,
200203,เขื่อนน้ำพุง,2024-12-27,large,78.64,48.0,131.32,80.0,129.62,87.41,,99.65,,109.57,
200212,เขื่อนสิรินธร,2024-12-27,large,1444.72,73.0,1615.79,82.0,1590.28,1620.92,1.58,1404.93,1.04,883.06,
100208,เขื่อนลำพระเพลิง,2024-12-27,large,90.76,59.0,106.51,69.0,106.18,145.24,,87.53,0.16,84.2,
100207,เขื่อนลำตะคอง,2024-12-27,large,94.83,30.0,182.0,58.0,182.0,339.0,0.04,80.19,0.26,99.23,
100210,เขื่อนลำแชะ,2024-12-27,large,149.58,54.0,148.0,54.0,147.0,258.0,,166.38,0.03,137.37,
100201,เขื่อนห้วยหลวง,2024-12-27,large,100.89,74.0,109.55,81.0,106.32,110.58,,245.13,0.59,207.21,
100206,เขื่อนลำปาว,2024-12-27,large,1667.07,84.0,1802.43,91.0,1771.84,1694.5,1.72,2555.44,3.16,2162.35,
100211,เขื่อนลำนางรอง,2024-12-27,large,44.28,36.0,74.34,61.0,73.86,112.6,,60.31,,16.75,
100209,เขื่อนมูลบน,2024-12-27,large,80.82,57.0,84.0,60.0,83.0,133.0,0.03,95.14,0.09,82.07,
100202,เขื่อนน้ำอูน,2024-12-27,large,397.94,77.0,408.96,79.0,407.0,337.5,0.13,430.54,0.64,294.28,
