reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2022-01-25,large,4246.0,45.0,4966.0,52.0,4382.0,5320.0,0.87,47.59,7.04,171.1,
200101,เขื่อนภูมิพล,2022-01-25,large,7481.0,56.0,5278.0,39.0,7978.0,5469.0,1.84,50.69,19.16,525.2,
100104,เขื่อนแม่กวงอุดมธารา,2022-01-25,large,88.46,34.0,97.19,37.0,85.71,110.44,0.16,183.65,0.04,1.08,
100107,เขื่อนแควน้อยบำรุงแดน,2022-01-25,large,767.0,82.0,382.02,41.0,859.0,407.04,0.41,8.29,4.32,100.2,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2022-01-25,large,110.87,42.0,132.99,50.0,114.33,141.52,0.29,3.14,0.25,6.74,
100108,เขื่อนแม่มอก,2022-01-25,large,78.0,71.0,41.56,38.0,100.0,42.6,0.04,11.71,0.19,26.89,
100105,เขื่อนกิ่วลม,2022-01-25,large,81.92,77.0,66.85,63.0,96.84,68.43,0.29,11.4,0.84,27.39,
100106,เขื่อนกิ่วคอหมา,2022-01-25,large,136.27,80.0,72.21,42.0,140.54,75.88,0.12,2.74,0.12,5.35,
200205,เขื่อนอุบลรัตน์,2022-01-25,large,1803.82,74.0,1376.79,57.0,2071.33,1495.11,0.3,28.39,8.51,256.34,
200204,เขื่อนจุฬาภรณ์,2022-01-25,large,145.98,89.0,134.35,82.0,154.52,145.37,0.14,3.32,,6.0,
200203,เขื่อนน้ำพุง,2022-01-25,large,90.47,55.0,84.85,51.0,93.59,87.27,,1.41,0.3,2.14,
200212,เขื่อนสิรินธร,2022-01-25,large,1608.11,82.0,1542.49,78.0,1693.75,1626.06,4.67,34.08,1.51,30.76,
100208,เขื่อนลำพระเพลิง,2022-01-25,large,154.0,99.0,145.0,94.0,153.0,154.41,0.08,3.31,1.04,17.75,
100207,เขื่อนลำตะคอง,2022-01-25,large,302.0,96.0,325.05,103.0,325.0,345.22,0.16,4.62,1.04,17.75,
100210,เขื่อนลำแชะ,2022-01-25,large,259.0,94.0,218.0,79.0,275.0,243.38,0.05,5.93,1.39,14.9,
100201,เขื่อนห้วยหลวง,2022-01-25,large,65.0,48.0,53.46,39.0,72.08,57.8,0.04,1.94,0.37,4.36,
100206,เขื่อนลำปาว,2022-01-25,large,1133.0,57.0,862.36,44.0,1213.0,946.48,0.71,19.76,4.12,62.76,
100211,เขื่อนลำนางรอง,2022-01-25,large,113.0,93.0,,,116.0,99.13,0.07,2.75,1.39,8.55,
100209,เขื่อนมูลบน,2022-01-25,large,132.0,94.0,135.96,96.0,139.0,141.0,0.03,2.94,0.73,5.8,
100202,เขื่อนน้ำอูน,2022-01-25,large,281.0,54.0,220.25,42.0,306.0,232.75,0.44,9.66,1.36,24.89,
100301,เขื่อนป่าสักชลสิทธิ์,2022-01-25,large,757.0,79.0,571.1,59.0,855.0,656.66,2.95,113.6,5.18,106.91,
100302,เขื่อนทับเสลา,2022-01-25,large,101.43,63.0,94.78,59.0,137.08,108.19,,2.11,,37.32,
100303,เขื่อนกระเสียว,2022-01-25,large,299.02,100.0,196.27,66.0,299.99,199.15,0.16,6.47,0.04,1.72,
200402,เขื่อนวชิราลงกรณ,2022-01-25,large,7298.28,82.0,4476.66,51.0,7491.08,4675.21,0.56,50.58,10.05,224.97,
200401,เขื่อนศรีนครินทร์,2022-01-25,large,16223.0,91.0,12936.4,73.0,16338.26,13191.95,5.4,142.05,12.26,237.79,
100514,เขื่อนนฤบดินทรจินดา,2022-01-25,large,205.0,69.0,195.36,66.0,248.0,222.9,0.01,1.72,1.5,40.58,
100503,เขื่อนบางพระ,2022-01-25,large,102.0,87.0,68.73,59.0,108.0,75.48,0.03,1.02,0.26,5.29,
100501,เขื่อนขุนด่านปราการชล,2022-01-25,large,161.0,72.0,147.96,66.0,196.0,192.53,0.16,0.87,1.18,37.5,
100502,เขื่อนคลองสียัด,2022-01-25,large,167.0,40.0,124.87,30.0,206.0,161.87,0.16,1.71,1.64,37.4,
100504,เขื่อนหนองปลาไหล,2022-01-25,large,152.0,93.0,142.06,87.0,164.0,157.62,1.28,9.33,0.12,4.94,
100505,เขื่อนประแสร์,2022-01-25,large,257.73,87.0,217.67,74.0,277.34,228.21,,0.56,0.61,16.2,
200603,เขื่อนรัชชประภา,2022-01-25,large,4336.28,77.0,3715.66,66.0,4473.53,3750.77,0.96,67.03,9.79,196.46,
200604,เขื่อนบางลาง,2022-01-25,large,1130.94,78.0,1417.28,97.0,1048.76,1369.0,3.61,184.01,3.0,74.96,
200601,เขื่อนแก่งกระจาน,2022-01-25,large,622.43,88.0,499.54,70.0,636.55,520.16,1.04,22.02,1.31,9.34,
100602,เขื่อนปราณบุรี,2022-01-25,large,324.0,83.0,,,345.0,354.8,1.08,13.56,1.58,25.45,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2022-01-25,middle,1.779,39.27,2.798,61.77,0.096,,0.001,,,,0.979
