reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2021-08-24,large,3556.0,37.0,4670.0,49.0,5320.0,,13.88,2097.19,9.0,3693.7,
200101,เขื่อนภูมิพล,2021-08-24,large,4486.0,33.0,4251.0,32.0,5469.0,,12.07,1024.16,5.07,1678.65,
100104,เขื่อนแม่กวงอุดมธารา,2021-08-24,large,42.35,16.0,103.02,39.0,110.44,74.72,0.79,51.48,0.04,109.78,
100107,เขื่อนแควน้อยบำรุงแดน,2021-08-24,large,241.2,26.0,231.94,25.0,407.04,435.5,2.58,452.18,4.32,598.39,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2021-08-24,large,91.69,35.0,112.6,42.0,141.52,151.65,0.24,30.22,0.27,77.74,
100108,เขื่อนแม่มอก,2021-08-24,large,41.24,37.0,23.82,22.0,42.6,,0.36,66.8,0.92,39.05,
100105,เขื่อนกิ่วลม,2021-08-24,large,41.64,39.0,59.62,56.0,68.43,55.85,0.89,118.6,1.0,145.69,
100106,เขื่อนกิ่วคอหมา,2021-08-24,large,51.88,31.0,87.49,51.0,75.88,106.56,0.59,33.65,0.26,52.41,
200205,เขื่อนอุบลรัตน์,2021-08-24,large,702.07,29.0,415.69,17.0,1495.11,,,660.99,4.0,1105.74,
200204,เขื่อนจุฬาภรณ์,2021-08-24,large,95.43,58.0,56.44,34.0,145.37,,0.13,103.56,0.89,95.33,
200203,เขื่อนน้ำพุง,2021-08-24,large,55.0,33.0,44.52,27.0,87.27,,0.16,53.29,,64.34,
200212,เขื่อนสิรินธร,2021-08-24,large,1234.53,63.0,1185.18,60.0,1626.06,,7.13,398.3,,331.19,
100208,เขื่อนลำพระเพลิง,2021-08-24,large,72.94,47.0,39.61,26.0,154.41,22.25,0.52,106.9,0.86,151.55,
100207,เขื่อนลำตะคอง,,large,,,92.95,30.0,345.22,154.7,,182.56,,178.17,
100210,เขื่อนลำแชะ,,large,,,50.15,18.0,243.38,85.36,,66.96,,129.65,
100201,เขื่อนห้วยหลวง,2021-08-24,large,44.96,33.0,40.55,30.0,57.8,59.32,,41.33,0.11,28.02,
100206,เขื่อนลำปาว,2021-08-24,large,652.6,33.0,682.22,34.0,946.48,1408.48,,516.81,3.97,579.74,
100211,เขื่อนลำนางรอง,2021-08-24,large,67.96,56.0,19.94,16.0,99.13,22.93,0.0,33.2,0.38,26.52,
100209,เขื่อนมูลบน,,large,,,26.35,19.0,141.0,49.0,,40.63,,68.78,
100202,เขื่อนน้ำอูน,2021-08-24,large,222.25,43.0,224.25,43.0,232.75,276.27,0.59,117.66,1.31,79.92,
100301,เขื่อนป่าสักชลสิทธิ์,2021-08-24,large,41.71,4.0,63.12,7.0,656.66,,,217.07,0.43,599.63,
100302,เขื่อนทับเสลา,2021-08-24,large,32.7,20.0,30.87,19.0,108.19,36.68,0.08,18.41,,103.58,
100303,เขื่อนกระเสียว,2021-08-24,large,82.6,28.0,56.85,19.0,199.15,61.06,0.18,85.9,1.47,191.4,
200402,เขื่อนวชิราลงกรณ,2021-08-24,large,6134.22,69.0,3851.84,43.0,4675.21,,21.95,3624.06,14.98,1953.62,
200401,เขื่อนศรีนครินทร์,2021-08-24,large,12301.7,69.0,11845.81,67.0,13191.95,,21.32,2385.09,7.24,3072.22,
100514,เขื่อนนฤบดินทรจินดา,2021-08-24,large,175.28,59.0,116.63,40.0,222.9,215.54,0.46,132.22,0.19,162.69,
100503,เขื่อนบางพระ,2021-08-24,large,35.73,31.0,19.32,17.0,75.48,53.2,0.01,25.25,0.3,37.57,
100501,เขื่อนขุนด่านปราการชล,2021-08-24,large,136.17,61.0,106.41,48.0,192.53,158.73,0.79,131.24,0.08,190.28,
100502,เขื่อนคลองสียัด,2021-08-24,large,66.51,16.0,63.53,15.0,161.87,108.54,1.5,83.59,0.09,123.88,
100504,เขื่อนหนองปลาไหล,2021-08-24,large,110.8,68.0,128.45,78.0,157.62,56.82,1.07,129.93,,361.79,
100505,เขื่อนประแสร์,2021-08-24,large,206.45,70.0,98.77,33.0,228.21,121.68,1.17,64.47,0.03,55.69,
200603,เขื่อนรัชชประภา,2021-08-24,large,3634.97,64.0,2913.39,52.0,3750.77,,9.49,1410.23,4.97,1426.78,
200604,เขื่อนบางลาง,2021-08-24,large,697.57,48.0,1008.94,69.0,1369.0,,3.27,1381.82,4.94,1823.7,
200601,เขื่อนแก่งกระจาน,2021-08-24,large,436.33,61.0,237.79,33.0,520.16,,2.37,427.86,3.01,427.52,
100602,เขื่อนปราณบุรี,,large,,,,,354.8,268.97,,119.14,,204.95,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2021-08-24,middle,0.914,20.18,1.528,33.73,3.145,,0.014,,,,0.114
