reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,dam_type,dam_height (m),dam_length (m),catchment_area (hectare),surface_area_frl (hectare),capacity_design_total (10^4 m^3),capacity_design_effective (10^4 m^3),capacity_current_total (10^4 m^3),capacity_current_effective (10^4 m^3),main_use,operator,last_capacity_survey_year_roc,coord_source,source_system,source_agency,source_url,last_updated
20502,日月潭水庫,,Taiwan,南投縣魚池鄉,濁水溪(武界壩越域引水至水社水尾溪),臺灣中區,23.8523,120.92125,混凝土心牆土壩,30.3,363.6,1700,812.2,17162.1,13029,13990.2,12949.1,發電、公共給水、觀光,台灣電力股份有限公司,111.12,ressub:日月潭水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
20503,集集攔河堰,,Taiwan,南投縣集集鎮,濁水溪,臺灣中區,23.81625,120.77344,混凝土重力壩,15,352.5,203400,242,1005,1005,653.2,653.2,公共給水、灌溉、工業用水,經濟部水利署中區水資源分署,112.12,ressub:集集攔河堰,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
20507,武界壩,,Taiwan,,,,23.91559,121.06072,,,,,,,,,,,,,ressub:武界壩水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
20508,明湖下池水庫,,Taiwan,,,,23.86358,120.87096,,,,,,,,,,,,,ressub:明湖下池水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
20509,湖山水庫,,Taiwan,雲林縣斗六市、古坑鄉,北港溪支流、清水溪,臺灣中區,23.69046,120.62704,土石壩,75,1521,658,204.7,5139.2,5085.7,5094.2,5060.8,公共給水,經濟部水利署中區水資源分署,112.12,ressub:湖山水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30301,仁義潭水庫,,Taiwan,嘉義縣番路鄉,八掌溪(引水渠),臺灣南區,23.46699,120.51187,土石壩,28,1535,366,230.4,2911.3,2805.5,2563.6,2465.7,公共給水、觀光,台灣自來水股份有限公司,112.11,ressub:仁義潭水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30302,蘭潭水庫,,Taiwan,嘉義巿,八掌溪,臺灣南區,23.47175,120.48393,土石壩,34,982.5,208.6,78,979.6,923.1,970.8,921.8,公共給水、觀光,台灣自來水股份有限公司,111.11,ressub:蘭潭水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30306,內埔子水庫,,Taiwan,,,,23.53344,120.49488,,,,,,,,,,,,,ressub:內埔子水庫,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30401,白河水庫,,Taiwan,臺南市白河區,急水溪支流白水溪,臺灣南區,23.35914,120.48216,土壩,42.5,210,2655,195.5,2509,2253,1378.8,1378.8,公共給水、灌溉、觀光,農業部農田水利署,112.11,ressub:白河水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30403,德元埤水庫,,Taiwan,臺南市柳營區,急水溪支流塭厝廓溪,臺灣南區,23.26858,120.34638,土壩,6.7,635.5,3283.9,114.8,385.3,385.3,230.4,229.8,灌溉,農業部農田水利署,104.04,ressub:德元埤水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
30501,烏山頭水庫,,Taiwan,"臺南市六甲區、
官田區",曾文溪支流官田溪、曾文溪(越域引水),臺灣南區,23.2087,120.42861,土壩,56,1273,7761,1030.6,15415,15415,7846,7846,公共給水、灌溉、觀光,農業部農田水利署,112.11,ressub:烏山頭水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
