station_id,station_name,station_type,country,admin_unit,division,river_basin,lat,lon,normal_level (m),alert_level (m),warning_level (m),danger_level (m),wl_datum (based on),source_agency,source_url,last_updated
MY_DIDSRWK_101056,Nanga Tiau,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.11525,113.4468611,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101057,Tunoh Scheme,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.050388889,113.6709167,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101060,Long Jawe,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.116178,114.190236,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101061,Long Unai,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,1.957638889,114.7170556,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101063,Long Laku,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.466724,114.247513,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101064,Long Lidam,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.337111111,114.6788611,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101066,Long Urun,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,3.014634,114.199594,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101067,Long Jek,Rainfall,Malaysia,Sarawak,Kapit,Batang Rajang,2.808548,114.318726,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101068,Long Bantan,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.451222222,114.1140833,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101069,Long Atip,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.828166667,114.7095833,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101070,Long Luteng,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.533722222,114.7512222,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101071,Long Akah,Combine,Malaysia,Sarawak,Miri,Batang Baram,3.31375,114.7878611,5.00,9.00,10.00,11.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101072,Long Nahaah,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.329527778,114.5970556,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101073,Long Aton,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.252103,114.344724,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101074,Long Lellang,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.421416667,115.1523056,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101075,Bario,Rainfall,Malaysia,Sarawak,Miri,Batang Baram,3.735944444,115.4784444,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101076,Lio Matu,Combine,Malaysia,Sarawak,Miri,Batang Baram,3.16875,115.22375,0.80,7.00,8.00,9.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
