reservoir_id,reservoir_name,date,Report timestamp (source local time),Capacité totale (Mm3),Volume Actuel (Mm3),T. de remplissage (%),Apports dernieres 24h (Mm3)
MA_ABHSM_YOUSSEF_BEN_TACHFINE,Youssef Ben Tachfine,2026-05-21,21/05/2026 à 8h00,290.866,143.051,49.2,0.099
MA_ABHSM_ABDELMOUMEN,Abdelmoumen,2026-05-21,21/05/2026 à 8h00,198.400,71.671,36.1,0.120
MA_ABHSM_AOULOUZ,Aoulouz,2026-05-21,21/05/2026 à 8h00,89.000,80.587,90.5,0.000
MA_ABHSM_IMI_EL_KHENG,Imi El Kheng,2026-05-21,21/05/2026 à 8h00,7.258,3.845,53.0,0.004
MA_ABHSM_MOKHTAR_SOUSSI,Mokhtar Soussi,2026-05-21,21/05/2026 à 8h00,39.790,4.220,10.6,0.000
MA_ABHSM_PRINCE_MOULAY_ABDELLAH,Prince Moulay Abdellah,2026-05-21,21/05/2026 à 8h00,81.936,78.336,95.6,0.000
MA_ABHSM_AHL_SOUSS,Ahl Souss,2026-05-21,21/05/2026 à 8h00,4.912,4.654,94.7,0.000
MA_ABHSM_SIDI_ABDELLAH,Sidi Abdellah,2026-05-21,21/05/2026 à 8h00,10.370,8.465,81.6,0.017
MA_ABHSM_DKHILA,Dkhila,2026-05-21,21/05/2026 à 8h00,0.200,0.138,69.0,0.000
