流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,05-25 08:00,67.02,0.05,0,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,二渡河,上板桥,05-25 08:00,265.72,0.05,1,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,东江,七水库,05-25 08:00,79.87,-0.02,2,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,东江,红花湖,05-25 08:00,53.34,,3,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,黄沙水,同沙,05-25 08:00,16.38,-0.03,4,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,横岭水,鸡心石,05-25 08:00,46.4,0.2,5,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,稿树下水,稿树下,05-25 08:00,56.39,0.04,6,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,里波水,联和,05-25 08:00,48.7,0.07,7,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,增江,天堂山,05-25 08:00,134.51,0.06,8,2026-05-25,2026-05-25 20:23:10,0
流溪河,广东,流溪河,流溪河,05-25 08:00,223.87,0.13,9,2026-05-25,2026-05-25 20:23:10,0
流溪河,广东,天湖水库水,天湖,05-25 08:00,229.94,-0.01,10,2026-05-25,2026-05-25 20:23:10,0
流溪河,广东,沙坑,和龙,05-25 08:00,34.77,0.01,11,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,沙河,显岗,05-25 08:00,21.35,-0.06,12,2026-05-25,2026-05-25 20:23:10,0
流溪河,广东,流溪河,黄龙带,05-25 08:00,161.22,0.03,13,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,茅洲河,罗田,05-21 08:00,30.95,0.1,14,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,西乡水,铁岗,05-21 08:00,23.05,0.23,15,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,16,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,深圳水,深圳,05-25 08:00,27.41,0.14,17,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,新洲河,梅林,05-25 08:00,49.69,-0.01,18,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,龙岗河,松子坑,05-25 08:00,58.35,-0.01,19,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,莲塘水,宝鸭仔,05-25 08:00,32.38,0.01,20,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,沙坪水,四堡,05-25 08:00,64.69,0.02,21,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,小隐涌,长江,05-25 08:00,23.97,0.08,22,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,潭江,锦江,05-25 08:00,91.78,0.01,23,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,鹤洲水,大沙河,05-25 08:00,32.68,0.04,24,2026-05-25,2026-05-25 20:23:10,0
珠江,广东,镇海水,镇海,05-25 08:00,24.61,–0.02,0,2026-05-25,2026-05-25 20:23:10,1
珠江,广东,大镜山溪,大镜山,05-25 08:00,16.63,-0.03,1,2026-05-25,2026-05-25 20:23:10,1
韩江,广东,五华河,益塘,05-25 08:00,145.99,0.03,2,2026-05-25,2026-05-25 20:23:10,1
