date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20240422,C2R004,Potchefstroom,Mooi,5,NW,,2.03,2.07,103.6,,102.3,DC40
20240422,C2R005,Klipdrift,Loopspruit,5,G,,13.3,13.12,102.9,,98.6,DC48
20240422,C2R006,Elandskuil,Swartleegte,5,NW,,1.18,0.71,80.5,,59.7,DC40
20240422,C2R007,Rietspruit,Rietspruit,5,NW,,7.28,4.55,98.1,,62.5,DC40
20240422,C2R008,VaalrivierBarrage,Vaal,5,FS,,53.62,51.76,96.6,,96.5,DC42
20240422,C3R002,Spitskop,Harts,5,NC,,57.83,36.61,96.4,,63.3,DC9
20240422,C3R006,Taung,Harts,5,NW,,61.37,55.22,98.9,,90,DC39
20240422,C4R001,Allemanskraal,Sand,5,FS,,174.52,118.83,99.6,,68.1,DC18
20240422,C4R002,Erfenis,Groot-Vet,5,FS,,206.06,206.72,100.3,,100.3,DC18
20240422,C5R001,Tierpoort,Tierpoort,6,FS,,34,31.88,100.9,,93.8,MAN
20240422,C5R002,Kalkfontein,Riet,6,FS,,325.13,286.02,99.4,,88,DC16
20240422,C5R003,Rustfontein,Modder,6,FS,BF,72.11,59.08,98,,81.9,MAN
20240422,C5R004,Krugersdrift,Modder,6,FS,,71.48,64.24,100.8,,89.9,MAN
20240422,C5R005,Groothoek,Kgabanyane,6,FS,BF,11.9,8.84,98.5,,74.2,MAN
20240422,C7R001,Koppies,Renoster,5,FS,,42.31,34.77,98.4,,82.2,DC20
20240422,C8R002,Metsi-Matsho,Metsi-Matsho,5,FS,,4.38,4.35,98.7,,99.4,DC19
20240422,C8R003,~Sterkfontein,Nuwejaarspruit,5,FS,IV,2616.9,2612.86,101.5,,99.8,DC19
20240422,C8R004,~Saulspoort,Liebenbergsvlei,5,FS,,15.01,14.91,99.3,,99.3,DC19
20240422,C8R008,Fika-Patso,Namahadi,5,FS,,29.41,23.08,97.1,,78.5,DC19
20240422,C9R001,~VaalhartsWeir,Vaal,5,NC,,50.68,43.53,54.7,,85.9,DC9
20240422,C9R002,Bloemhof,Vaal,5,FS,IV,1242.91,1121.57,101.6,,90.2,DC18
20240422,C9R003,~DouglasWeir,Vaal,6,NC,,16.24,17.83,114,,109.8,DC7
20240422,D1R001,Jozanashoek,Sterkspruit,6,EC,,9.47,9.53,100.5,,100.6,DC14
20240422,D1R002,* Katse,Malibamatso,11,L,IV,1519.1,1420.39,99.1,,93.5,
20240422,D1R003,* Mohale,Senqunyane,11,L,IV,843.53,853.35,101.7,,101.2,
20240422,D2R001,Egmont,Witspruit,6,FS,,9.06,6.94,99.9,,76.6,MAN
20240422,D2R002,Armenia,Leeu,6,FS,,13.22,11.84,101.1,,89.6,DC19
20240422,D2R004,~Welbedacht,Caledon,6,FS,BF,5.42,5.42,97,,100,MAN
20240422,D2R006,Knellpoort,Rietspruit,6,FS,BF,130,128.05,99.7,,98.5,MAN
20240422,D3R002,Gariep,Orange,6,FS,OR,4903.45,4269.65,99.1,,87.1,DC16
20240422,D3R003,Vanderkloof,Orange,6,FS,OR,3092.36,2959.6,99.8,,95.7,DC16
20240422,D4R003,Disaneng,Molopo,5,NW,,14.12,12.6,98.9,,89.2,DC38
20240422,D4R004,Setumo,Molopo,5,NW,,20.72,21.03,98.9,,101.5,DC38
20240422,D7R001,~Boegoeberg,Orange,6,NC,,20.61,23.92,122.5,,116.1,DC7
20240422,E1R001,Bulshoek,Olifants,9,WCw,,4.81,3.44,52.6,,71.5,DC1
20240422,E1R002,Clanwilliam,Olifants,9,WCw,,122.48,26.55,14.8,,21.7,DC1
20240422,E4R001,Karee,Karee,9,NC,,0.95,0.34,0,,35.6,DC6
20240422,G1R001,Voelvlei,Voelvlei,9,WCw,CT,158.59,86.26,38.8,,54.4,DC2
20240422,G1R002,Wemmershoek,Wemmers,9,WCw,CT,58.71,39.97,71.1,,68.1,DC2
20240422,G1R003,~Misverstand,Berg,9,WCw,,5.68,5.53,100.6,,97.4,DC1
20240422,G1R004,Berg River,Berg,9,WCw,CT,127.05,92.43,76.3,,72.7,DC2
20240422,G4R001,~Steenbras-Lower,Steenbras,9,WCw,CT,33.88,19.94,51.5,,58.9,CPT
20240422,G4R002,Eikenhof,Palmiet,8,WCw,,28.86,18.26,81.6,,63.3,DC3
20240422,G4R007,~Steenbras-Upper,Steenbras,9,WCw,CT,31.81,25.44,91.8,,80,CPT
20240422,G4R010,De Bos,Onrus,8,WCw,,5.74,4.8,97.4,,83.7,DC3
20240422,H1R001,Brandvlei,LowerBrandvlei,8,WCw,,286.04,136.28,38.9,,47.6,DC2
20240422,H1R002,Stettynskloof,Holsloot,8,WCw,,14.75,8.83,63.9,,59.9,DC2
20240422,H1R003,Ceres,Koekedou,8,WCw,,17.25,10.78,37.5,,62.5,DC2
20240422,H2R001,Roode ElsBerg,Sanddrifskloof,8,WCw,,7.73,3.52,33.6,,45.6,DC2
20240422,H2R002,Lakenvallei,Sanddrifskloof,8,WCw,,10.44,9.63,84.3,,92.2,DC2
20240422,H3R001,Poortjieskloof,Groot,8,WCw,,9.72,9.3,2.9,,95.6,DC2
20240422,H3R002,Pietersfontein,Pietersfontein,8,WCw,,1.92,1.92,84.4,,100.3,DC2
20240422,H4R002,Keerom,Nuy,8,WCw,,9.75,9.75,100,,100,DC2
20240422,H4R003,Klipberg,Konings,8,WCw,,1.94,1.91,94.4,,98.5,DC2
20240422,H4R004,Kwaggaskloof,Doorn,8,WCw,,169.41,79.39,39.2,,46.9,DC2
20240422,H6R001,Theewaterskloof,Riviersonderend,8,WCw,CT,479.26,301.86,55.2,,63,DC3
20240422,H6R002,Elandskloof,Elands,8,WCw,,10.99,4.32,55.5,,39.3,DC3
20240422,H7R001,Buffeljags,Buffeljags,8,WCo,,4.54,4.58,102.1,,100.8,DC3
20240422,H8R001,Duiwenhoks,Duiwenhoks,8,WCo,,6.18,6.19,100.5,,100.2,DC4
20240422,H9R001,Korentepoort,Korinte,8,WCo,,8.09,8.15,100.4,,100.8,DC4
20240422,J1R001,Prinsrivier,Prins,8,WCo,,2.26,1.14,98.6,,50.6,DC4
20240422,J1R002,Bellair,Brak,8,WCo,,4.24,3.84,34.8,,90.7,DC3
20240422,J1R003,Floriskraal,Buffels,8,WCo,,48.27,48.42,28,,100.3,DC5
20240422,J1R004,Miertjieskraal,Brand,8,WCo,,1.43,1.44,99.1,,100.2,DC4
20240422,J2R001,Calitzdorp,Nels,8,WCo,,4.82,4.83,96.2,,100.3,DC4
20240422,J2R002,Leeugamka,Leeu,8,WCo,,13.58,5.28,63.1,,38.8,DC5
20240422,J2R003,Oukloof,Cordiers,8,WCo,,4.19,4.31,7.1,,102.8,DC5
20240422,J2R004,Gamka,Gamka,8,WCo,,1.73,1.55,78.1,,89.5,DC5
20240422,J2R006,Gamkapoort,Gamka,8,WCo,,35.72,36.25,95.1,,101.5,DC5
