流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
粤东沿海诸河,广东,新西河,新西河,04-04 08:00,34.25,-0.02,2,2026-04-04,2026-04-03 20:57:32,2
珠江,广东,大隆洞河,大隆洞,04-04 08:00,25.71,-0.1,3,2026-04-04,2026-04-03 20:57:32,2
鉴江,广东,小水河,高城,04-04 08:00,130.34,-0.01,4,2026-04-04,2026-04-03 20:57:32,2
鉴江,广东,六雅河,尚文,04-04 08:00,104.09,-0.07,5,2026-04-04,2026-04-03 20:57:32,2
鉴江,广东,大井河,良德水库（大坝）,04-04 08:00,81.39,-0.05,6,2026-04-04,2026-04-03 20:57:32,2
鉴江,广东,庙背水,罗坑,04-04 08:00,108.4,-0.02,7,2026-04-04,2026-04-03 20:57:32,2
鉴江,广东,袂花江,黄沙,04-04 08:00,115.13,-0.1,8,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,东运河,西湖,04-04 08:00,13.28,-0.06,9,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,龙门河,龙门,04-04 08:00,54.62,-0.02,10,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,大水桥河,大水桥,04-04 08:00,55.68,,11,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,九洲江,鹤地水库(大坝）,04-04 08:00,36.65,-0.01,12,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,武陵河,武陵,04-04 08:00,35.64,,13,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,沙铲河,岭背下,04-04 08:00,39.97,-0.01,14,2026-04-04,2026-04-03 20:57:32,2
粤西沿海诸河,广东,沙铲河,仙人域,04-04 08:00,35,0.05,15,2026-04-04,2026-04-03 20:57:32,2
珠江,广东,漠阳江,北河,04-04 08:00,85.1,-0.08,16,2026-04-04,2026-04-03 20:57:32,2
珠江,广东,那龙河,东湖,04-04 08:00,27.15,-0.03,17,2026-04-04,2026-04-03 20:57:32,2
珠江,广东,洋边河,茅,04-04 08:00,25.92,-0.02,18,2026-04-04,2026-04-03 20:57:32,2
珠江,广东,儒洞河,陂底,04-04 08:00,36.23,-0.02,19,2026-04-04,2026-04-03 20:57:32,2
南渡江,海南,南渡江,松涛水库 (南丰）,04-04 08:00,185.24,-0.04,20,2026-04-04,2026-04-03 20:57:32,2
万泉河,海南,万泉河,牛路岭水库,04-02 08:00,99.9,-0.07,21,2026-04-04,2026-04-03 20:57:32,2
太阳河,海南,太阳河,万宁水库 (大坝）,04-02 08:00,19.73,-0.06,22,2026-04-04,2026-04-03 20:57:32,2
藤桥河,海南,藤桥西河,赤田水库,03-11 08:00,22.46,,23,2026-04-04,2026-04-03 20:57:32,2
三亚河,海南,三亚河,福万水库,03-11 08:00,122.15,,24,2026-04-04,2026-04-03 20:57:32,2
辽河,辽宁,清河,清河水库,04-04 08:00,130.96,0.02,0,2026-04-04,2026-04-03 20:57:32,4
辽河,辽宁,柳河,闹德海,04-04 08:00,180.88,0.02,1,2026-04-04,2026-04-03 20:57:32,4
辽河,辽宁,浑河,大伙房水库,04-04 08:00,124.16,-0.03,2,2026-04-04,2026-04-03 20:57:32,4
辽河,辽宁,太子河,观音阁水库,04-04 08:00,252.37,-0.06,3,2026-04-04,2026-04-03 20:57:32,4
辽河,辽宁,太子河,窝水库,04-04 08:00,88.88,0.19,4,2026-04-04,2026-04-03 20:57:32,4
海河流域,海委,滦河,潘家口,04-04 08:00,221.48,-0.15,5,2026-04-04,2026-04-03 20:57:32,4
