流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,04-15 08:00,64.99,-0.01,0,2026-04-14 20:00:12,2026-04-15,0
珠江,广东,二渡河,上板桥,04-15 08:00,264.92,0.02,0,2026-04-14 20:00:12,2026-04-15,1
珠江,广东,东江,七水库,04-15 08:00,78.66,-0.03,0,2026-04-14 20:00:12,2026-04-15,2
珠江,广东,东江,红花湖,04-15 08:00,53.22,,0,2026-04-14 20:00:12,2026-04-15,3
珠江,广东,黄沙水,同沙,04-15 08:00,15.56,0.02,0,2026-04-14 20:00:12,2026-04-15,4
珠江,广东,横岭水,鸡心石,04-15 08:00,49.5,,0,2026-04-14 20:00:12,2026-04-15,5
珠江,广东,稿树下水,稿树下,04-15 08:00,57.42,-0.02,0,2026-04-14 20:00:12,2026-04-15,6
珠江,广东,里波水,联和,04-15 08:00,46.23,-0.04,0,2026-04-14 20:00:12,2026-04-15,7
流溪河,广东,流溪河,流溪河,04-15 08:00,225.16,-0.01,0,2026-04-14 20:00:12,2026-04-15,8
流溪河,广东,天湖水库水,天湖,04-15 08:00,228.99,-0.02,0,2026-04-14 20:00:12,2026-04-15,9
流溪河,广东,沙坑,和龙,04-15 08:00,34.43,,0,2026-04-14 20:00:12,2026-04-15,10
珠江,广东,沙河,显岗,04-15 08:00,20.23,-0.04,0,2026-04-14 20:00:12,2026-04-15,11
流溪河,广东,流溪河,黄龙带,04-15 08:00,160.93,-0.04,0,2026-04-14 20:00:12,2026-04-15,12
珠江,广东,西乡水,铁岗,04-15 08:00,22.37,-0.09,0,2026-04-14 20:00:12,2026-04-15,13
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-04-14 20:00:12,2026-04-15,14
珠江,广东,深圳水,深圳,04-15 08:00,27.54,0.05,0,2026-04-14 20:00:12,2026-04-15,15
珠江,广东,新洲河,梅林,04-15 08:00,49.56,,0,2026-04-14 20:00:12,2026-04-15,16
珠江,广东,龙岗河,松子坑,04-15 08:00,59.27,-0.14,0,2026-04-14 20:00:12,2026-04-15,17
珠江,广东,莲塘水,宝鸭仔,04-15 08:00,30.51,-0.03,0,2026-04-14 20:00:12,2026-04-15,18
珠江,广东,沙坪水,四堡,04-15 08:00,64.41,-0.01,0,2026-04-14 20:00:12,2026-04-15,19
珠江,广东,潭江,锦江,04-15 08:00,84.64,-0.07,0,2026-04-14 20:00:12,2026-04-15,20
珠江,广东,鹤洲水,大沙河,04-15 08:00,30.34,-0.08,0,2026-04-14 20:00:12,2026-04-15,21
珠江,广东,镇海水,镇海,04-15 08:00,22.86,,1,2026-04-14 20:00:12,2026-04-15,0
珠江,广东,大镜山溪,大镜山,04-15 08:00,16.63,-0.05,1,2026-04-14 20:00:12,2026-04-15,1
韩江,广东,五华河,益塘,04-15 08:00,145.49,-0.1,1,2026-04-14 20:00:12,2026-04-15,2
韩江,广东,和山河,和山岩,04-15 08:00,151.68,0.02,1,2026-04-14 20:00:12,2026-04-15,3
韩江,福建,汀江,棉花滩水库,04-15 08:00,160.19,-0.53,1,2026-04-14 20:00:12,2026-04-15,4
韩江,广东,汀江,青溪,04-15 08:00,72.21,0.19,1,2026-04-14 20:00:12,2026-04-15,5
韩江,广东,程江,梅西,04-15 08:00,164.48,-0.19,1,2026-04-14 20:00:12,2026-04-15,6
韩江,广东,凤凰溪,凤溪,04-15 08:00,408.09,-0.06,1,2026-04-14 20:00:12,2026-04-15,7
粤东沿海诸河,广东,五经富水,龙颈（上）,04-15 08:00,88.7,-0.05,1,2026-04-14 20:00:12,2026-04-15,8
粤东沿海诸河,广东,小龙溪,小龙溪,04-15 08:00,52.93,-0.07,1,2026-04-14 20:00:12,2026-04-15,9
粤东沿海诸河,广东,龙溪水,龙溪一级,04-15 08:00,171.69,-0.03,1,2026-04-14 20:00:12,2026-04-15,10
粤东沿海诸河,广东,龙溪水,龙溪二级,04-15 08:00,59.11,-0.14,1,2026-04-14 20:00:12,2026-04-15,11
粤东沿海诸河,广东,锣鼓水,红场,04-15 08:00,242.14,-0.19,1,2026-04-14 20:00:12,2026-04-15,12
粤东沿海诸河,广东,金溪河,上金溪,04-15 08:00,85.9,-0.1,1,2026-04-14 20:00:12,2026-04-15,13
粤东沿海诸河,广东,练江,白沙溪,04-15 08:00,365.39,-0.09,1,2026-04-14 20:00:12,2026-04-15,14
粤东沿海诸河,广东,雷岭河,蜈蚣岭,04-15 08:00,45.65,-0.03,1,2026-04-14 20:00:12,2026-04-15,15
粤东沿海诸河,广东,横江水,横江,04-15 08:00,65.6,-0.07,1,2026-04-14 20:00:12,2026-04-15,16
粤东沿海诸河,广东,练江,汤坑,04-15 08:00,48.9,-0.25,1,2026-04-14 20:00:12,2026-04-15,17
粤东沿海诸河,广东,练江,秋风岭,04-15 08:00,34.71,0.02,1,2026-04-14 20:00:12,2026-04-15,18
粤东沿海诸河,广东,龙江,龙潭,04-15 08:00,63.56,-0.06,1,2026-04-14 20:00:12,2026-04-15,19
粤东沿海诸河,广东,罗溪,石榴潭,04-15 08:00,33.8,-0.02,1,2026-04-14 20:00:12,2026-04-15,20
粤东沿海诸河,广东,黄江,公平,04-15 08:00,12.79,-0.03,2,2026-04-14 20:00:12,2026-04-15,0
粤东沿海诸河,广东,大液河,黄山洞,04-15 08:00,45.25,-0.03,2,2026-04-14 20:00:12,2026-04-15,1
粤东沿海诸河,广东,新西河,新西河,04-15 08:00,34.12,-0.02,2,2026-04-14 20:00:12,2026-04-15,2
珠江,广东,大隆洞河,大隆洞,04-15 08:00,25.03,-0.08,2,2026-04-14 20:00:12,2026-04-15,3
鉴江,广东,小水河,高城,04-15 08:00,130.25,-0.01,2,2026-04-14 20:00:12,2026-04-15,4
鉴江,广东,六雅河,尚文,04-15 08:00,103.15,-0.1,2,2026-04-14 20:00:12,2026-04-15,5
鉴江,广东,大井河,良德水库（大坝）,04-15 08:00,80.71,-0.06,2,2026-04-14 20:00:12,2026-04-15,6
鉴江,广东,庙背水,罗坑,04-15 08:00,107.94,-0.05,2,2026-04-14 20:00:12,2026-04-15,7
鉴江,广东,袂花江,黄沙,04-15 08:00,113.89,-0.12,2,2026-04-14 20:00:12,2026-04-15,8
粤西沿海诸河,广东,东运河,西湖,04-15 08:00,12.9,-0.05,2,2026-04-14 20:00:12,2026-04-15,9
粤西沿海诸河,广东,龙门河,龙门,04-15 08:00,54.19,-0.02,2,2026-04-14 20:00:12,2026-04-15,10
粤西沿海诸河,广东,大水桥河,大水桥,04-15 08:00,55.43,-0.03,2,2026-04-14 20:00:12,2026-04-15,11
粤西沿海诸河,广东,九洲江,鹤地水库(大坝）,04-15 08:00,36.33,-0.03,2,2026-04-14 20:00:12,2026-04-15,12
粤西沿海诸河,广东,武陵河,武陵,04-15 08:00,35.41,-0.05,2,2026-04-14 20:00:12,2026-04-15,13
粤西沿海诸河,广东,沙铲河,仙人域,04-15 08:00,34.95,0.05,2,2026-04-14 20:00:12,2026-04-15,14
珠江,广东,那龙河,东湖,04-15 08:00,26.87,-0.05,2,2026-04-14 20:00:12,2026-04-15,15
珠江,广东,洋边河,茅,04-15 08:00,25.57,-0.04,2,2026-04-14 20:00:12,2026-04-15,16
珠江,广东,儒洞河,陂底,04-15 08:00,35.93,-0.02,2,2026-04-14 20:00:12,2026-04-15,17
万泉河,海南,万泉河,牛路岭水库,04-13 08:00,96.72,-0.3,2,2026-04-14 20:00:12,2026-04-15,18
太阳河,海南,太阳河,万宁水库 (大坝）,04-13 08:00,19.17,-0.01,2,2026-04-14 20:00:12,2026-04-15,19
藤桥河,海南,藤桥西河,赤田水库,04-13 08:00,21.26,-0.05,2,2026-04-14 20:00:12,2026-04-15,20
三亚河,海南,三亚河,福万水库,04-13 08:00,119.17,-0.08,2,2026-04-14 20:00:12,2026-04-15,21
三亚河,海南,三亚河,半岭水库,04-13 08:00,47.99,0.03,3,2026-04-14 20:00:12,2026-04-15,0
三亚河,海南,三亚河,水源池水库,04-13 08:00,39.02,0.04,3,2026-04-14 20:00:12,2026-04-15,1
宁远河,海南,宁远河,抱古水库,04-13 08:00,45.83,-0.02,3,2026-04-14 20:00:12,2026-04-15,2
宁远河,海南,宁远河,大隆水库,04-13 08:00,53.49,-0.11,3,2026-04-14 20:00:12,2026-04-15,3
望楼河,海南,望楼河,长茅水库,04-13 08:00,153.92,-0.03,3,2026-04-14 20:00:12,2026-04-15,4
望楼河,海南,望楼河,石门水库,04-13 08:00,40.49,-0.17,3,2026-04-14 20:00:12,2026-04-15,5
