reservoir_id,reservoir_name,admin_unit,river,basin,source_note
30901,高屏溪攔河堰,高雄市大樹區、屏東縣屏東市,高屏溪,臺灣南區,Manual override from WRA/secondary references
50302,秋桂山水庫,連江縣南竿鄉,(天然積水),馬祖地區,Manual override from WRA/secondary references
