流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,05-03 08:00,65.56,–0.01,0,2026-05-02 21:18:54,2026-05-03,0
珠江,广东,二渡河,上板桥,05-03 08:00,264.76,0.04,0,2026-05-02 21:18:54,2026-05-03,1
珠江,广东,东江,七水库,05-03 08:00,78.86,0.02,0,2026-05-02 21:18:54,2026-05-03,2
珠江,广东,东江,红花湖,05-03 08:00,53.22,,0,2026-05-02 21:18:54,2026-05-03,3
珠江,广东,黄沙水,同沙,05-03 08:00,15.75,-0.09,0,2026-05-02 21:18:54,2026-05-03,4
珠江,广东,横岭水,鸡心石,05-03 08:00,47.4,-0.4,0,2026-05-02 21:18:54,2026-05-03,5
珠江,广东,稿树下水,稿树下,05-03 08:00,57.09,-0.01,0,2026-05-02 21:18:54,2026-05-03,6
珠江,广东,里波水,联和,05-03 08:00,46.15,-0.01,0,2026-05-02 21:18:54,2026-05-03,7
珠江,广东,增江,天堂山,05-03 08:00,135.6,-0.13,0,2026-05-02 21:18:54,2026-05-03,8
流溪河,广东,流溪河,流溪河,05-03 08:00,223.14,-0.2,0,2026-05-02 21:18:54,2026-05-03,9
流溪河,广东,天湖水库水,天湖,05-03 08:00,228.82,-0.03,0,2026-05-02 21:18:54,2026-05-03,10
流溪河,广东,沙坑,和龙,05-03 08:00,34.33,-0.01,0,2026-05-02 21:18:54,2026-05-03,11
珠江,广东,沙河,显岗,05-03 08:00,20.59,-0.03,0,2026-05-02 21:18:54,2026-05-03,12
流溪河,广东,流溪河,黄龙带,05-03 08:00,159.63,-0.2,0,2026-05-02 21:18:54,2026-05-03,13
珠江,广东,茅洲河,罗田,05-03 08:00,29.39,-0.11,0,2026-05-02 21:18:54,2026-05-03,14
珠江,广东,西乡水,铁岗,05-03 08:00,22.46,,0,2026-05-02 21:18:54,2026-05-03,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-05-02 21:18:54,2026-05-03,16
珠江,广东,深圳水,深圳,05-03 08:00,27.5,-0.06,0,2026-05-02 21:18:54,2026-05-03,17
珠江,广东,新洲河,梅林,05-03 08:00,49.57,,0,2026-05-02 21:18:54,2026-05-03,18
珠江,广东,龙岗河,松子坑,05-03 08:00,58.45,0.05,0,2026-05-02 21:18:54,2026-05-03,19
珠江,广东,莲塘水,宝鸭仔,05-03 08:00,30.29,-0.01,0,2026-05-02 21:18:54,2026-05-03,20
珠江,广东,沙坪水,四堡,05-03 08:00,63.79,,0,2026-05-02 21:18:54,2026-05-03,21
珠江,广东,小隐涌,长江,05-03 08:00,22.42,-0.02,0,2026-05-02 21:18:54,2026-05-03,22
