reservoir_id,reservoir_name,country,operator,source_agency,source_url,data_type,last_updated
LS_LHDA_KATSE,Katse,Lesotho,LHDA (Lesotho Highlands Development Authority),LHDA (Lesotho Highlands Development Authority),https://www.lhda.org.ls/,in_situ,2026-09-05T165200Z
LS_LHDA_MOHALE,Mohale,Lesotho,LHDA (Lesotho Highlands Development Authority),LHDA (Lesotho Highlands Development Authority),https://www.lhda.org.ls/,in_situ,2026-09-05T165200Z
