流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,04-21 08:00,64.91,,0,2026-04-20 20:00:14,2026-04-21,0
珠江,广东,二渡河,上板桥,04-21 08:00,265.06,-0.08,0,2026-04-20 20:00:14,2026-04-21,1
珠江,广东,东江,七水库,04-21 08:00,78.47,-0.04,0,2026-04-20 20:00:14,2026-04-21,2
珠江,广东,东江,红花湖,04-21 08:00,53.2,0.01,0,2026-04-20 20:00:14,2026-04-21,3
珠江,广东,黄沙水,同沙,04-21 08:00,15.59,,0,2026-04-20 20:00:14,2026-04-21,4
珠江,广东,横岭水,鸡心石,04-21 08:00,49.4,,0,2026-04-20 20:00:14,2026-04-21,5
珠江,广东,稿树下水,稿树下,04-21 08:00,56.86,,0,2026-04-20 20:00:14,2026-04-21,6
珠江,广东,里波水,联和,04-21 08:00,46.11,-0.02,0,2026-04-20 20:00:14,2026-04-21,7
珠江,广东,增江,天堂山,04-21 08:00,136.91,-0.11,0,2026-04-20 20:00:14,2026-04-21,8
流溪河,广东,流溪河,流溪河,04-21 08:00,225.21,,0,2026-04-20 20:00:14,2026-04-21,9
流溪河,广东,天湖水库水,天湖,04-21 08:00,228.95,-0.02,0,2026-04-20 20:00:14,2026-04-21,10
流溪河,广东,沙坑,和龙,04-21 08:00,34.38,-0.02,0,2026-04-20 20:00:14,2026-04-21,11
珠江,广东,沙河,显岗,04-21 08:00,20.21,0.04,0,2026-04-20 20:00:14,2026-04-21,12
流溪河,广东,流溪河,黄龙带,04-21 08:00,160.55,-0.09,0,2026-04-20 20:00:14,2026-04-21,13
珠江,广东,茅洲河,罗田,04-21 08:00,29.38,-0.07,0,2026-04-20 20:00:14,2026-04-21,14
珠江,广东,西乡水,铁岗,04-21 08:00,22.18,-0.01,0,2026-04-20 20:00:14,2026-04-21,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-04-20 20:00:14,2026-04-21,16
珠江,广东,深圳水,深圳,04-20 08:00,27.26,0.13,0,2026-04-20 20:00:14,2026-04-21,17
珠江,广东,新洲河,梅林,04-21 08:00,49.54,-0.01,0,2026-04-20 20:00:14,2026-04-21,18
珠江,广东,龙岗河,松子坑,04-21 08:00,58.34,-0.18,0,2026-04-20 20:00:14,2026-04-21,19
珠江,广东,莲塘水,宝鸭仔,04-21 08:00,30.32,-0.03,0,2026-04-20 20:00:14,2026-04-21,20
珠江,广东,沙坪水,四堡,04-21 08:00,63.99,-0.06,0,2026-04-20 20:00:14,2026-04-21,21
珠江,广东,小隐涌,长江,04-21 08:00,22.5,-0.03,0,2026-04-20 20:00:14,2026-04-21,22
珠江,广东,潭江,锦江,04-21 08:00,84.18,-0.09,0,2026-04-20 20:00:14,2026-04-21,23
珠江,广东,鹤洲水,大沙河,04-21 08:00,30.07,-0.01,0,2026-04-20 20:00:14,2026-04-21,24
珠江,广东,镇海水,镇海,04-21 08:00,22.85,0.02,1,2026-04-20 20:00:14,2026-04-21,0
珠江,广东,大镜山溪,大镜山,04-21 08:00,16.41,-0.04,1,2026-04-20 20:00:14,2026-04-21,1
韩江,广东,五华河,益塘,04-21 08:00,144.98,0.01,1,2026-04-20 20:00:14,2026-04-21,2
韩江,广东,和山河,和山岩,04-21 08:00,151.78,-0.05,1,2026-04-20 20:00:14,2026-04-21,3
韩江,福建,汀江,棉花滩水库,04-21 08:00,157.36,-0.53,1,2026-04-20 20:00:14,2026-04-21,4
