流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,05-28 08:00,67.07,-0.01,0,2026-05-29 00:13:32,2026-05-28,0
珠江,广东,二渡河,上板桥,05-28 08:00,265.76,-0.06,0,2026-05-29 00:13:32,2026-05-28,1
珠江,广东,东江,七水库,05-28 08:00,79.76,-0.04,0,2026-05-29 00:13:32,2026-05-28,2
珠江,广东,东江,红花湖,05-28 08:00,53.33,,0,2026-05-29 00:13:32,2026-05-28,3
珠江,广东,黄沙水,同沙,05-28 08:00,16.14,-0.14,0,2026-05-29 00:13:32,2026-05-28,4
珠江,广东,横岭水,鸡心石,05-28 08:00,46.9,0.2,0,2026-05-29 00:13:32,2026-05-28,5
珠江,广东,稿树下水,稿树下,05-28 08:00,56.66,0.1,0,2026-05-29 00:13:32,2026-05-28,6
珠江,广东,里波水,联和,05-28 08:00,48.75,0.01,0,2026-05-29 00:13:32,2026-05-28,7
珠江,广东,增江,天堂山,05-28 08:00,134.26,-0.09,0,2026-05-29 00:13:32,2026-05-28,8
流溪河,广东,流溪河,流溪河,05-28 08:00,224.04,-0.01,0,2026-05-29 00:13:32,2026-05-28,9
流溪河,广东,天湖水库水,天湖,05-28 08:00,229.8,-0.04,0,2026-05-29 00:13:32,2026-05-28,10
流溪河,广东,沙坑,和龙,05-28 08:00,34.76,-0.01,0,2026-05-29 00:13:32,2026-05-28,11
珠江,广东,沙河,显岗,05-28 08:00,21.15,-0.08,0,2026-05-29 00:13:32,2026-05-28,12
流溪河,广东,流溪河,黄龙带,05-28 08:00,161.34,0.01,0,2026-05-29 00:13:32,2026-05-28,13
珠江,广东,茅洲河,罗田,05-21 08:00,30.95,0.1,0,2026-05-29 00:13:32,2026-05-28,14
珠江,广东,西乡水,铁岗,05-21 08:00,23.05,0.23,0,2026-05-29 00:13:32,2026-05-28,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-05-29 00:13:32,2026-05-28,16
珠江,广东,深圳水,深圳,05-28 08:00,27.63,0.29,0,2026-05-29 00:13:32,2026-05-28,17
珠江,广东,新洲河,梅林,05-28 08:00,49.69,0.01,0,2026-05-29 00:13:32,2026-05-28,18
珠江,广东,龙岗河,松子坑,05-28 08:00,58.29,-0.02,0,2026-05-29 00:13:32,2026-05-28,19
珠江,广东,莲塘水,宝鸭仔,05-28 08:00,32.34,-0.02,0,2026-05-29 00:13:32,2026-05-28,20
珠江,广东,沙坪水,四堡,05-28 08:00,64.73,,0,2026-05-29 00:13:32,2026-05-28,21
珠江,广东,小隐涌,长江,05-28 08:00,23.95,,0,2026-05-29 00:13:32,2026-05-28,22
珠江,广东,潭江,锦江,05-28 08:00,91.61,-0.09,0,2026-05-29 00:13:32,2026-05-28,23
珠江,广东,鹤洲水,大沙河,05-28 08:00,32.59,-0.04,0,2026-05-29 00:13:32,2026-05-28,24
珠江,广东,镇海水,镇海,05-28 08:00,24.5,–0.05,1,2026-05-29 00:13:32,2026-05-28,0
珠江,广东,大镜山溪,大镜山,05-28 08:00,16.53,-0.03,1,2026-05-29 00:13:32,2026-05-28,1
韩江,广东,五华河,益塘,05-28 08:00,146.0,0.01,1,2026-05-29 00:13:32,2026-05-28,2
韩江,广东,和山河,和山岩,05-28 08:00,151.75,0.01,1,2026-05-29 00:13:32,2026-05-28,3
韩江,福建,汀江,棉花滩水库,05-28 08:00,162.83,,1,2026-05-29 00:13:32,2026-05-28,4
韩江,广东,汀江,青溪,05-28 08:00,70.03,-0.19,1,2026-05-29 00:13:32,2026-05-28,5
韩江,广东,程江,梅西,05-28 08:00,164.75,-0.15,1,2026-05-29 00:13:32,2026-05-28,6
韩江,广东,凤凰溪,凤溪,05-28 08:00,414.2,0.03,1,2026-05-29 00:13:32,2026-05-28,7
粤东沿海诸河,广东,五经富水,龙颈（上）,05-28 08:00,88.23,-0.07,1,2026-05-29 00:13:32,2026-05-28,8
粤东沿海诸河,广东,五经富水,龙颈(下）,05-28 08:00,53.48,0.04,1,2026-05-29 00:13:32,2026-05-28,9
粤东沿海诸河,广东,小龙溪,小龙溪,05-28 08:00,50.99,-0.08,1,2026-05-29 00:13:32,2026-05-28,10
粤东沿海诸河,广东,龙溪水,龙溪一级,05-28 08:00,172.89,-0.2,1,2026-05-29 00:13:32,2026-05-28,11
粤东沿海诸河,广东,龙溪水,龙溪二级,05-28 08:00,55.59,0.01,1,2026-05-29 00:13:32,2026-05-28,12
粤东沿海诸河,广东,锣鼓水,红场,05-28 08:00,242.66,0.04,1,2026-05-29 00:13:32,2026-05-28,13
粤东沿海诸河,广东,金溪河,上金溪,05-28 08:00,84.59,-0.08,1,2026-05-29 00:13:32,2026-05-28,14
粤东沿海诸河,广东,三坑溪,上三坑,05-28 08:00,156.95,,1,2026-05-29 00:13:32,2026-05-28,15
粤东沿海诸河,广东,练江,白沙溪,05-28 08:00,364.18,-0.04,1,2026-05-29 00:13:32,2026-05-28,16
粤东沿海诸河,广东,雷岭河,镇北,05-28 08:00,43.96,0.01,1,2026-05-29 00:13:32,2026-05-28,17
粤东沿海诸河,广东,雷岭河,蜈蚣岭,05-28 08:00,44.8,-0.05,1,2026-05-29 00:13:32,2026-05-28,18
粤东沿海诸河,广东,黄江,朝面山,05-28 08:00,200.88,0.03,1,2026-05-29 00:13:32,2026-05-28,19
粤东沿海诸河,广东,横江水,横江,05-28 08:00,64.7,-0.07,1,2026-05-29 00:13:32,2026-05-28,20
粤东沿海诸河,广东,练江,汤坑,05-28 08:00,44.5,-0.15,1,2026-05-29 00:13:32,2026-05-28,21
粤东沿海诸河,广东,练江,秋风岭,05-28 08:00,33.55,-0.08,1,2026-05-29 00:13:32,2026-05-28,22
粤东沿海诸河,广东,龙江,龙潭,05-28 08:00,65.41,-0.08,1,2026-05-29 00:13:32,2026-05-28,23
粤东沿海诸河,广东,罗溪,石榴潭,05-28 08:00,33.93,-0.03,1,2026-05-29 00:13:32,2026-05-28,24
粤东沿海诸河,广东,黄江,公平,05-28 08:00,14.28,-0.1,2,2026-05-29 00:13:32,2026-05-28,0
粤东沿海诸河,广东,大液河,黄山洞,05-28 08:00,48.93,0.01,2,2026-05-29 00:13:32,2026-05-28,1
粤东沿海诸河,广东,新西河,新西河,05-28 08:00,34.47,-0.02,2,2026-05-29 00:13:32,2026-05-28,2
珠江,广东,大隆洞河,大隆洞,05-28 08:00,28.8,-0.04,2,2026-05-29 00:13:32,2026-05-28,3
鉴江,广东,小水河,高城,05-28 08:00,130.92,-0.06,2,2026-05-29 00:13:32,2026-05-28,4
鉴江,广东,六雅河,尚文,05-28 08:00,105.16,,2,2026-05-29 00:13:32,2026-05-28,5
鉴江,广东,大井河,良德水库(大坝),05-28 08:00,82.42,-0.02,2,2026-05-29 00:13:32,2026-05-28,6
鉴江,广东,庙背水,罗坑,05-28 08:00,109.78,-0.03,2,2026-05-29 00:13:32,2026-05-28,7
鉴江,广东,袂花江,黄沙,05-28 08:00,113.8,-0.06,2,2026-05-29 00:13:32,2026-05-28,8
粤西沿海诸河,广东,东运河,西湖,05-28 08:00,12.63,-0.18,2,2026-05-29 00:13:32,2026-05-28,9
粤西沿海诸河,广东,龙门河,龙门,05-28 08:00,53.86,-0.03,2,2026-05-29 00:13:32,2026-05-28,10
粤西沿海诸河,广东,大水桥河,大水桥,05-28 08:00,54.9,-0.01,2,2026-05-29 00:13:32,2026-05-28,11
粤西沿海诸河,广东,九洲江,鹤地水库(大坝）,05-28 08:00,35.93,-0.03,2,2026-05-29 00:13:32,2026-05-28,12
粤西沿海诸河,广东,武陵河,武陵,05-28 08:00,34.63,-0.03,2,2026-05-29 00:13:32,2026-05-28,13
粤西沿海诸河,广东,沙铲河,岭背下,05-28 08:00,39.6,,2,2026-05-29 00:13:32,2026-05-28,14
粤西沿海诸河,广东,沙铲河,仙人域,05-28 08:00,34.87,-0.29,2,2026-05-29 00:13:32,2026-05-28,15
珠江,广东,漠阳江,北河,05-28 08:00,85.06,0.01,2,2026-05-29 00:13:32,2026-05-28,16
珠江,广东,那龙河,东湖,05-28 08:00,27.95,-0.02,2,2026-05-29 00:13:32,2026-05-28,17
珠江,广东,洋边河,茅垌,05-28 08:00,27.32,,2,2026-05-29 00:13:32,2026-05-28,18
珠江,广东,儒洞河,陂底,05-28 08:00,37.0,0.02,2,2026-05-29 00:13:32,2026-05-28,19
南渡江,海南,南渡江,松涛水库 （南丰）,05-28 08:00,183.78,-0.03,2,2026-05-29 00:13:32,2026-05-28,20
万泉河,海南,万泉河,牛路岭水库,05-28 08:00,95.26,-0.12,2,2026-05-29 00:13:32,2026-05-28,21
