流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,04-14 08:00,65,-0.02,0,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,二渡河,上板桥,04-14 08:00,264.9,0.02,1,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,东江,七水库,04-14 08:00,78.69,-0.02,2,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,东江,红花湖,04-14 08:00,53.22,-0.01,3,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,黄沙水,同沙,04-14 08:00,15.54,0.03,4,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,横岭水,鸡心石,04-14 08:00,49.5,,5,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,稿树下水,稿树下,04-14 08:00,57.44,-0.02,6,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,里波水,联和,04-14 08:00,46.27,-0.04,7,2026-04-14,2026-04-14 01:33:56,0
流溪河,广东,流溪河,流溪河,04-14 08:00,225.17,-0.01,8,2026-04-14,2026-04-14 01:33:56,0
流溪河,广东,天湖水库水,天湖,04-14 08:00,229.01,-0.02,9,2026-04-14,2026-04-14 01:33:56,0
流溪河,广东,沙坑,和龙,04-14 08:00,34.43,-0.02,10,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,沙河,显岗,04-14 08:00,20.27,-0.03,11,2026-04-14,2026-04-14 01:33:56,0
流溪河,广东,流溪河,黄龙带,04-14 08:00,160.97,-0.08,12,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,茅洲河,罗田,04-14 08:00,29.83,-0.07,13,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,西乡水,铁岗,04-14 08:00,22.46,-0.06,14,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,15,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,深圳水,深圳,04-14 08:00,27.49,0.18,16,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,新洲河,梅林,04-14 08:00,49.56,-0.01,17,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,龙岗河,松子坑,04-14 08:00,59.41,-0.15,18,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,莲塘水,宝鸭仔,04-14 08:00,30.54,-0.02,19,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,沙坪水,四堡,04-14 08:00,64.42,-0.02,20,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,潭江,锦江,04-14 08:00,84.71,-0.1,21,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,鹤洲水,大沙河,04-14 08:00,30.42,-0.08,22,2026-04-14,2026-04-14 01:33:56,0
珠江,广东,镇海水,镇海,04-14 08:00,22.86,–0.01,0,2026-04-14,2026-04-14 01:33:56,1
珠江,广东,大镜山溪,大镜山,04-14 08:00,16.68,-0.04,1,2026-04-14,2026-04-14 01:33:56,1
韩江,广东,五华河,益塘,04-14 08:00,145.59,-0.11,2,2026-04-14,2026-04-14 01:33:56,1
韩江,广东,和山河,和山岩,04-14 08:00,151.66,0.04,3,2026-04-14,2026-04-14 01:33:56,1
韩江,福建,汀江,棉花滩水库,04-14 08:00,160.72,-0.22,4,2026-04-14,2026-04-14 01:33:56,1
韩江,广东,汀江,青溪,04-14 08:00,72.02,0.07,5,2026-04-14,2026-04-14 01:33:56,1
韩江,广东,程江,梅西,04-14 08:00,164.67,-0.18,6,2026-04-14,2026-04-14 01:33:56,1
韩江,广东,凤凰溪,凤溪,04-14 08:00,408.15,-0.07,7,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,五经富水,龙颈（上）,04-14 08:00,88.75,0.05,8,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,五经富水,龙颈(下),04-14 08:00,52.89,-0.18,9,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,小龙溪,小龙溪,04-14 08:00,53,-0.08,10,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,龙溪水,龙溪一级,04-14 08:00,171.72,-0.07,11,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,龙溪水,龙溪二级,04-14 08:00,59.25,-0.11,12,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,锣鼓水,红场,04-14 08:00,242.33,-0.21,13,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,金溪河,上金溪,04-14 08:00,86,-0.1,14,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,三坑溪,上三坑,04-14 08:00,152.95,,15,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,练江,白沙溪,04-14 08:00,365.48,-0.09,16,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,雷岭河,镇北,04-14 08:00,44.22,-0.03,17,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,雷岭河,蜈蚣岭,04-14 08:00,45.68,-0.03,18,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,黄江,朝面山,04-14 08:00,195.45,-0.25,19,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,横江水,横江,04-14 08:00,65.67,-0.07,20,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,练江,汤坑,04-14 08:00,49.15,-0.25,21,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,练江,秋风岭,04-14 08:00,34.69,0.03,22,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,龙江,龙潭,04-14 08:00,63.62,-0.06,23,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,罗溪,石榴潭,04-14 08:00,33.82,-0.03,24,2026-04-14,2026-04-14 01:33:56,1
粤东沿海诸河,广东,黄江,公平,04-14 08:00,12.82,-0.03,0,2026-04-14,2026-04-14 01:33:56,2
粤东沿海诸河,广东,大液河,黄山洞,04-14 08:00,45.28,-0.03,1,2026-04-14,2026-04-14 01:33:56,2
粤东沿海诸河,广东,新西河,新西河,04-14 08:00,34.14,-0.04,2,2026-04-14,2026-04-14 01:33:56,2
珠江,广东,大隆洞河,大隆洞,04-14 08:00,25.11,-0.07,3,2026-04-14,2026-04-14 01:33:56,2
鉴江,广东,小水河,高城,04-14 08:00,130.26,,4,2026-04-14,2026-04-14 01:33:56,2
鉴江,广东,六雅河,尚文,04-14 08:00,103.25,-0.08,5,2026-04-14,2026-04-14 01:33:56,2
鉴江,广东,大井河,良德水库(大坝),04-14 08:00,80.77,-0.06,6,2026-04-14,2026-04-14 01:33:56,2
鉴江,广东,庙背水,罗坑,04-14 08:00,107.99,-0.05,7,2026-04-14,2026-04-14 01:33:56,2
鉴江,广东,袂花江,黄沙,04-14 08:00,114.01,-0.12,8,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,东运河,西湖,04-14 08:00,12.95,-0.02,9,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,龙门河,龙门,04-14 08:00,54.21,-0.01,10,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,大水桥河,大水桥,04-14 08:00,55.46,-0.03,11,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,九洲江,鹤地水库（大坝）,04-14 08:00,36.36,-0.03,12,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,武陵河,武陵,04-14 08:00,35.46,-0.05,13,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,沙铲河,岭背下,04-14 08:00,39.81,-0.02,14,2026-04-14,2026-04-14 01:33:56,2
粤西沿海诸河,广东,沙铲河,仙人域,04-14 08:00,34.9,0.08,15,2026-04-14,2026-04-14 01:33:56,2
珠江,广东,漠阳江,北河,04-14 08:00,84.45,-0.08,16,2026-04-14,2026-04-14 01:33:56,2
珠江,广东,那龙河,东湖,04-14 08:00,26.92,-0.03,17,2026-04-14,2026-04-14 01:33:56,2
珠江,广东,洋边河,茅,04-14 08:00,25.61,-0.04,18,2026-04-14,2026-04-14 01:33:56,2
珠江,广东,儒洞河,陂底,04-14 08:00,35.95,-0.02,19,2026-04-14,2026-04-14 01:33:56,2
南渡江,海南,南渡江,松涛水库 （南丰）,04-14 08:00,184.84,-0.04,20,2026-04-14,2026-04-14 01:33:56,2
万泉河,海南,万泉河,牛路岭水库,04-13 08:00,96.72,-0.3,21,2026-04-14,2026-04-14 01:33:56,2
太阳河,海南,太阳河,万宁水库 （大坝）,04-13 08:00,19.17,-0.01,22,2026-04-14,2026-04-14 01:33:56,2
藤桥河,海南,藤桥西河,赤田水库,04-13 08:00,21.26,-0.05,23,2026-04-14,2026-04-14 01:33:56,2
三亚河,海南,三亚河,福万水库,04-13 08:00,119.17,-0.08,24,2026-04-14,2026-04-14 01:33:56,2
兰亚河,海南,三亚河,半岭水库,04-13 08:00,47.99,-0.03,0,2026-04-14,2026-04-14 01:33:56,3
三亚河,海南,三亚河,水源池水库,04-13 08:00,39.02,0.04,1,2026-04-14,2026-04-14 01:33:56,3
宁远河,海南,宁远河,抱古水库,04-13 08:00,45.83,-0.02,2,2026-04-14,2026-04-14 01:33:56,3
宁远河,海南,宁远河,大隆水库,04-13 08:00,53.49,-0.11,3,2026-04-14,2026-04-14 01:33:56,3
望楼河,海南,望楼河,长茅水库,04-13 08:00,153.92,-0.03,4,2026-04-14,2026-04-14 01:33:56,3
望楼河,海南,望楼河,石门水库,04-13 08:00,40.49,-0.17,5,2026-04-14,2026-04-14 01:33:56,3
罗带河,海南,罗带河,高坡岭水库,04-13 08:00,27.81,-0.03,6,2026-04-14,2026-04-14 01:33:56,3
昌化江,海南,昌化江,大广坝水库,04-13 08:00,124.21,-0.06,7,2026-04-14,2026-04-14 01:33:56,3
昌化江,海南,石碌河,石碌水库,04-13 08:00,121.69,-0.07,8,2026-04-14,2026-04-14 01:33:56,3
浙闽台河流,浙江,剡江,亭下水库,04-14 08:00,64.72,0.22,9,2026-04-14,2026-04-14 01:33:56,3
淮河,山东,北沙河,马河水库,04-11 08:00,107.15,,10,2026-04-14,2026-04-14 01:33:56,3
淮河,山东,西河,周村水库,04-11 08:00,123.63,,11,2026-04-14,2026-04-14 01:33:56,3
淮河,河南,汝河,宿鸭湖,04-14 08:00,52.15,-0.01,12,2026-04-14,2026-04-14 01:33:56,3
内陆河,甘肃,大堵马河,瓦房城水库,04-11 08:00,2385.8,,13,2026-04-14,2026-04-14 01:33:56,3
海河,河北,滏阳河,东武仕水库（坝上）,04-14 08:00,107.08,-0.06,14,2026-04-14,2026-04-14 01:33:56,3
海河,河南,石门河,石门水库,04-11 08:00,300.44,,15,2026-04-14,2026-04-14 01:33:56,3
海河,河南,沧河,塔岗,04-11 08:00,175.47,,16,2026-04-14,2026-04-14 01:33:56,3
海河,河南,安阳河,彰武,04-11 08:00,128.16,,17,2026-04-14,2026-04-14 01:33:56,3
黄河,青海,大南川河,大南川,04-11 08:00,2621.55,,18,2026-04-14,2026-04-14 01:33:56,3
松花江流域,吉林,松花江吉林段,白山,04-14 08:00,403.13,0.04,19,2026-04-14,2026-04-14 01:33:56,3
黑龙江流域,黑龙江,嫩江,尼尔基坝上,04-14 08:00,212.86,0.04,20,2026-04-14,2026-04-14 01:33:56,3
黑龙江流域,内蒙古,洮儿河,察尔森上,04-14 08:00,358.67,0.01,21,2026-04-14,2026-04-14 01:33:56,3
嫩江,吉林,洮儿河,月亮湖,04-11 08:00,130.95,,22,2026-04-14,2026-04-14 01:33:56,3
辽河,吉林,东辽河,二龙山,04-11 08:00,220.67,,23,2026-04-14,2026-04-14 01:33:56,3
辽河,辽宁,柴河,柴河水库,04-14 08:00,103.92,-0.03,24,2026-04-14,2026-04-14 01:33:56,3
辽河,辽宁,清河,清河水库,04-14 08:00,130.98,,0,2026-04-14,2026-04-14 01:33:56,4
辽河,辽宁,柳河,闹德海,04-14 08:00,181.19,0.03,1,2026-04-14,2026-04-14 01:33:56,4
辽河,辽宁,浑河,大伙房水库,04-14 08:00,123.88,-0.04,2,2026-04-14,2026-04-14 01:33:56,4
辽河,辽宁,太子河,观音阁水库,04-14 08:00,251.83,-0.06,3,2026-04-14,2026-04-14 01:33:56,4
辽河,辽宁,太子河,窝水库,04-14 08:00,90.55,0.14,4,2026-04-14,2026-04-14 01:33:56,4
海河流域,海委,滦河,潘家口,04-14 08:00,221.8,0.06,5,2026-04-14,2026-04-14 01:33:56,4
海河流域,海委,滦河,大黑汀,04-14 08:00,131.63,-0.23,6,2026-04-14,2026-04-14 01:33:56,4
海河,河北,青龙河,桃林口水库,04-14 08:00,136.63,-0.11,7,2026-04-14,2026-04-14 01:33:56,4
海河,河北,白洋淀,新安,07-10 08:00,8.41,0.01,8,2026-04-14,2026-04-14 01:33:56,4
海河,河北,白洋淀,端村,07-10 08:00,8.23,-0.01,9,2026-04-14,2026-04-14 01:33:56,4
海河,河北,白洋淀,王家寨,07-10 08:00,7.25,-0.01,10,2026-04-14,2026-04-14 01:33:56,4
海河,北京,白河,密云白河坝上,04-14 08:00,152.84,-0.02,11,2026-04-14,2026-04-14 01:33:56,4
海河,北京,永定河,官厅水库,04-14 08:00,476.88,-0.01,12,2026-04-14,2026-04-14 01:33:56,4
海河,河北,白洋淀,十方院（白）（堰上）,04-14 08:00,8.34,0.01,13,2026-04-14,2026-04-14 01:33:56,4
海河,河北,滹沱河,黄壁庄水库（坝上）,04-14 08:00,112.99,-0.05,14,2026-04-14,2026-04-14 01:33:56,4
海河流域,海委,漳河,岳城水库 (坝上),04-14 08:00,143.14,-0.01,15,2026-04-14,2026-04-14 01:33:56,4
黄河,河南,黄河,小浪底水库,04-14 08:00,261.65,-0.05,16,2026-04-14,2026-04-14 01:33:56,4
淮河,安徽,淠东干渠,安丰塘,04-14 08:00,29.12,,17,2026-04-14,2026-04-14 01:33:56,4
淮河,河南,浉河,南湾,04-14 08:00,98.55,,18,2026-04-14,2026-04-14 01:33:56,4
淮河,河南,汝河,板桥,04-14 08:00,110.93,,19,2026-04-14,2026-04-14 01:33:56,4
淮河,河南,灌河,鲇鱼山,04-14 08:00,102.12,0.03,20,2026-04-14,2026-04-14 01:33:56,4
淮河,河南,沙河,昭平台,04-14 08:00,164.93,0.02,21,2026-04-14,2026-04-14 01:33:56,4
淮河,河南,沙河,白山,04-14 08:00,99.99,,22,2026-04-14,2026-04-14 01:33:56,4
淮河,江苏,洪泽湖,洪泽湖,04-14 08:00,13.5,0.05,23,2026-04-14,2026-04-14 01:33:56,4
淮河,江苏,骆马湖,骆马湖水库,04-14 08:00,23.08,-0.0,0,2026-04-14,2026-04-14 01:33:56,5
淮河,江苏,新术河,石梁河水库,04-14 08:00,24,,1,2026-04-14,2026-04-14 01:33:56,5
长江,湖北,长江,三峡,04-14 08:00,164.8,0.06,2,2026-04-14,2026-04-14 01:33:56,5
长江,湖北,南河,寺坪,04-14 08:00,309.14,-0.07,3,2026-04-14,2026-04-14 01:33:56,5
长江,湖北,粉青河,马桥,04-14 08:00,474.8,-0.25,4,2026-04-14,2026-04-14 01:33:56,5
长江,湖北,黑清河,黑清河,04-14 08:00,81.07,0.01,5,2026-04-14,2026-04-14 01:33:56,5
长江,湖南,资水,柘溪,04-14 08:00,162.68,-0.26,6,2026-04-14,2026-04-14 01:33:56,5
长江,湖南,沅水,五强溪,04-14 08:00,105.23,-0.61,7,2026-04-14,2026-04-14 01:33:56,5
长江,湖南,酉水,凤滩,04-14 08:00,195.55,1.13,8,2026-04-14,2026-04-14 01:33:56,5
长江,湖南,溇水,江,04-14 08:00,218.72,0.06,9,2026-04-14,2026-04-14 01:33:56,5
