流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,04-22 08:00,64.98,0.07,0,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,二渡河,上板桥,04-22 08:00,265.02,-0.04,1,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,东江,七水库,04-22 08:00,78.48,0.01,2,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,东江,红花湖,04-22 08:00,53.18,-0.02,3,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,黄沙水,同沙,04-22 08:00,15.59,,4,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,横岭水,鸡心石,04-22 08:00,49.4,,5,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,稿树下水,稿树下,04-22 08:00,56.82,-0.04,6,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,里波水,联和,04-22 08:00,46.07,-0.04,7,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,增江,天堂山,04-22 08:00,136.79,-0.12,8,2026-04-22,2026-04-21 22:42:52,0
流溪河,广东,流溪河,流溪河,04-22 08:00,225.02,-0.19,9,2026-04-22,2026-04-21 22:42:52,0
流溪河,广东,天湖水库水,天湖,04-22 08:00,228.94,-0.01,10,2026-04-22,2026-04-21 22:42:52,0
流溪河,广东,沙坑,和龙,04-22 08:00,34.37,-0.01,11,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,沙河,显岗,04-22 08:00,20.22,0.01,12,2026-04-22,2026-04-21 22:42:52,0
流溪河,广东,流溪河,黄龙带,04-22 08:00,160.41,-0.14,13,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,茅洲河,罗田,04-22 08:00,29.31,-0.07,14,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,西乡水,铁岗,04-22 08:00,22.18,,15,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,16,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,深圳水,深圳,04-22 08:00,27.5,0.3,17,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,新洲河,梅林,04-22 08:00,49.54,,18,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,龙岗河,松子坑,04-22 08:00,58.19,-0.15,19,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,莲塘水,宝鸭仔,04-22 08:00,30.29,-0.03,20,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,沙坪水,四堡,04-22 08:00,63.9,-0.09,21,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,小隐涌,长江,04-22 08:00,22.48,-0.02,22,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,潭江,锦江,04-22 08:00,84.11,-0.07,23,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,鹤洲水,大沙河,04-22 08:00,30.07,,24,2026-04-22,2026-04-21 22:42:52,0
珠江,广东,镇海水,镇海,04-22 08:00,22.84,-0.01,0,2026-04-22,2026-04-21 22:42:52,1
珠江,广东,大镜山溪,大镜山,04-22 08:00,16.38,-0.03,1,2026-04-22,2026-04-21 22:42:52,1
韩江,广东,五华河,益塘,04-22 08:00,145,0.02,2,2026-04-22,2026-04-21 22:42:52,1
韩江,广东,和山河,和山岩,04-22 08:00,151.8,0.02,3,2026-04-22,2026-04-21 22:42:52,1
韩江,福建,汀江,棉花滩水库,04-22 08:00,157.01,-0.35,4,2026-04-22,2026-04-21 22:42:52,1
韩江,广东,汀江,青溪,04-22 08:00,72.18,0.61,5,2026-04-22,2026-04-21 22:42:52,1
韩江,广东,程江,梅西,04-22 08:00,164.56,0.33,6,2026-04-22,2026-04-21 22:42:52,1
韩江,广东,凤凰溪,凤溪,04-22 08:00,407.89,,7,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,五经富水,龙颈（上）,04-22 08:00,88.84,0.04,8,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,五经富水,龙颈(下),04-22 08:00,53.51,0.21,9,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,小龙溪,小龙溪,04-22 08:00,52.45,,10,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,龙溪水,龙溪一级,04-22 08:00,171.46,0.05,11,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,龙溪水,龙溪二级,04-22 08:00,58.02,-0.1,12,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,锣鼓水,红场,04-22 08:00,240.91,-0.09,13,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,金溪河,上金溪,04-22 08:00,85.37,-0.02,14,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,三坑溪,上三坑,04-22 08:00,153.05,0.1,15,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,练江,白沙溪,04-22 08:00,364.8,-0.02,16,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,雷岭河,镇北,04-22 08:00,44.06,0.01,17,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,雷岭河,蜈蚣岭,04-22 08:00,45.38,0.05,18,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,黄江,朝面山,04-22 08:00,193.51,-0.16,19,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,横江水,横江,04-22 08:00,65.36,0.02,20,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,练江,汤坑,04-22 08:00,47.1,-0.2,21,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,练江,秋风岭,04-22 08:00,34.92,0.07,22,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,龙江,龙潭,04-22 08:00,63.59,0.36,23,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,罗溪,石榴潭,04-22 08:00,33.71,0.08,24,2026-04-22,2026-04-21 22:42:52,1
粤东沿海诸河,广东,黄江,公平,04-22 08:00,12.84,0.1,0,2026-04-22,2026-04-21 22:42:52,2
粤东沿海诸河,广东,大液河,黄山洞,04-22 08:00,45.68,0.41,1,2026-04-22,2026-04-21 22:42:52,2
粤东沿海诸河,广东,新西河,新西河,04-22 08:00,33.99,,2,2026-04-22,2026-04-21 22:42:52,2
珠江,广东,大隆洞河,大隆洞,04-22 08:00,24.69,-0.05,3,2026-04-22,2026-04-21 22:42:52,2
鉴江,广东,小水河,高城,04-22 08:00,130.27,,4,2026-04-22,2026-04-21 22:42:52,2
鉴江,广东,六雅河,尚文,04-22 08:00,103.09,0.01,5,2026-04-22,2026-04-21 22:42:52,2
鉴江,广东,大井河,良德水库（大坝）,04-22 08:00,80.42,-0.05,6,2026-04-22,2026-04-21 22:42:52,2
鉴江,广东,庙背水,罗坑,04-22 08:00,107.71,-0.05,7,2026-04-22,2026-04-21 22:42:52,2
鉴江,广东,袂花江,黄沙,04-22 08:00,113.05,-0.12,8,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,东运河,西湖,04-22 08:00,12.97,-0.01,9,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,龙门河,龙门,04-22 08:00,54.21,0.01,10,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,大水桥河,大水桥,04-22 08:00,55.31,,11,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,九洲江,鹤地水库（大坝）,04-22 08:00,36.15,-0.05,12,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,武陵河,武陵,04-22 08:00,35.15,-0.03,13,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,沙铲河,岭背下,04-22 08:00,39.66,-0.02,14,2026-04-22,2026-04-21 22:42:52,2
粤西沿海诸河,广东,沙铲河,仙人域,04-22 08:00,35.33,-0.03,15,2026-04-22,2026-04-21 22:42:52,2
珠江,广东,漠阳江,北河,04-22 08:00,84.01,-0.09,16,2026-04-22,2026-04-21 22:42:52,2
珠江,广东,那龙河,东湖,04-22 08:00,26.73,-0.04,17,2026-04-22,2026-04-21 22:42:52,2
珠江,广东,洋边河,茅垌,04-22 08:00,25.41,-0.02,18,2026-04-22,2026-04-21 22:42:52,2
珠江,广东,儒洞河,陂底,04-22 08:00,35.64,-0.04,19,2026-04-22,2026-04-21 22:42:52,2
南渡江,海南,南渡江,松涛水库 (南丰),04-22 08:00,184.46,-0.03,20,2026-04-22,2026-04-21 22:42:52,2
