流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,05-31 08:00,67.12,0.01,0,2026-05-31 19:56:58,2026-05-31,0
珠江,广东,二渡河,上板桥,05-31 08:00,266.05,0.05,0,2026-05-31 19:56:58,2026-05-31,1
珠江,广东,东江,七水库,05-31 08:00,80.05,0.05,0,2026-05-31 19:56:58,2026-05-31,2
珠江,广东,东江,红花湖,05-31 08:00,53.32,,0,2026-05-31 19:56:58,2026-05-31,3
珠江,广东,黄沙水,同沙,05-31 08:00,15.96,0.1,0,2026-05-31 19:56:58,2026-05-31,4
珠江,广东,横岭水,鸡心石,05-31 08:00,46.85,-0.05,0,2026-05-31 19:56:58,2026-05-31,5
珠江,广东,稿树下水,稿树下,05-31 08:00,56.91,0.01,0,2026-05-31 19:56:58,2026-05-31,6
珠江,广东,里波水,联和,05-31 08:00,48.77,0.01,0,2026-05-31 19:56:58,2026-05-31,7
珠江,广东,增江,天堂山,05-31 08:00,134.95,0.19,0,2026-05-31 19:56:58,2026-05-31,8
流溪河,广东,流溪河,流溪河,05-31 08:00,224.16,0.07,0,2026-05-31 19:56:58,2026-05-31,9
流溪河,广东,天湖水库水,天湖,05-31 08:00,229.66,-0.05,0,2026-05-31 19:56:58,2026-05-31,10
流溪河,广东,沙坑,和龙,05-31 08:00,34.78,0.02,0,2026-05-31 19:56:58,2026-05-31,11
珠江,广东,沙河,显岗,05-31 08:00,20.91,-0.09,0,2026-05-31 19:56:58,2026-05-31,12
流溪河,广东,流溪河,黄龙带,05-31 08:00,161.44,0.03,0,2026-05-31 19:56:58,2026-05-31,13
珠江,广东,茅洲河,罗田,05-21 08:00,30.95,0.1,0,2026-05-31 19:56:58,2026-05-31,14
珠江,广东,西乡水,铁岗,05-21 08:00,23.05,0.23,0,2026-05-31 19:56:58,2026-05-31,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-05-31 19:56:58,2026-05-31,16
珠江,广东,深圳水,深圳,05-31 08:00,27.46,0.33,0,2026-05-31 19:56:58,2026-05-31,17
珠江,广东,新洲河,梅林,05-31 08:00,49.69,0.02,0,2026-05-31 19:56:58,2026-05-31,18
珠江,广东,龙岗河,松子坑,05-31 08:00,58.38,0.04,0,2026-05-31 19:56:58,2026-05-31,19
珠江,广东,莲塘水,宝鸭仔,05-31 08:00,32.26,-0.03,0,2026-05-31 19:56:58,2026-05-31,20
珠江,广东,沙坪水,四堡,05-31 08:00,64.72,0.02,0,2026-05-31 19:56:58,2026-05-31,21
珠江,广东,小隐涌,长江,05-31 08:00,23.95,0.02,0,2026-05-31 19:56:58,2026-05-31,22
珠江,广东,潭江,锦江,05-31 08:00,91.25,-0.11,0,2026-05-31 19:56:58,2026-05-31,23
珠江,广东,鹤洲水,大沙河,05-31 08:00,32.43,-0.07,0,2026-05-31 19:56:58,2026-05-31,24
珠江,广东,镇海水,镇海,05-31 08:00,24.35,–0.06,1,2026-05-31 19:56:58,2026-05-31,0
珠江,广东,大镜山溪,大镜山,05-31 08:00,16.54,0.06,1,2026-05-31 19:56:58,2026-05-31,1
韩江,广东,五华河,益塘,05-31 08:00,145.96,-0.01,1,2026-05-31 19:56:58,2026-05-31,2
韩江,广东,和山河,和山岩,05-31 08:00,151.58,-0.05,1,2026-05-31 19:56:58,2026-05-31,3
韩江,福建,汀江,棉花滩水库,05-31 08:00,163.37,0.14,1,2026-05-31 19:56:58,2026-05-31,4
韩江,广东,汀江,青溪,05-31 08:00,70.08,-0.67,1,2026-05-31 19:56:58,2026-05-31,5
韩江,广东,程江,梅西,05-31 08:00,164.56,-0.05,1,2026-05-31 19:56:58,2026-05-31,6
韩江,广东,凤凰溪,凤溪,05-31 08:00,414.43,0.14,1,2026-05-31 19:56:58,2026-05-31,7
粤东沿海诸河,广东,五经富水,龙颈（上）,05-31 08:00,88.2,-0.03,1,2026-05-31 19:56:58,2026-05-31,8
粤东沿海诸河,广东,五经富水,龙颈(下),05-31 08:00,53.25,,1,2026-05-31 19:56:58,2026-05-31,9
粤东沿海诸河,广东,小龙溪,小龙溪,05-31 08:00,50.81,-0.04,1,2026-05-31 19:56:58,2026-05-31,10
粤东沿海诸河,广东,龙溪水,龙溪一级,05-31 08:00,172.52,-0.16,1,2026-05-31 19:56:58,2026-05-31,11
