流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,06-21 08:00,70.74,0.18,0,2026-06-21 21:55:21,2026-06-21,0
珠江,广东,二渡河,上板桥,06-21 08:00,267.58,1.91,0,2026-06-21 21:55:21,2026-06-21,1
珠江,广东,东江,七水库,06-21 08:00,79.55,-0.12,0,2026-06-21 21:55:21,2026-06-21,2
珠江,广东,东江,红花湖,06-21 08:00,53.82,0.02,0,2026-06-21 21:55:21,2026-06-21,3
珠江,广东,黄沙水,同沙,06-13 08:00,15.47,0.01,0,2026-06-21 21:55:21,2026-06-21,4
珠江,广东,横岭水,鸡心石,06-21 08:00,50.85,0.15,0,2026-06-21 21:55:21,2026-06-21,5
珠江,广东,稿树下水,稿树下,06-21 08:00,59.12,,0,2026-06-21 21:55:21,2026-06-21,6
珠江,广东,里波水,联和,06-21 08:00,52.4,0.19,0,2026-06-21 21:55:21,2026-06-21,7
珠江,广东,增江,天堂山,06-21 08:00,139.83,0.31,0,2026-06-21 21:55:21,2026-06-21,8
流溪河,广东,流溪河,流溪河,06-21 08:00,227.92,0.23,0,2026-06-21 21:55:21,2026-06-21,9
流溪河,广东,天湖水库水,天湖,06-21 08:00,231.83,0.07,0,2026-06-21 21:55:21,2026-06-21,10
流溪河,广东,沙坑,和龙,06-21 08:00,35.3,,0,2026-06-21 21:55:21,2026-06-21,11
珠江,广东,沙河,显岗,06-21 08:00,22.29,0.01,0,2026-06-21 21:55:21,2026-06-21,12
流溪河,广东,流溪河,黄龙带,06-21 08:00,163.81,-0.01,0,2026-06-21 21:55:21,2026-06-21,13
珠江,广东,茅洲河,罗田,05-21 08:00,30.95,0.1,0,2026-06-21 21:55:21,2026-06-21,14
珠江,广东,西乡水,铁岗,05-21 08:00,23.05,0.23,0,2026-06-21 21:55:21,2026-06-21,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-06-21 21:55:21,2026-06-21,16
珠江,广东,深圳水,深圳,06-21 08:00,27.0,-0.16,0,2026-06-21 21:55:21,2026-06-21,17
珠江,广东,新洲河,梅林,06-21 08:00,50.03,-0.03,0,2026-06-21 21:55:21,2026-06-21,18
珠江,广东,龙岗河,松子坑,06-21 08:00,60.26,0.18,0,2026-06-21 21:55:21,2026-06-21,19
珠江,广东,莲塘水,宝鸭仔,06-21 08:00,34.2,-0.35,0,2026-06-21 21:55:21,2026-06-21,20
珠江,广东,沙坪水,四堡,06-21 08:00,67.2,0.17,0,2026-06-21 21:55:21,2026-06-21,21
珠江,广东,小隐涌,长江,06-21 08:00,25.22,0.09,0,2026-06-21 21:55:21,2026-06-21,22
珠江,广东,潭江,锦江,06-21 08:00,93.76,0.2,0,2026-06-21 21:55:21,2026-06-21,23
珠江,广东,鹤洲水,大沙河,06-21 08:00,33.72,0.04,0,2026-06-21 21:55:21,2026-06-21,24
珠江,广东,镇海水,镇海,06-21 08:00,25.19,0.06,1,2026-06-21 21:55:21,2026-06-21,0
珠江,广东,大镜山溪,大镜山,06-21 08:00,17.5,0.06,1,2026-06-21 21:55:21,2026-06-21,1
韩江,广东,五华河,益塘,06-21 08:00,148.98,0.02,1,2026-06-21 21:55:21,2026-06-21,2
韩江,广东,和山河,和山岩,06-21 08:00,151.89,-0.08,1,2026-06-21 21:55:21,2026-06-21,3
韩江,福建,汀江,棉花滩水库,06-21 08:00,166.85,0.31,1,2026-06-21 21:55:21,2026-06-21,4
韩江,广东,汀江,青溪,06-21 08:00,71.09,0.03,1,2026-06-21 21:55:21,2026-06-21,5
韩江,广东,程江,梅西,06-21 08:00,167.22,-0.18,1,2026-06-21 21:55:21,2026-06-21,6
韩江,广东,凤凰溪,凤溪,06-21 08:00,420.8,0.11,1,2026-06-21 21:55:21,2026-06-21,7
粤东沿海诸河,广东,五经富水,龙颈（上）,06-21 08:00,92.53,0.26,1,2026-06-21 21:55:21,2026-06-21,8
粤东沿海诸河,广东,五经富水,龙颈(下),06-21 08:00,53.57,0.04,1,2026-06-21 21:55:21,2026-06-21,9
粤东沿海诸河,广东,小龙溪,小龙溪,06-21 08:00,57.14,0.12,1,2026-06-21 21:55:21,2026-06-21,10
粤东沿海诸河,广东,龙溪水,龙溪一级,06-21 08:00,180.25,-0.04,1,2026-06-21 21:55:21,2026-06-21,11
粤东沿海诸河,广东,龙溪水,龙溪二级,06-21 08:00,66.24,0.39,1,2026-06-21 21:55:21,2026-06-21,12
粤东沿海诸河,广东,锣鼓水,红场,06-21 08:00,249.05,0.03,1,2026-06-21 21:55:21,2026-06-21,13
粤东沿海诸河,广东,金溪河,上金溪,06-21 08:00,88.41,0.21,1,2026-06-21 21:55:21,2026-06-21,14
粤东沿海诸河,广东,三坑溪,上三坑,06-21 08:00,167.85,0.55,1,2026-06-21 21:55:21,2026-06-21,15
粤东沿海诸河,广东,练江,白沙溪,06-21 08:00,370.85,0.3,1,2026-06-21 21:55:21,2026-06-21,16
粤东沿海诸河,广东,雷岭河,镇北,06-21 08:00,45.15,-0.04,1,2026-06-21 21:55:21,2026-06-21,17
粤东沿海诸河,广东,雷岭河,蜈蚣岭,06-21 08:00,51.0,0.15,1,2026-06-21 21:55:21,2026-06-21,18
粤东沿海诸河,广东,黄江,朝面山,06-21 08:00,205.2,0.47,1,2026-06-21 21:55:21,2026-06-21,19
粤东沿海诸河,广东,横江水,横江,06-21 08:00,68.95,-0.11,1,2026-06-21 21:55:21,2026-06-21,20
粤东沿海诸河,广东,练江,汤坑,06-21 08:00,49.0,0.2,1,2026-06-21 21:55:21,2026-06-21,21
粤东沿海诸河,广东,练江,秋风岭,06-21 08:00,38.08,0.18,1,2026-06-21 21:55:21,2026-06-21,22
粤东沿海诸河,广东,龙江,龙潭,06-21 08:00,70.94,0.11,1,2026-06-21 21:55:21,2026-06-21,23
粤东沿海诸河,广东,罗溪,石榴潭,06-21 08:00,39.22,0.05,1,2026-06-21 21:55:21,2026-06-21,24
粤东沿海诸河,广东,黄江,公平,06-21 08:00,15.39,0.05,2,2026-06-21 21:55:21,2026-06-21,0
粤东沿海诸河,广东,大液河,黄山洞,06-21 08:00,52.52,0.17,2,2026-06-21 21:55:21,2026-06-21,1
粤东沿海诸河,广东,新西河,新西河,06-21 08:00,37.7,0.12,2,2026-06-21 21:55:21,2026-06-21,2
